time,refactFileRBR
201408,5
201409,26
201410,14
201411,20
201412,132
201501,21
201502,1
201503,11
201504,5
201505,5
201506,3
201507,4
201508,2
201509,5
201510,3
201511,3
201512,1
201601,3
201602,4
201603,1
201604,33
201605,2
201606,1
201607,0
201608,0
201609,0
201610,2
201611,1
201612,0
201701,0
201702,18
201703,2
201704,0
201705,1
201706,0
201707,0
201708,2
201709,0
201710,1
201711,1
201712,3
201801,0
201802,9
201803,7
201804,5
201805,18
201806,0
201807,0
201808,1
201809,1
201810,2
201811,0
201812,0
201901,0
201902,2
201903,1
201904,1
201905,0
201906,0
201907,2
201908,2
201909,0
201910,2
201911,18
201912,0
202001,0
202002,1
202003,2
202004,3
202005,3
202006,3
202007,1
202008,0
202009,1
202010,8
202011,1
202012,3
202101,1
202102,0
202103,0
202104,0
202105,2
202106,1
202107,3
202108,2
202109,2
202110,0
202111,0
202112,1
202201,157
202202,15
202203,4
202204,2
202205,0
202206,3
202207,3
202208,4
202209,0
202210,17
202211,4
202212,5
202301,10
202302,1
202303,3
202304,0
202305,1
202306,10
202307,3
202308,215
202309,8
202310,9
202311,26
202312,14
202401,11
202402,2
202403,2
