time,FileRBR
201208,103
201209,58
201210,13
201211,16
201212,0
201302,0
201303,16
201304,68
201305,0
201307,6
201308,76
201309,118
201310,299
201311,2
201312,1
201401,6
201402,19
201403,29
201404,10
201405,40
201406,63
201407,10
201408,14
201409,38
201410,26
201411,1
201412,61
201501,6
201502,2
201503,53
201504,125
201505,33
201506,1
201507,56
201508,29
201509,3
201510,19
201511,42
201512,4
201601,0
201603,0
201606,0
201608,0
201609,1
201610,3
201611,0
201612,75
201701,84
201702,118
201703,425
201704,1218
201705,16
201706,128
201707,134
201708,71
201709,83
201710,0
201711,11
201712,5
201801,0
201802,10
201803,73
201804,4
201805,3
201806,8
201808,10
201901,11
201902,6
201903,6
201905,5
201908,7
202002,9
202005,5
202010,3
202105,7
202106,1
202203,3
202208,6
202209,6
202303,2
202305,7
202307,3
