time,refactFileRBR
200506,8
200507,9
200508,12
200509,9
200510,2
200511,15
200512,17
200601,14
200602,11
200603,8
200604,75
200605,87
200606,38
200607,23
200608,21
200609,18
200610,29
200611,5
200612,28
200701,19
200702,5
200703,27
200704,28
200705,802
200706,110
200707,47
200708,4
200709,4
200710,1
200711,91
200802,1
200804,0
200805,0
200806,0
200809,2
200810,2
200812,0
200902,0
200903,4
200904,0
200905,0
200906,0
200907,4
200909,11
200910,8
200912,0
201001,13
201002,3
201003,2
201004,4
201008,3
201009,9
201011,3
201012,1
201104,1
201106,0
201107,1
201108,4
201111,20
201201,4
201202,3
201205,5
201209,1
201304,42
201305,1
201306,8
201307,4
201308,2
201309,0
201310,0
201311,1
201312,2
201401,4
201402,0
201403,0
201404,31
201405,0
201406,7
201407,4
201408,9
201409,0
201501,0
201505,0
201510,0
201601,0
201708,0
201710,2
201711,0
201802,0
201803,0
201808,0
201809,1
201810,0
201812,39
201901,1
201904,0
201905,0
201907,3
201911,44
201912,0
202003,0
202007,3
202009,4
202012,1
202101,1
202102,1
202103,104
202105,1
202106,0
202107,8
202108,112
202109,5
202110,7
202112,1
202206,6
202303,24
