time,FileRBR
201308,2
201310,7
201312,0
201401,0
201402,12
201407,32
201410,3
201412,0
201502,28
201503,2
201504,16
201505,14
201506,0
201507,10
201508,9
201509,7
201510,0
201511,11
201602,2
201603,7
201604,7
201605,2
201606,13
201607,1
201608,0
201609,3
201610,6
201611,9
201612,25
201701,11
201702,47
201703,57
201704,21
201705,34
201706,32
201707,3
201708,15
201709,40
201710,23
201711,10
201712,27
201801,7
201802,5
201803,28
201804,25
201805,44
201806,25
201807,13
201808,33
201809,43
201810,139
201811,66
201812,51
201901,29
201902,30
201903,43
201904,19
201905,66
201906,24
201907,36
201908,13
201909,29
201910,47
201911,7
201912,8
202001,14
202002,29
202003,8
202004,20
202005,9
202006,102
202007,39
202008,28
202009,18
202010,4
202011,2
202012,16
202101,5
202102,0
202103,28
202104,7
202105,75
202106,2
202107,3
202108,18
202109,23
202110,47
202111,4
202112,26
202201,77
202202,18
202204,4
202205,9
202206,7
202207,29
202208,3
202209,1
202211,32
202301,21
202302,2
202303,5
202306,35
202308,41
202309,2
202311,9
