time,refactFileRBR
201308,1
201310,0
201312,0
201401,0
201402,4
201407,1
201410,0
201412,0
201502,3
201503,0
201504,0
201505,5
201506,0
201507,0
201508,7
201509,0
201510,0
201511,2
201602,0
201603,3
201604,6
201605,0
201606,3
201607,0
201608,0
201609,0
201610,1
201611,4
201612,23
201701,3
201702,24
201703,14
201704,8
201705,12
201706,5
201707,1
201708,8
201709,5
201710,2
201711,3
201712,3
201801,3
201802,1
201803,5
201804,6
201805,14
201806,4
201807,2
201808,15
201809,26
201810,75
201811,25
201812,21
201901,18
201902,20
201903,16
201904,7
201905,33
201906,6
201907,10
201908,6
201909,13
201910,15
201911,2
201912,1
202001,5
202002,7
202003,3
202004,4
202005,2
202006,18
202007,6
202008,9
202009,5
202010,1
202011,0
202012,3
202101,2
202102,0
202103,7
202104,2
202105,13
202106,0
202107,1
202108,9
202109,4
202110,35
202111,1
202112,11
202201,58
202202,5
202204,1
202205,5
202206,2
202207,6
202208,0
202209,1
202211,14
202301,1
202302,1
202303,1
202306,14
202308,15
202309,1
202311,2
