time,FileRBR
201012,289
201101,832
201102,81
201103,461
201104,484
201105,145
201106,278
201107,166
201108,31
201109,70
201110,238
201111,162
201112,131
201201,137
201202,150
201203,362
201204,42
201205,89
201206,81
201207,82
201208,54
201209,29
201210,219
201211,178
201212,372
201301,165
201302,77
201303,56
201304,12
201305,7
201306,65
201307,41
201308,45
201309,13
201310,233
201311,40
201312,32
201401,14
201402,43
201403,1
201404,57
201405,38
201406,1
201407,12
201408,0
201410,3
201411,1
201503,2
201504,6
201505,71
201506,11
201507,3
201509,2
201510,0
201602,4
201605,427
201609,12
201812,3
