time,refactFileRBR
201012,47
201101,328
201102,12
201103,221
201104,32
201105,33
201106,35
201107,46
201108,10
201109,5
201110,34
201111,27
201112,20
201201,26
201202,11
201203,83
201204,10
201205,10
201206,7
201207,26
201208,11
201209,8
201210,70
201211,27
201212,33
201301,4
201302,8
201303,19
201304,1
201305,4
201306,21
201307,1
201308,0
201309,6
201310,32
201311,6
201312,9
201401,1
201402,6
201403,0
201404,53
201405,7
201406,1
201407,1
201408,0
201410,1
201411,0
201503,2
201504,0
201505,16
201506,6
201507,1
201509,0
201510,0
201602,2
201605,336
201609,2
201812,1
