time,FileRBR
200307,9
200308,0
200309,3
200310,2
200311,0
200312,0
200401,1
200402,1
200403,1
200404,1
200406,1
200505,3
200506,3
200507,9
200508,12
200509,13
200510,3
200511,6
200512,31
200601,1
200602,1
200603,5
200605,27
200606,5
200607,0
200608,9
200609,33
200610,61
200611,5
200612,1
200701,0
200703,0
200704,29
200705,2
200706,9
200707,5
200708,18
200709,32
200710,665
200711,7
200712,7
200801,5
200802,1
200803,6
200804,1
200805,0
200806,0
200807,2
200809,4
200811,19
200812,17
200901,3
200902,3
200903,1
200907,0
200908,2
200912,11
201001,3
201002,7
201003,9
201004,0
201005,0
201006,0
201007,9
201008,1
201009,7
201010,20
201011,0
201012,0
201101,0
201104,31
201105,3
201107,1
201108,75
201109,6
201110,0
201111,1
201112,4
201202,2
201203,7
201204,12
201205,5
201206,5
201207,1
201208,0
201209,26
201303,0
201304,5
201305,18
201306,21
201307,3
201310,9
201312,9
201403,2
201412,1
201501,1
201506,1
201603,7
201609,2373
201812,651
201901,7
202001,2
202012,1
202304,1
