time,FileRBR
201304,19
201305,47
201306,14
201307,21
201308,24
201309,230
201310,15
201311,7
201312,9
201401,6
201402,12
201403,23
201404,10
201405,11
201406,9
201407,44
201408,192
201409,18
201410,23
201411,13
201412,21
201501,16
201502,7
201503,22
201504,22
201505,37
201506,0
201507,1
201508,85
201509,23
201510,28
201511,38
201512,20
201601,16
201602,14
201603,18
201604,21
201605,6
201606,3
201607,7
201608,4
201609,13
201610,17
201611,6
201612,12
201701,3
201702,8
201703,7
201704,39
201705,36
201706,4
201707,3
201708,8
201709,0
201710,4
201801,3
201802,0
201803,1
201804,0
201805,22
201806,6
201807,2
201808,0
201809,0
201810,0
201811,5
201812,2
201901,1
201902,1
201903,6
201904,0
201905,1
201908,0
201910,6
201911,0
201912,4
202001,0
202002,13
202003,2
202004,3
202005,22
202006,6
202007,0
202008,10
202009,5
202010,5
202011,5
202012,0
202101,6
202104,3
202105,1
202106,13
202107,0
202108,20
202110,6
202111,19
202201,13
202202,62
202203,13
202204,1
202205,1
202206,63
202208,0
202209,6
202210,5
202211,65
202302,6
202303,0
202306,70
202307,4
202308,23
202309,2
202310,3
202311,5
202312,5
202401,2
202402,7
