time,FileRBR
201404,9
201405,1
201406,64
201407,8
201408,114
201409,102
201410,209
201411,2
201412,267
201501,121
201502,38
201503,20
201504,45
201505,65
201506,7
201507,8
201508,19
201509,10
201510,73
201511,90
201602,2
201604,9
201606,0
201607,1
201608,15
201609,0
201611,0
201612,7
201701,5
201702,1
201703,6
201705,1
201706,14
201707,6
201708,18
201709,81
201710,24
201711,34
201712,3
201801,7
201802,23
201803,27
201804,0
201805,2
201806,4
201809,15
201810,14
201811,17
201812,16
201901,0
201904,2
201905,2
201906,5
201907,4
201908,1
201909,13
201911,17
201912,30
202001,97
202002,51
202003,17
202004,162
202005,97
202006,48
202007,9
202008,14
202009,18
202010,1
202011,24
202012,0
202101,4
202102,2
202103,18
202104,95
202106,4
202107,1
202108,5
202109,18
202110,3
202111,60
202112,6
202201,9
202202,8
202203,24
202204,54
202205,105
202206,50
202207,69
202208,37
202209,16
202210,0
202211,17
202212,6
202302,16
202303,61
202305,16
202308,11
