time,refactFileRBR
201507,9
201508,6
201509,15
201510,4
201511,0
201512,51
201602,27
201603,52
201604,0
201605,23
201606,25
201607,10
201608,2
201609,15
201610,6
201611,16
201612,11
201701,64
201702,37
201704,0
201705,42
201706,23
201707,1
201708,21
201709,14
201710,71
201711,7
201712,21
201801,1
201802,1
201803,2
201804,6
201805,29
201806,28
201807,9
201808,6
201809,1
201810,74
201811,2
201812,7
201901,0
201902,0
201903,1
201904,2
201905,4
201906,43
201907,0
201908,2
201909,0
201910,9
201911,0
201912,3
202001,0
202002,3
202003,11
202004,5
202005,9
202006,53
202007,9
202008,9
202009,19
202010,11
202011,8
202012,19
202302,1
