time,FileRBR
201403,0
201407,0
201408,4
201409,7
201410,0
201501,1
201502,2
201610,5
201612,6
201701,39
201702,2
201703,46
201704,3
201705,0
201706,8
201707,449
201708,257
201709,92
201710,114
201711,68
201712,53
201801,10
201802,79
201803,3
201804,168
201805,71
201806,10
201807,161
201808,57
201809,98
201901,44
201902,41
201903,1
201906,18
201907,17
201908,14
201909,33
201910,8
202001,27
202003,23
202004,123
202005,25
202006,44
202008,23
202009,41
202012,10
202101,17
202102,53
202103,18
202105,44
202106,26
202107,3
202108,238
202109,2
202110,21
202111,5
202112,38
202202,30
202204,57
202207,26
202211,37
202301,182
202302,33
