time,regularCommit,refactoringCommit
200701,37,12
200702,97,40
200703,24,8
200704,23,5
200705,15,2
200706,74,30
200707,76,9
200708,91,25
200709,72,23
200710,108,18
200711,67,30
200712,188,109
200801,118,61
200802,40,14
200803,52,20
200804,69,22
200805,74,30
200806,36,11
200807,18,9
200808,40,9
200809,21,4
200810,69,17
200811,74,28
200812,67,33
200901,29,8
200902,27,8
200903,12,5
200904,54,24
200905,51,9
200906,28,11
200907,10,5
200908,17,8
200909,34,16
200910,47,14
200911,68,28
200912,106,42
201001,72,20
201002,69,25
201003,44,21
201004,29,11
201005,26,13
201006,43,30
201007,15,2
201008,45,21
201009,15,7
201010,19,6
201011,29,9
201012,10,2
201101,38,12
201102,44,21
201103,24,7
201104,37,17
201105,181,147
201106,10,1
201107,58,19
201108,32,6
201109,62,11
201110,18,4
201111,12,4
201112,10,3
201201,29,14
201202,32,6
201203,46,11
201204,27,9
201205,34,7
201206,7,2
201207,63,12
201208,4,1
201209,31,5
201210,43,13
201211,72,35
201212,44,12
201301,12,4
201302,24,5
201303,14,4
201304,6,1
201305,38,13
201306,34,9
201307,80,26
201308,50,25
201309,6,2
201310,9,2
201311,88,32
201312,22,4
201401,18,1
201402,26,8
201403,114,78
201404,49,28
201405,32,8
201406,3,0
201407,1,0
201408,22,10
201409,19,6
201410,39,18
201411,93,41
201412,40,14
201501,17,7
201502,30,4
201503,12,0
201504,37,22
201505,63,27
201506,5,3
201507,3,0
201508,5,0
201509,20,7
201510,23,14
201511,13,6
201512,19,9
201601,19,5
201602,46,11
201603,36,10
201604,18,4
201605,23,8
201606,7,2
201607,2,1
201608,35,11
201609,39,21
201610,53,31
201611,98,45
201612,113,46
201701,49,27
201702,64,34
201703,37,23
201704,67,27
201705,62,21
201706,26,6
201707,15,8
201708,50,23
201709,33,7
201710,19,5
201711,38,12
201712,23,9
201801,46,13
201802,42,19
201803,35,15
201804,31,13
201805,21,9
201806,8,3
201807,46,17
201808,31,3
201809,28,13
201810,47,23
201811,48,20
201812,39,13
201901,26,14
201902,14,7
201903,22,7
201904,35,14
201905,27,11
201906,18,9
201907,23,10
201908,31,21
201909,36,13
201910,20,5
201911,14,1
201912,5,3
202001,9,6
202002,19,9
202003,13,3
202004,23,6
202005,23,11
202006,14,8
202007,16,6
202008,16,9
202009,12,5
202010,13,3
202011,21,5
202012,1,0
202102,10,5
202103,18,7
202104,4,1
202105,17,7
202106,12,1
202107,3,0
202108,4,2
202109,8,1
202111,14,1
202112,17,1
202201,11,1
202202,1,1
202204,1,1
202205,8,2
202206,24,2
202207,61,29
202208,13,5
202209,12,7
202210,27,11
202211,54,18
202212,37,19
202301,10,2
202302,33,10
202303,17,6
202304,2,1
202305,1,0
202306,1,0
202307,9,1
202308,9,5
202309,3,1
202310,9,7
202311,37,20
202312,24,9
202401,14,2
202402,15,10
202403,3,2
