time,regularCommit,refactoringCommit
201112,36,4
201201,90,30
201202,61,20
201203,48,17
201204,39,22
201205,18,5
201206,99,35
201207,110,45
201208,31,21
201209,15,4
201210,52,17
201211,17,8
201212,34,22
201301,18,8
201302,32,12
201303,23,12
201304,50,20
201305,23,6
201306,39,10
201307,15,5
201308,13,5
201309,16,2
201310,19,5
201311,16,7
201312,75,40
201401,61,16
201402,30,10
201403,44,18
201404,35,7
201405,36,14
201406,35,12
201407,22,5
201408,24,4
201409,25,2
201410,45,11
201411,43,11
201412,50,3
201501,7,2
201502,55,20
201503,34,7
201504,24,4
201505,36,11
201506,44,9
201507,52,13
201508,20,1
201509,11,4
201510,36,8
201511,19,3
201512,38,11
201601,13,4
201602,19,1
201603,27,11
201604,46,5
201605,29,5
201606,38,12
201607,22,6
201608,14,0
201609,5,0
201610,11,3
201611,19,4
201612,3,1
201701,4,0
201703,1,0
201704,13,3
201705,30,3
201706,24,12
201707,4,0
201708,7,4
201711,16,8
201712,14,3
201801,9,2
201802,12,3
201803,27,9
201804,28,9
201805,6,0
201806,10,1
201807,4,0
201808,2,0
201809,13,3
201810,3,0
201811,3,0
201812,1,0
201901,1,0
201902,15,4
201903,5,0
201905,3,1
201906,3,1
201907,9,3
201908,12,3
201909,1,0
201910,8,0
201911,6,0
201912,3,0
202001,3,0
202002,4,0
202003,1,0
202004,4,0
202005,5,0
202006,11,2
202008,6,2
202009,3,0
202012,1,0
202102,4,1
202103,12,1
202108,2,0
202109,6,5
202112,4,3
202204,10,1
202205,1,0
202206,1,0
202207,19,1
202301,1,0
202302,9,2
202303,20,7
202304,2,0
202305,2,0
202310,10,1
202311,15,4
202312,1,0
202401,18,3
