time,regularCommit,refactoringCommit
201111,25,10
201112,31,20
201201,38,20
201202,68,34
201203,115,59
201204,89,28
201205,79,40
201206,78,32
201207,33,8
201208,14,0
201209,15,3
201210,17,7
201211,7,2
201212,5,3
201301,7,0
201302,7,1
201303,11,4
201304,37,19
201305,5,1
201306,2,0
201307,16,5
201308,19,3
201309,13,6
201310,9,2
201311,17,5
201312,10,2
201401,24,7
201402,8,3
201403,36,10
201404,11,6
201405,35,10
201406,9,3
201407,13,9
201408,61,31
201409,63,29
201410,59,26
201411,65,26
201412,42,21
201501,19,8
201502,24,9
201503,43,19
201504,34,21
201505,29,12
201506,55,21
201507,30,12
201508,37,16
201509,57,25
201510,41,13
201511,30,11
201512,41,20
201601,56,26
201602,30,9
201603,21,12
201604,37,14
201605,42,12
201606,31,7
201607,40,17
201608,26,6
201609,6,1
201610,7,3
201611,13,9
201612,19,13
201701,18,14
201702,29,12
201703,11,5
201704,2,0
201706,1,0
201708,2,2
201709,2,0
201710,6,0
201801,2,0
201802,6,3
201803,4,0
201804,2,1
201808,6,0
