time,regularCommit,refactoringCommit
201601,38,9
201602,152,87
201603,147,73
201604,188,90
201605,161,70
201606,163,73
201607,88,41
201608,154,76
201609,88,41
201610,38,21
201611,59,31
201612,19,14
201701,22,16
201702,9,5
201703,20,13
201704,22,13
201705,20,10
201706,20,16
201707,8,6
201708,4,2
201709,8,5
201710,9,3
201711,2,1
201712,11,4
201801,4,4
201802,13,8
201803,16,12
201804,3,2
201805,14,4
201806,16,3
201807,20,6
201808,15,4
201809,12,3
201810,27,6
201811,8,5
201812,8,4
201901,9,2
201902,12,3
201903,10,4
201904,12,4
201905,16,7
201906,11,9
201907,13,5
201908,10,7
201909,3,2
201910,11,5
201911,8,4
201912,1,0
202001,15,8
202002,6,3
202003,14,2
202004,5,3
202006,1,0
202007,4,0
202008,4,3
202009,9,4
202010,22,8
202011,4,2
202012,7,1
202101,15,5
202102,16,2
202103,5,3
202104,5,5
202105,5,3
202106,5,4
202107,8,6
202108,9,9
202109,4,2
202110,17,12
202111,2,0
202112,2,1
202201,5,2
202202,4,3
202203,2,2
202204,2,1
202205,1,0
202206,1,0
202207,3,2
202208,4,3
202209,7,6
202210,6,2
202212,4,1
202301,10,6
202302,8,4
202303,12,8
202304,12,4
202306,19,5
202307,12,6
202308,10,3
202309,17,7
202310,14,6
202311,24,5
202312,32,11
202401,42,11
202402,81,59
202403,18,11
