time,regularCommit,refactoringCommit
200506,19,6
200507,12,5
200508,19,3
200509,13,2
200510,24,8
200511,3,1
200512,12,3
200601,112,39
200602,35,13
200603,30,8
200604,57,18
200605,26,10
200606,29,8
200607,32,12
200608,84,37
200609,55,14
200610,24,3
200611,8,3
200612,10,2
200701,53,7
200702,26,7
200703,115,18
200704,29,5
200705,39,13
200706,95,42
200707,42,6
200708,18,6
200709,15,5
200710,37,7
200711,80,20
200712,99,31
200801,41,16
200802,46,13
200803,58,21
200804,49,14
200805,21,7
200806,43,10
200807,40,8
200808,38,17
200809,43,7
200810,39,5
200811,14,1
200812,4,0
200901,21,5
200902,18,2
200903,10,3
200904,7,0
200905,6,0
200906,24,8
200907,17,0
200908,5,0
200909,9,1
200910,22,0
200911,11,0
200912,18,3
201001,12,2
201002,15,2
201003,16,0
201004,14,1
201005,12,2
201006,49,15
201007,11,1
201008,18,2
201009,19,3
201010,18,4
201011,14,5
201012,42,9
201101,31,10
201102,10,3
201103,8,1
201104,15,4
201105,3,0
201106,7,2
201107,3,0
201108,4,2
201109,8,1
201111,8,2
201112,7,0
201201,15,4
201202,12,2
201203,19,3
201204,29,4
201205,7,2
201206,1,0
201207,1,1
201208,65,24
201210,12,4
201211,9,1
201212,9,1
201301,3,0
201302,5,0
201303,5,1
201306,4,2
201307,5,4
201309,4,1
201310,1,0
201311,1,0
201312,28,11
201401,25,8
201403,9,0
201404,5,2
201405,14,6
201406,3,0
201407,1,1
201408,4,0
201409,2,0
201410,8,1
201411,5,0
201412,17,2
201501,16,7
201502,6,1
201506,3,0
201508,2,1
201509,8,5
201611,5,2
201612,4,0
201704,3,3
201705,44,12
201706,69,14
201707,42,14
201708,16,6
201709,12,3
201710,10,1
201711,19,10
201712,14,7
201801,7,1
201802,19,7
201803,48,8
201804,29,0
201806,9,2
201807,2,0
201808,23,7
201809,3,0
201810,4,0
201812,2,0
201902,2,0
201905,6,1
201909,8,2
201910,7,0
201911,11,0
202004,1,0
202101,5,0
202102,2,0
202103,7,2
202111,4,2
202112,2,0
202201,1,0
202208,1,0
202211,8,3
202212,1,0
202303,1,1
202304,1,1
202306,1,0
202308,5,1
202309,2,1
