time,regularCommit,refactoringCommit
201607,264,96
201608,50,8
201609,57,24
201610,33,12
201701,47,20
201702,50,15
201703,4,1
201704,5,2
201705,7,4
201706,10,0
201707,101,17
201709,10,3
201710,44,1
201711,79,8
201712,40,18
201801,17,5
201802,41,15
201804,2,0
201805,38,15
201806,108,35
201807,39,12
201808,2,0
201809,34,11
201810,2,0
201901,1,0
201902,167,43
201903,418,114
201904,160,31
201905,21,2
201906,123,49
201907,24,4
201908,69,24
201909,94,30
201910,62,7
201911,45,14
201912,6,0
202002,24,14
202003,38,2
202004,21,7
202005,118,48
202006,42,9
202007,7,0
202008,38,18
202009,4,0
202010,27,9
202101,6,6
202102,27,5
202103,37,9
202104,7,6
202105,41,8
202109,1,0
202202,1,0
202203,34,7
202204,1,0
202205,27,10
202206,61,13
202207,68,18
202208,130,56
202209,32,11
202210,30,4
202211,187,47
202212,7,0
202301,478,167
202302,197,43
202303,65,9
202304,43,4
202305,111,37
202306,25,6
202307,136,53
202308,228,68
202309,15,2
202310,19,1
202311,299,202
202312,128,40
202401,72,16
202402,33,11
202403,128,55
