time,regularCommit,refactoringCommit
201610,103,28
201611,41,3
201612,76,29
201701,74,33
201702,246,54
201703,574,150
201704,319,99
201705,383,94
201706,152,46
201707,138,48
201708,121,60
201709,167,39
201710,35,12
201711,126,56
201712,59,25
201801,49,14
201802,130,45
201803,81,26
201804,62,23
201805,70,23
201806,59,13
201807,48,17
201808,33,11
201809,63,15
201810,46,11
201811,33,16
201812,31,9
201901,57,10
201902,52,8
201903,62,31
201904,31,8
201905,26,7
201906,112,55
201907,38,15
201908,14,8
201909,37,15
201910,12,5
201911,26,11
201912,24,7
202001,23,5
202002,13,8
202003,74,31
202004,71,41
202005,35,11
202006,11,3
202007,20,4
202008,39,22
202009,43,21
202010,43,24
202011,26,10
202012,20,6
202101,27,9
202102,70,26
202103,44,22
202104,23,6
202105,23,6
202106,35,15
202107,59,26
202108,11,4
202109,18,7
202110,60,36
202111,56,27
202112,10,5
202201,41,17
202202,31,5
202203,33,12
202204,7,5
202205,5,1
202206,24,12
202207,12,2
202208,9,4
202209,13,1
202210,34,2
202211,53,18
202212,45,13
202301,55,12
202302,21,11
202303,27,10
202304,32,16
202305,25,3
202306,16,3
202307,67,36
202308,180,101
202309,19,2
202310,31,11
202311,11,2
202312,27,8
202401,31,12
202402,139,90
202403,72,28
