time,regularCommit,time,refactoringCommit
201210,7,201210,6
201211,25,201211,20
201212,84,201212,40
201301,8,201301,6
201302,24,201302,12
201303,63,201303,19
201304,8,201304,2
201305,12,201305,3
201306,14,201306,4
201307,8,201307,2
201308,16,201308,8
201309,86,201309,24
201310,22,201310,1
201311,14,201311,2
201312,23,201312,8
201401,10,201401,5
201402,36,201402,10
201403,34,201403,12
201404,12,201404,4
201405,22,201405,6
201406,5,201406,1
201407,13,201407,5
201408,4,201408,1
201409,12,201409,3
201410,19,201410,3
201411,16,201411,4
201412,4,201412,0
201501,6,201501,1
201502,15,201502,5
201503,11,201503,5
201504,20,201504,1
201505,9,201505,3
201506,14,201506,7
201507,10,201507,3
201508,5,201508,4
201509,12,201509,7
201510,13,201510,4
201511,31,201511,10
201512,9,201512,4
201601,40,201601,10
201602,4,201602,1
201603,52,201603,22
201604,15,201604,3
201605,3,201605,3
201606,4,201606,1
201607,16,201607,0
201608,3,201608,0
201609,5,201609,2
201610,11,201610,1
201611,18,201611,3
201612,21,201612,2
201701,17,201701,6
201702,28,201702,14
201703,21,201703,0
201704,11,201704,5
201705,17,201705,9
201706,23,201706,9
201707,9,201707,1
201708,22,201708,6
201709,37,201709,16
201710,35,201710,15
201711,20,201711,8
201712,19,201712,6
201801,15,201801,6
201802,27,201802,11
201803,31,201803,11
201804,36,201804,9
201805,60,201805,15
201806,29,201806,3
201807,32,201807,5
201808,12,201808,0
201809,40,201809,8
201810,70,201810,11
201811,83,201811,21
201812,67,201812,22
201901,28,201901,5
201902,32,201902,9
201903,33,201903,12
201904,15,201904,3
201905,10,201905,3
201906,44,201906,4
201907,42,201907,10
201908,23,201908,7
201909,55,201909,8
201910,28,201910,13
201911,65,201911,21
201912,21,201912,13
202001,52,202001,14
202002,37,202002,15
202003,37,202003,10
202004,50,202004,9
202005,4,202005,3
202006,18,202006,7
202007,26,202007,3
202008,6,202008,4
202009,23,202009,2
202010,2,202010,1
202011,10,202011,5
202012,43,202012,1
202101,7,202101,4
202102,2,202102,1
202103,20,202103,12
202104,11,202104,7
202105,14,202105,8
202106,9,202106,3
202107,14,202107,8
202108,9,202108,5
202109,15,202109,4
202110,8,202110,1
202111,9,202111,3
202112,4,202112,0
202201,10,202201,5
202202,4,202202,1
202203,8,202203,4
202204,11,202204,5
202205,12,202205,6
202206,20,202206,5
202207,7,202207,3
202208,13,202208,7
202209,10,202209,4
202210,8,202210,2
202211,10,202211,4
202212,13,202212,3
202301,15,202301,3
202302,10,202302,3
202303,5,202303,2
202304,8,202304,5
202305,2,202305,2
202306,9,202306,3
202307,13,202307,1
202308,4,202308,1
202309,5,202309,2
202310,21,202310,14
202311,7,202311,2
202312,2,202312,1
202401,2,202401,2
