time,regularCommit,time,refactoringCommit
201404,43,201404,15
201405,81,201405,11
201406,44,201406,6
201407,65,201407,4
201408,101,201408,12
201409,40,201409,5
201410,64,201410,6
201411,62,201411,4
201412,52,201412,4
201501,65,201501,12
201502,48,201502,13
201503,68,201503,25
201504,48,201504,12
201505,48,201505,14
201506,77,201506,32
201507,90,201507,30
201508,36,201508,10
201509,86,201509,28
201510,75,201510,14
201511,41,201511,6
201512,48,201512,22
201601,38,201601,9
201602,84,201602,15
201603,118,201603,49
201604,59,201604,12
201605,63,201605,22
201606,45,201606,13
201607,20,201607,1
201608,96,201608,21
201609,80,201609,22
201610,94,201610,26
201611,162,201611,40
201612,63,201612,4
201701,125,201701,41
201702,69,201702,39
201703,89,201703,35
201704,63,201704,25
201705,36,201705,9
201706,60,201706,33
201707,73,201707,31
201708,31,201708,17
201709,50,201709,14
201710,38,201710,9
201711,19,201711,12
201712,20,201712,3
201801,18,201801,8
201802,29,201802,14
201803,31,201803,14
201804,34,201804,12
201805,45,201805,20
201806,12,201806,3
201807,6,201807,3
201808,26,201808,10
201809,35,201809,12
201810,33,201810,9
201811,11,201811,2
201812,16,201812,6
201901,13,201901,6
201902,18,201902,9
201903,9,201903,4
201904,14,201904,1
201905,27,201905,11
201906,11,201906,3
201907,18,201907,7
201908,10,201908,1
201909,5,201909,2
201910,8,201910,5
201911,12,201911,5
201912,8,201912,2
202001,20,202001,4
202002,21,202002,9
202003,6,202003,3
202004,19,202004,6
202005,4,202005,1
202006,25,202006,4
202007,22,202007,7
202008,18,202008,5
202009,16,202009,6
202010,9,202010,1
202011,8,202011,2
202012,19,202012,7
202101,15,202101,6
202102,20,202102,9
202103,24,202103,9
202104,15,202104,9
202105,18,202105,9
202106,43,202106,18
202107,28,202107,9
202108,12,202108,9
202109,28,202109,2
202110,21,202110,7
202111,17,202111,3
202112,15,202112,6
202201,17,202201,8
202202,36,202202,16
202203,52,202203,11
202204,12,202204,4
202205,27,202205,11
202206,21,202206,7
202207,22,202207,10
202208,42,202208,10
202209,13,202209,4
202210,10,202210,2
202211,36,202211,9
202212,20,202212,2
202301,19,202301,6
202302,84,202302,17
202303,73,202303,29
202304,48,202304,22
202305,23,202305,7
202306,21,202306,8
202307,20,202307,9
202308,21,202308,9
202309,21,202309,8
202310,28,202310,12
202311,30,202311,11
202312,19,202312,4
202401,16,202401,7
202402,25,202402,12
202403,5,202403,2
