time,regularCommit,time,refactoringCommit
201305,1,201305,0
201306,14,201306,4
201307,8,201307,6
201308,30,201308,19
201309,25,201309,14
201310,50,201310,28
201311,22,201311,14
201312,41,201312,19
201401,55,201401,21
201402,54,201402,15
201403,91,201403,31
201404,98,201404,15
201405,67,201405,19
201406,42,201406,18
201407,34,201407,10
201408,113,201408,38
201409,78,201409,33
201410,109,201410,29
201411,59,201411,20
201412,59,201412,30
201501,40,201501,14
201502,92,201502,28
201503,63,201503,32
201504,49,201504,24
201505,28,201505,17
201506,45,201506,16
201507,48,201507,25
201508,55,201508,17
201509,24,201509,13
201510,40,201510,17
201511,36,201511,9
201512,17,201512,11
201601,17,201601,11
201602,25,201602,13
201603,29,201603,15
201604,18,201604,11
201605,29,201605,18
201606,29,201606,12
201607,34,201607,12
201608,44,201608,13
201609,39,201609,12
201610,20,201610,8
201611,11,201611,4
201701,6,201701,2
201702,4,201702,2
201703,2,201703,0
201704,10,201704,4
201705,8,201705,4
201706,32,201706,18
201707,23,201707,14
201708,15,201708,7
201709,12,201709,3
201710,9,201710,6
201711,7,201711,2
201712,8,201712,3
201801,9,201801,0
201803,2,201803,0
201804,3,201804,1
201805,10,201805,3
201806,6,201806,3
201807,5,201807,1
201808,11,201808,3
201809,8,201809,3
201901,4,201901,1
201907,16,201907,5
201911,1,201911,0
