time,regularCommit,time,refactoringCommit
200512,3,200512,0
200601,52,200601,12
200602,43,202010,0
200603,56,200603,15
200604,21,200604,8
200605,25,200605,8
200606,17,200606,4
200607,8,200607,3
200608,27,200608,7
200609,90,200609,29
200610,20,200610,8
200611,32,200611,10
200612,19,200612,5
200701,19,200701,8
200702,12,200702,0
200703,16,200703,6
200704,45,200704,19
200705,12,200705,2
200706,29,201602,0
200707,80,200707,37
200708,59,200708,26
200709,122,200709,53
200710,59,200710,27
200711,314,200711,130
200712,75,200712,29
200801,28,200801,5
200802,17,202210,0
200803,67,200803,24
200804,35,200804,10
200805,13,200805,5
200806,67,200806,18
200807,29,200807,6
200808,38,200808,8
200809,7,200809,3
200810,30,201706,0
200811,27,200811,15
200812,4,200812,1
200901,7,200901,1
200902,4,200902,0
200903,39,200903,8
200904,25,200904,13
200905,17,200905,2
200906,24,200906,5
200907,8,200907,4
200908,16,200908,4
200909,2,200909,0
200910,7,200910,0
200911,1,200911,1
200912,9,200912,2
201001,36,201001,16
201002,17,201002,8
201004,1,201004,1
201005,9,201005,4
201006,6,201006,1
201009,59,201009,2
201108,7,201108,3
201109,20,201109,4
201110,20,201110,5
201111,11,201111,4
201112,46,201112,24
201202,4,201202,2
201205,14,201205,11
201207,4,201207,2
201209,4,201209,3
201210,1,201210,0
201211,25,201211,11
201212,10,201212,4
201301,37,201301,18
201302,1,201302,0
201303,27,201303,9
201304,20,201304,4
201305,80,201305,37
201306,39,201306,16
201307,64,201307,11
201308,3,201308,0
201310,8,202206,0
201312,3,201312,1
201401,1,201401,0
201404,1,201404,0
201405,5,201405,2
201409,3,201409,0
201410,3,201410,2
201412,6,201412,1
201503,5,201503,2
201504,1,201504,1
201602,1,200706,11
201706,1,200810,19
202010,3,200602,7
202206,1,201310,2
202210,1,200802,3
202310,1,202310,0
