time,regularCommit,time,refactoringCommit
201505,6,201505,0
201506,7,201506,0
201507,4,201507,0
201508,7,201508,0
201510,2,201510,0
201511,3,201511,0
201512,1,201512,0
201601,10,201601,0
201602,1,201602,0
201604,4,201604,0
201605,9,201605,1
201606,16,201606,3
201607,20,201607,5
201608,21,201608,5
201609,4,201609,3
201610,10,201610,0
201611,5,201611,3
201612,17,201612,1
201701,19,201701,5
201702,15,201702,4
201703,12,201703,1
201704,10,201704,3
201705,21,201705,1
201706,5,201706,2
201707,8,201707,2
201708,15,201708,1
201709,10,201709,4
201710,18,201710,1
201711,7,201711,1
201712,15,201712,1
201801,10,201801,0
201802,10,201802,2
201803,15,201803,6
201804,20,201804,3
201805,33,201805,5
201806,13,201806,2
201807,5,201807,2
201808,7,201808,0
201809,11,201809,1
201810,16,201810,2
201811,14,201811,2
201812,10,201812,0
201901,10,201901,0
201902,5,201902,0
201903,12,201903,2
201904,7,201904,2
201905,8,201905,1
201906,14,201906,6
201907,9,201907,5
201908,16,201908,7
201909,5,201909,0
201910,18,201910,6
201911,12,201911,3
201912,8,201912,2
202001,12,202001,3
202002,9,202002,1
202003,14,202003,3
202004,4,202004,2
202005,5,202005,2
202006,6,202006,0
202007,4,202007,0
202008,17,202008,1
202009,9,202009,2
202010,14,202010,2
202011,12,202011,1
202012,13,202012,4
202101,28,202101,1
202102,10,202102,2
202103,25,202103,5
202104,18,202104,0
202105,12,202105,1
202106,25,202106,4
202107,49,202107,8
202108,92,202108,16
202109,31,202109,5
202110,26,202110,7
202111,17,202111,0
202112,18,202112,2
202201,39,202201,5
202202,16,202202,0
202203,15,202203,1
202204,22,202204,1
202205,36,202205,4
202206,16,202206,2
202207,23,202207,7
202208,31,202208,0
202209,20,202209,0
202210,18,202210,0
202211,17,202211,1
202212,23,202212,1
202301,22,202301,1
202302,19,202302,1
202303,18,202303,2
202304,13,202304,0
202305,26,202305,1
202306,23,202306,0
202307,7,202307,0
202308,28,202308,2
202309,11,202309,2
202310,16,202310,0
202311,14,202311,3
202312,28,202312,0
202401,44,202401,6
202402,32,202402,3
202403,19,202403,0
