time,regularCommit,time,refactoringCommit
201401,13,201401,4
201402,99,201402,48
201403,127,201403,55
201404,22,201404,9
201405,18,201405,8
201406,25,201406,8
201407,65,201407,26
201408,54,201408,33
201409,50,201409,26
201410,105,201410,62
201411,58,201411,26
201412,38,201412,17
201501,40,201501,17
201502,33,201502,22
201503,48,201503,26
201504,97,201504,28
201505,28,201505,8
201506,44,201506,10
201507,69,201507,25
201508,23,201508,11
201509,23,201509,12
201510,34,201510,9
201511,52,201511,22
201512,63,201512,31
201601,99,201601,45
201602,60,201602,30
201603,26,201603,7
201604,36,201604,19
201605,35,201605,12
201606,69,201606,27
201607,48,201607,22
201608,32,201608,12
201609,58,201609,37
201610,42,201610,18
201611,59,201611,21
201612,20,201612,8
201701,16,201701,7
201702,30,201702,10
201703,27,201703,13
201704,13,201704,4
201705,31,201705,18
201706,51,201706,24
201707,33,201707,15
201708,53,201708,27
201709,115,201709,73
201710,24,201710,12
201711,63,201711,34
201712,26,201712,9
201801,25,201801,6
201802,46,201802,24
201803,35,201803,13
201804,43,201804,21
201805,42,201805,13
201806,26,201806,14
201807,15,201807,5
201808,19,201808,12
201809,18,201809,11
201810,36,201810,16
201811,28,201811,9
201812,16,201812,3
201901,17,201901,6
201902,27,201902,18
201903,30,201903,10
201904,23,201904,15
201905,28,201905,9
201906,51,201906,26
201907,33,201907,16
201908,9,201908,4
201909,23,201909,10
201910,34,201910,17
201911,28,201911,15
201912,24,201912,10
202001,30,202001,17
202002,24,202002,6
202003,29,202003,15
202004,20,202004,9
202005,16,202005,10
202006,24,202006,12
202007,31,202007,14
202008,23,202008,11
202009,32,202009,8
202010,43,202010,16
202011,32,202011,15
202012,52,202012,21
202101,49,202101,20
202102,23,202102,5
202103,18,202103,7
202104,17,202104,12
202105,17,202105,8
202106,8,202106,2
202107,12,202107,6
202108,6,202108,4
202109,19,202109,4
202110,9,202110,4
202111,10,202111,6
202112,4,202112,2
202201,9,202201,5
202202,14,202202,9
202203,14,202203,6
202204,8,202204,2
202205,9,202205,2
202206,11,202206,3
202207,8,202207,2
202208,13,202208,6
202209,9,202209,5
202210,8,202210,2
202211,10,202211,5
202212,11,202212,3
202301,5,202301,4
202302,10,202302,4
202303,12,202303,8
202304,7,202304,5
202305,10,202305,6
202306,10,202306,3
202307,10,202307,5
202308,7,202308,3
202309,18,202309,9
202310,15,202310,3
202311,11,202311,4
202312,9,202312,4
202401,15,202401,1
202402,24,202402,9
202403,5,202403,2
