time,regularCommit,time,refactoringCommit
202003,19,202003,6
202002,25,202002,6
202001,26,202001,4
202007,46,202007,6
202006,25,202006,6
202005,26,202005,10
202004,39,202004,12
202011,21,202011,8
202010,26,202010,6
202009,24,202009,2
202008,33,202008,3
201503,93,201503,31
201502,76,201502,31
201501,84,201501,56
202012,34,202012,12
201507,18,201507,6
201506,75,201506,30
201505,134,201505,51
201504,125,201504,55
201511,33,201511,11
201510,49,201510,18
201509,56,201509,15
201508,38,201508,10
201512,41,201512,15
202303,45,202303,11
202302,31,202302,7
202301,12,202301,1
202307,18,202307,3
202306,42,202306,12
202305,34,202305,6
202304,39,202304,4
202311,46,202311,20
202310,63,202310,18
202309,36,202309,13
202308,33,202308,10
201803,66,201803,20
201802,25,201802,10
201801,19,201801,3
202312,38,202312,8
201807,17,201807,2
201806,21,201806,4
201805,27,201805,5
201804,44,201804,12
201811,24,201811,1
201810,36,201810,4
201809,16,201809,2
201808,35,201808,12
201812,19,201812,3
202103,24,202103,4
202102,19,202102,4
202101,21,202101,3
202107,24,202107,8
202106,18,202106,3
202105,31,202105,10
202104,24,202104,5
202111,25,202111,6
202110,24,202110,3
202109,33,202109,10
202108,29,202108,6
201603,49,201603,17
201602,33,201602,10
201601,27,201601,9
202112,39,202112,10
201607,80,201607,16
201606,81,201606,21
201605,51,201605,12
201604,85,201604,24
201611,32,201611,12
201610,16,201610,5
201609,26,201609,7
201608,37,201608,12
201612,54,201612,7
202403,10,202403,2
202402,24,202402,1
202401,46,202401,6
201903,28,201903,10
201902,8,201902,4
201901,11,201901,2
201907,34,201907,10
201906,25,201906,5
201905,31,201905,6
201904,32,201904,10
201911,22,201911,11
201910,39,201910,13
201909,29,201909,9
201908,30,201908,8
201912,26,201912,10
201411,44,201411,9
201410,81,201410,15
201409,109,201409,27
201408,46,201408,13
201412,19,201412,6
202203,32,202203,5
202202,25,202202,7
202201,33,202201,10
202207,16,202207,5
202206,23,202206,6
202205,35,202205,3
202204,37,202204,4
202211,23,202211,4
202210,29,202210,12
202209,10,202209,2
202208,16,202208,7
201703,70,201703,9
201702,82,201702,22
201701,62,201701,17
202212,29,202212,7
201707,31,201707,4
201706,42,201706,10
201705,74,201705,13
201704,48,201704,9
201711,27,201711,6
201710,39,201710,11
201709,50,201709,6
201708,36,201708,8
201712,40,201712,10
