time,regularCommit,time,refactoringCommit
201208,83,201208,32
201209,27,201209,14
201210,38,201210,11
201211,22,201211,7
201212,8,201212,1
201301,1,201301,0
201302,6,201302,1
201303,30,201303,10
201304,41,201304,15
201305,16,201305,2
201306,1,201306,0
201307,5,201307,2
201308,34,201308,17
201309,51,201309,19
201310,44,201310,11
201311,15,201311,7
201312,13,201312,4
201401,19,201401,7
201402,47,201402,7
201403,51,201403,20
201404,42,201404,12
201405,47,201405,14
201406,29,201406,13
201407,30,201407,14
201408,47,201408,13
201409,21,201409,4
201410,21,201410,9
201411,26,201411,12
201412,14,201412,7
201501,15,201501,8
201502,18,201502,5
201503,24,201503,6
201504,37,201504,19
201505,19,201505,8
201506,20,201506,4
201507,35,201507,14
201508,33,201508,5
201509,18,201509,4
201510,17,201510,7
201511,32,201511,11
201512,19,201512,4
201601,11,201601,1
201602,1,201602,0
201603,10,201603,1
201604,3,201604,0
201605,1,201605,0
201606,5,201606,1
201607,11,201607,0
201608,18,201608,4
201609,6,201609,2
201610,16,201610,2
201611,7,201611,2
201612,15,201612,7
201701,20,201701,10
201702,25,201702,11
201703,30,201703,14
201704,19,201704,12
201705,11,201705,2
201706,13,201706,7
201707,21,201707,12
201708,14,201708,5
201709,17,201709,6
201710,1,201710,1
201711,9,201711,2
201712,8,201712,3
201801,6,201801,1
201802,8,201802,3
201803,9,201803,3
201804,1,201804,1
201805,8,201805,2
201806,7,201806,1
201807,1,201807,0
201808,4,201808,1
201809,4,201809,0
201810,2,201810,0
201811,6,201811,0
201812,2,201812,0
201901,4,201901,2
201902,5,201902,2
201903,4,201903,1
201904,6,201904,0
201905,4,201905,1
201906,2,201906,0
201907,2,201907,0
201908,4,201908,2
201909,4,201909,0
201910,2,201910,0
201911,1,201911,0
201912,8,201912,0
202002,5,202002,1
202003,4,202003,0
202004,4,202004,0
202005,3,202005,1
202006,1,202006,0
202007,2,202007,0
202008,6,202008,0
202009,2,202009,0
202010,10,202010,1
202011,3,202011,0
202012,1,202012,0
202102,1,202102,0
202103,4,202103,0
202104,2,202104,0
202105,18,202105,9
202106,6,202106,1
202107,2,202107,0
202108,4,202108,0
202109,3,202109,0
202110,3,202110,0
202201,4,202201,0
202202,6,202202,0
202203,5,202203,2
202205,5,202205,0
202206,2,202206,0
202208,9,202208,1
202209,5,202209,1
202210,6,202210,0
202211,6,202211,0
202301,1,202301,0
202303,2,202303,1
202304,1,202304,0
202305,2,202305,1
202306,3,202306,0
202307,3,202307,1
202308,9,202308,0
202309,3,202309,0
202402,2,202402,0
