time,regularCommit,time,refactoringCommit
201011,11,201011,0
201012,34,201012,11
201101,26,201101,9
201102,92,201102,24
201103,158,201103,43
201104,161,201104,49
201105,89,201105,25
201106,118,201106,40
201107,232,201107,43
201108,23,201108,15
201109,57,201109,16
201110,90,201110,22
201111,111,201111,26
201112,69,201112,13
201201,122,201201,37
201202,153,201202,27
201203,181,201203,53
201204,35,201204,10
201205,77,201205,21
201206,117,201206,12
201207,51,201207,18
201208,29,201208,10
201209,38,201209,5
201210,64,201210,22
201211,111,201211,25
201212,129,201212,29
201301,122,201301,18
201302,119,201302,28
201303,74,201303,24
201304,68,201304,12
201305,30,201305,8
201306,77,201306,23
201307,22,201307,2
201308,29,201308,9
201309,29,201309,9
201310,104,201310,26
201311,50,201311,15
201312,53,201312,26
201401,22,201401,9
201402,9,201402,4
201403,13,201403,2
201404,28,201404,8
201405,17,201405,10
201406,13,201406,2
201407,8,201407,3
201408,10,201408,1
201409,3,201409,0
201410,10,201410,3
201411,7,201411,1
201412,1,201412,0
201501,1,201501,0
201503,3,201503,1
201504,3,201504,1
201505,14,201505,3
201506,11,201506,3
201507,7,201507,2
201508,1,201508,0
201509,6,201509,3
201510,10,201510,1
201602,7,201602,1
201605,1,201605,1
201606,1,201606,0
201609,30,201609,1
201611,1,201611,0
201703,4,201703,0
201812,1,201812,1
