time,regularCommit,time,refactoringCommit
200306,4,200306,0
200307,45,200307,9
200308,17,200308,3
200309,14,200309,4
200310,27,202102,0
200311,24,202103,0
200312,4,200312,1
200401,9,200401,2
200402,27,200402,3
200403,14,200403,3
200404,8,200404,3
200405,8,200405,0
200406,14,200406,3
200407,6,200407,0
200411,2,200411,0
200412,2,200412,0
200504,11,200504,0
200505,21,200505,2
200506,28,200506,4
200507,41,200507,15
200508,58,200508,16
200509,31,202301,0
200510,22,200510,4
200511,87,202303,0
200512,107,200512,24
200601,50,200601,6
200602,22,200602,2
200603,13,200603,2
200604,17,200604,0
200605,43,200605,7
200606,52,200606,7
200607,19,200607,2
200608,27,200608,6
200609,58,200609,17
200610,50,200610,10
200611,11,200611,3
200612,25,200612,5
200701,8,200701,1
200702,11,200702,0
200703,6,200703,1
200704,23,200704,3
200705,33,200705,2
200706,33,200706,6
200707,6,200707,1
200708,52,200708,11
200709,58,200709,18
200710,70,200710,17
200711,48,200711,12
200712,61,200712,17
200801,48,200801,9
200802,23,200802,3
200803,26,200803,10
200804,19,200804,3
200805,18,200805,1
200806,14,200806,2
200807,26,200807,7
200808,9,200808,0
200809,11,200809,2
200810,12,200810,0
200811,26,200811,6
200812,21,200812,4
200901,45,200901,10
200902,56,200902,11
200903,17,200903,4
200904,9,200904,0
200905,7,200905,0
200906,4,200906,0
200907,12,200907,2
200908,16,200908,3
200910,3,200910,0
200912,18,200912,3
201001,25,201001,6
201002,36,201002,10
201003,21,201003,6
201004,3,201004,1
201005,4,201005,2
201006,9,201006,1
201007,14,201007,8
201008,7,201008,2
201009,9,201009,1
201010,21,201010,5
201011,7,201011,2
201012,3,201012,1
201101,7,201101,2
201102,4,201102,0
201104,9,201104,5
201105,12,201105,3
201107,21,201107,3
201108,48,201108,13
201109,14,201109,3
201110,27,201110,2
201111,21,201111,3
201112,17,201112,4
201201,1,201201,0
201202,12,201202,2
201203,26,201203,7
201204,15,201204,8
201205,8,201205,2
201206,12,201206,4
201207,8,201207,1
201208,5,201208,1
201209,2,201209,1
201210,2,201210,0
201211,3,201211,0
201212,2,201212,0
201301,2,201301,0
201302,1,201302,0
201303,1,201303,1
201304,18,201304,4
201305,10,201305,3
201306,25,201306,8
201307,7,201307,3
201308,1,201308,0
201309,5,201309,0
201310,11,201310,2
201312,8,201312,2
201402,3,201402,0
201403,1,201403,1
201404,2,201404,0
201405,5,201405,0
201406,1,201406,0
201407,2,201407,0
201408,2,201408,0
201410,1,201410,0
201411,1,201411,0
201412,5,201412,2
201501,3,201501,1
201502,2,201502,0
201504,1,201504,0
201506,1,201506,1
201508,3,201508,0
201511,1,201511,0
201601,2,201601,0
201602,4,201602,0
201603,6,201603,2
201606,1,201606,0
201609,95,201609,4
201611,4,201611,0
201612,3,201612,0
201703,3,201703,0
201707,4,201707,0
201711,1,201711,0
201803,2,201803,0
201804,10,201804,0
201805,4,201805,0
201808,1,201808,0
201812,8,201812,1
201901,18,201901,2
202001,5,202001,1
202006,1,202006,0
202008,1,202008,0
202011,2,202011,0
202012,18,202012,1
202102,11,200310,4
202103,1,200311,1
202105,8,202105,0
202106,1,202106,0
202111,3,202111,0
202112,1,202112,0
202201,2,202201,0
202202,1,202202,0
202203,1,202203,0
202204,6,202204,0
202206,1,202206,0
202207,1,202207,0
202208,2,202208,0
202209,1,202209,0
202210,1,202210,0
202212,1,202212,0
202301,1,200509,11
202303,1,200511,11
202304,3,202304,1
202305,1,202305,0
202306,6,202306,0
202309,2,202309,0
202310,2,202310,0
