time,regularCommit,time,refactoringCommit
201404,15,201404,6
201405,32,201405,6
201406,81,201406,32
201407,32,201407,20
201408,112,201408,57
201409,63,201409,25
201410,87,201410,27
201411,1,201411,1
201412,12,201412,8
201501,104,201501,29
201502,35,201502,15
201503,55,201503,14
201504,47,201504,20
201505,35,201505,15
201506,32,201506,8
201507,34,201507,12
201508,49,201508,11
201509,18,201509,5
201510,55,201510,12
201511,56,201511,5
201512,20,201512,0
201601,17,201601,0
201602,11,201602,1
201603,2,201603,0
201604,10,201604,4
201606,5,201606,1
201607,24,201607,4
201608,22,201608,9
201609,28,201609,3
201610,9,201610,0
201611,20,201611,3
201612,25,201612,7
201701,19,201701,5
201702,15,201702,2
201703,6,201703,3
201704,2,201704,0
201705,14,201705,3
201706,29,201706,6
201707,37,201707,10
201708,49,201708,22
201709,19,201709,8
201710,33,201710,15
201711,53,201711,15
201712,14,201712,3
201801,16,201801,7
201802,52,201802,25
201803,26,201803,1
201804,3,201804,1
201805,7,201805,3
201806,13,201806,5
201809,33,201809,6
201810,30,201810,9
201811,25,201811,3
201812,7,201812,2
201901,6,201901,2
201902,1,201902,0
201903,2,201903,0
201904,8,201904,1
201905,21,201905,1
201906,2,201906,1
201907,4,201907,1
201908,4,201908,1
201909,22,201909,2
201910,3,201910,0
201911,30,201911,12
201912,22,201912,7
202001,30,202001,10
202002,39,202002,21
202003,29,202003,14
202004,32,202004,21
202005,45,202005,13
202006,20,202006,12
202007,10,202007,3
202008,8,202008,4
202009,8,202009,2
202010,5,202010,2
202011,26,202011,6
202012,4,202012,1
202101,14,202101,4
202102,18,202102,8
202103,12,202103,7
202104,25,202104,14
202105,6,202105,0
202106,5,202106,3
202107,12,202107,3
202108,4,202108,1
202109,14,202109,5
202110,9,202110,2
202111,11,202111,5
202112,4,202112,3
202201,11,202201,4
202202,12,202202,4
202203,6,202203,2
202204,11,202204,4
202205,16,202205,8
202206,18,202206,6
202207,11,202207,8
202208,18,202208,5
202209,24,202209,4
202210,4,202210,1
202211,14,202211,4
202212,6,202212,1
202301,4,202301,0
202302,5,202302,2
202303,21,202303,11
202304,3,202304,0
202305,12,202305,4
202308,11,202308,1
202309,1,202309,0
