time,regularCommit,time,refactoringCommit
201507,34,201507,8
201508,29,201508,15
201509,16,201509,5
201510,24,201510,4
201511,7,201511,2
201512,10,201512,2
201601,4,201601,0
201602,21,201602,7
201603,23,201603,3
201604,21,201604,5
201605,38,201605,7
201606,76,201606,20
201607,31,201607,7
201608,38,201608,4
201609,15,201609,7
201610,8,201610,5
201611,23,201611,11
201612,18,201612,4
201701,17,201701,7
201702,16,201702,6
201703,1,201703,0
201704,3,201704,1
201705,22,201705,8
201706,96,201706,16
201707,24,201707,5
201708,33,201708,4
201709,49,201709,11
201710,31,201710,7
201711,30,201711,7
201712,22,201712,8
201801,20,201801,1
201802,24,201802,5
201803,25,201803,3
201804,21,201804,4
201805,38,201805,12
201806,53,201806,19
201807,48,201807,20
201808,52,201808,11
201809,27,201809,3
201810,35,201810,18
201811,82,201811,22
201812,46,201812,11
201901,42,201901,7
201902,21,201902,4
201903,5,201903,3
201904,39,201904,5
201905,32,201905,7
201906,65,201906,20
201907,90,201907,20
201908,31,201908,10
201909,42,201909,9
201910,48,201910,8
201911,34,201911,6
201912,37,201912,5
202001,59,202001,10
202002,66,202002,16
202003,63,202003,27
202004,53,202004,31
202005,65,202005,16
202006,61,202006,25
202007,35,202007,15
202008,54,202008,16
202009,67,202009,31
202010,88,202010,16
202011,40,202011,7
202012,36,202012,12
202102,1,202102,0
202104,17,202104,0
202105,1,202105,0
202106,8,202106,0
202107,4,202107,0
202108,3,202108,0
202109,3,202109,0
202110,4,202110,0
202111,1,202111,0
202205,1,202205,0
202206,1,202206,0
202208,3,202208,0
202210,2,202210,0
202302,2,202302,1
202308,1,202308,0
202402,1,202402,0
