time,regularCommit,time,refactoringCommit
201403,33,201403,1
201404,14,201404,0
201405,1,201405,0
201406,5,201406,0
201407,3,201407,2
201408,10,201408,2
201409,6,201409,3
201410,7,201410,2
201501,12,201501,1
201502,48,201502,9
201505,1,201505,0
201506,1,201506,0
201507,1,201507,0
201509,2,201509,0
201510,4,201510,0
201512,1,201512,0
201602,3,201602,0
201609,1,201609,0
201610,14,201610,6
201611,11,201611,0
201612,27,201612,4
201701,51,201701,12
201702,30,201702,4
201703,66,201703,17
201704,7,201704,2
201705,4,201705,1
201706,34,201706,11
201707,79,201707,6
201708,167,201708,58
201709,162,201709,43
201710,120,201710,30
201711,26,201711,5
201712,24,201712,2
201801,27,201801,4
201802,63,201802,9
201803,31,201803,3
201804,33,201804,4
201805,42,201805,12
201806,59,201806,5
201807,92,201807,24
201808,15,201808,8
201809,12,201809,3
201810,3,201810,0
201811,3,201811,0
201812,5,201812,0
201901,9,201901,4
201902,4,201902,1
201903,5,201903,1
201905,2,201905,0
201906,16,201906,4
201907,5,201907,3
201908,4,201908,2
201909,9,201909,6
201910,7,201910,4
201911,9,201911,0
201912,4,201912,0
202001,5,202001,1
202002,1,202002,0
202003,5,202003,2
202004,8,202004,6
202005,30,202005,2
202006,9,202006,2
202007,4,202007,0
202008,23,202008,6
202009,9,202009,2
202010,5,202010,0
202011,4,202011,0
202012,14,202012,2
202101,6,202101,2
202102,6,202102,3
202103,16,202103,2
202104,2,202104,0
202105,10,202105,4
202106,4,202106,1
202107,3,202107,2
202108,10,202108,4
202109,5,202109,1
202110,2,202110,2
202111,2,202111,1
202112,5,202112,3
202201,5,202201,0
202202,9,202202,1
202203,4,202203,0
202204,5,202204,3
202206,5,202206,0
202207,3,202207,2
202208,2,202208,0
202210,1,202210,0
202211,4,202211,2
202301,13,202301,7
202302,2,202302,1
