time,regularCommit,refactoringCommit
200511,21,3
200512,82,28
200601,66,28
200602,50,19
200603,35,10
200605,4,0
200606,67,30
200607,69,25
200608,97,25
200609,148,35
200610,72,8
200611,144,7
200612,80,4
200701,25,2
200702,92,13
200703,82,16
200704,102,32
200705,111,25
200706,71,10
200707,15,1
200708,74,14
200709,65,18
200710,140,45
200711,86,14
200712,16,3
200801,29,7
200802,40,6
200803,99,13
200804,64,14
200805,75,22
200806,47,8
200807,85,17
200808,36,8
200809,21,4
200810,44,13
200811,36,7
200812,33,12
200901,5,1
200902,53,14
200903,107,40
200904,6,0
200905,29,5
200906,4,1
200907,23,6
200908,26,8
200909,13,4
200910,36,9
200911,95,38
200912,83,32
201001,48,13
201002,44,16
201003,54,19
201004,9,1
201005,16,6
201006,21,5
201007,1,1
201008,5,2
201009,2,1
201010,6,2
201011,8,3
201012,53,24
201101,5,1
201102,6,0
201103,8,3
201104,12,3
201105,81,27
201106,170,54
201107,8,0
201108,102,34
201109,297,109
201110,182,22
201111,133,31
201112,130,5
201201,250,24
201202,234,17
201203,289,45
201204,142,8
201205,95,15
201206,74,10
201207,97,6
201208,171,19
201209,282,22
201210,212,21
201211,85,7
201212,233,36
201301,69,7
201302,142,20
201303,23,3
201304,57,6
201305,59,8
201306,60,4
201307,8,0
201308,2,0
201309,16,0
201310,8,0
201311,74,13
201312,116,32
201401,48,14
201402,51,1
201403,112,30
201404,95,18
201405,30,4
201406,10,0
201407,47,10
201408,12,2
201409,13,1
201410,37,11
201411,20,5
201412,6,2
201501,6,1
201502,33,6
201503,7,1
201504,3,0
201505,14,0
201506,2,0
201507,1,1
201509,6,0
201510,27,7
201511,4,0
201512,2,0
201603,6,0
201605,4,0
201606,1,0
201609,15,3
201610,25,7
201612,1,0
201701,1,0
201702,3,0
201703,6,0
201704,24,2
201705,31,5
201706,50,12
201707,13,6
201708,22,2
201709,26,23
201710,17,10
201711,40,23
201712,1,0
201803,23,9
201804,39,11
201805,39,0
201810,19,5
201811,15,2
201812,20,0
201901,5,0
201902,7,2
201905,36,17
201906,9,7
201907,9,7
201908,37,27
201909,42,10
201910,25,9
201911,12,2
201912,5,0
202001,13,0
202002,58,27
202003,30,20
202004,7,2
202005,4,3
202006,67,30
202007,17,1
202008,1,0
202009,1,1
202010,1,0
202011,41,2
202012,14,1
202101,42,17
202105,9,1
202106,5,4
202107,10,7
202108,12,7
202112,18,12
202201,16,6
202202,6,2
202204,20,1
202205,6,0
202206,12,0
202208,9,0
202210,1,0
202303,2,0
