time,regularCommit,refactoringCommit
200909,6,1
200910,60,18
200911,26,5
200912,114,19
201001,218,59
201002,211,56
201003,266,67
201004,141,15
201005,62,16
201006,83,14
201007,50,17
201008,80,23
201009,77,27
201010,82,16
201011,69,12
201012,122,44
201101,55,6
201102,52,13
201103,93,12
201104,61,19
201105,42,18
201106,55,18
201107,48,17
201108,48,12
201109,23,10
201110,115,14
201111,76,27
201112,62,28
201201,52,12
201202,56,34
201203,38,15
201204,37,9
201205,45,18
201206,51,18
201207,267,17
201208,58,8
201209,96,11
201210,35,13
201211,27,12
201212,44,11
201301,83,2
201302,47,3
201303,37,5
201304,39,5
201305,28,4
201306,9,3
201307,9,2
201308,7,2
201310,31,4
201311,9,0
201312,24,3
201401,7,2
201402,7,1
201403,5,1
201404,10,4
201405,33,14
201406,135,32
201407,64,5
201408,10,2
201409,44,9
201410,60,13
201411,21,5
201412,3,1
201501,9,3
201502,35,8
201503,47,2
201504,18,8
201505,20,6
201506,71,4
201507,92,32
201508,72,16
201509,62,24
201510,63,7
201511,46,14
201512,63,10
201601,23,10
201602,24,8
201603,43,11
201604,70,20
201605,22,6
201606,30,10
201607,11,6
201608,18,11
201609,29,9
201610,45,14
201611,19,1
201612,20,5
201701,51,14
201702,46,18
201703,56,7
201704,15,5
201705,59,14
201706,15,2
201707,4,0
201708,34,9
201709,28,15
201710,38,16
201711,23,8
201712,20,2
201801,33,11
201802,44,17
201803,22,5
201804,26,14
201805,34,4
201806,48,5
201807,23,2
201808,20,1
201809,22,4
201810,10,4
201811,21,4
201812,19,3
201901,10,1
201902,16,2
201903,20,3
201904,4,0
201905,2,0
201906,22,0
201907,4,0
201909,4,0
201910,3,0
201911,5,1
201912,2,2
202001,1,0
202003,2,1
202004,7,3
202005,16,3
202008,5,0
202009,7,0
202010,6,0
202102,14,1
202104,31,0
202106,14,0
202107,5,0
202110,1,0
202201,3,1
202203,1,0
202204,22,1
202206,2,0
202207,3,0
202208,1,0
202210,7,0
202211,8,0
202212,10,0
202304,1,0
202307,1,0
202308,1,1
202309,3,0
202311,14,0
