time,regularCommit,refactoringCommit
200010,133,36
200011,305,95
200012,77,17
200101,118,39
200102,113,47
200103,107,36
200104,162,35
200105,164,37
200106,16,5
200107,59,19
200108,45,12
200109,98,22
200110,193,0
200111,128,0
200112,52,0
200201,22,4
200202,77,19
200203,90,18
200204,63,25
200205,75,16
200206,78,17
200207,17,8
200208,28,6
200209,17,5
200210,7,0
200211,31,8
200212,5,2
200302,7,7
200303,49,10
200304,10,5
200305,11,6
200306,13,7
200307,88,22
200308,14,9
200309,19,0
200310,10,6
200311,18,6
200312,11,7
200401,4,2
200402,17,3
200404,3,0
200406,1,1
200408,8,5
200409,5,0
200410,9,0
200411,7,4
200412,6,0
200501,1,1
200502,17,13
200503,14,5
200504,6,3
200505,2,1
200506,12,3
200507,13,5
200508,2,2
200509,17,6
200510,19,0
200511,11,0
200512,3,0
200601,6,2
200602,7,5
200603,15,11
200604,9,2
200606,4,1
200607,9,6
200608,17,10
200609,5,2
200611,67,30
200612,28,14
200701,59,15
200702,22,12
200703,23,4
200704,6,2
200705,4,0
200708,5,1
200709,50,17
200710,9,3
200711,52,17
200712,25,4
200801,10,0
200803,2,0
200804,4,1
200805,12,2
200806,15,3
200807,3,2
200808,3,1
200809,1,0
200810,9,1
200811,11,1
200812,2,1
200901,3,1
200902,3,2
200903,7,0
200904,7,1
200905,3,0
200907,2,1
200908,1,1
200909,1,0
200912,4,0
201001,1,0
201002,2,0
201005,1,0
201007,2,0
201008,1,0
201009,1,0
201010,7,1
201101,4,1
201102,5,2
201103,5,1
201106,5,1
201201,1,0
201203,1,0
201205,2,1
201207,2,0
201208,10,1
201210,1,0
201306,1,0
201311,2,0
201401,2,1
201402,2,1
201404,3,0
201407,3,1
201408,3,3
201409,13,3
201410,5,0
201411,2,0
201412,4,1
201503,9,0
201504,1,0
201505,1,0
201506,1,0
201512,38,26
201602,9,2
201603,11,0
201604,3,0
201605,3,0
201611,1,0
201612,3,0
201703,9,0
201704,1,0
201707,10,0
201708,16,4
201709,14,3
201710,2,2
201712,1,0
201801,1,0
201804,1,1
201805,9,3
201806,2,0
201807,1,0
201809,3,0
201901,1,1
201902,3,35
201903,4,18
201904,1,8
201907,1,0
201909,1,0
201910,4,0
201911,20,0
201912,1,0
202002,1,1
202005,3,0
202006,1,0
202010,1,0
202101,1,9
202201,2,4
202202,2,6
202204,1,3
202208,3,1
202209,6,0
202210,16,2
202211,4,1
202302,1,6
202303,2,3
202304,1,0
202308,2,0
202311,1,0
