time,regularCommit,refactoringCommit
201107,38,11
201108,33,5
201109,13,2
201110,61,13
201111,61,18
201112,60,21
201201,58,11
201202,30,8
201203,44,9
201204,67,15
201205,32,13
201206,59,20
201207,42,13
201208,22,5
201209,40,6
201210,60,15
201211,44,17
201212,27,9
201301,40,8
201302,12,2
201303,73,2
201304,16,0
201305,30,5
201306,22,9
201307,13,1
201308,1,0
201309,24,11
201310,9,1
201311,31,3
201312,1,1
201401,5,3
201402,15,4
201403,14,4
201404,13,3
201405,80,44
201406,51,15
201407,32,2
201408,35,19
201409,4,2
201410,16,7
201411,7,2
201412,8,5
201501,33,8
201502,4,3
201503,2,1
201504,24,10
201505,47,23
201506,12,5
201507,10,3
201508,73,23
201509,53,20
201510,29,4
201511,5,2
201512,3,1
201601,22,9
201602,25,7
201603,8,3
201604,4,1
201605,63,20
201606,37,2
201607,3,2
201608,3,0
201609,3,1
201610,5,3
201611,13,1
201612,12,2
201701,65,26
201702,5,2
201703,18,1
201704,11,2
201705,8,4
201706,1,0
201707,87,25
201708,3,0
201709,3,0
201710,2,0
201711,2,1
201712,9,0
201801,6,1
201802,8,2
201803,2,0
201804,7,3
201805,2,0
201806,17,9
201807,1,0
201808,3,1
201809,7,2
201810,2,2
201811,5,1
201812,40,10
201901,6,2
201902,15,9
201903,7,0
201904,3,0
201905,2,0
201907,6,0
201908,4,1
201909,4,3
201910,1,0
201911,2,0
202001,2,1
202002,4,3
202003,7,6
202004,13,5
202005,18,4
202006,6,1
202007,2,0
202008,2,0
202009,1,0
202010,1,1
202011,1,0
202101,4,0
202102,1,1
202103,3,1
202105,1,1
202107,7,3
202108,3,2
202110,3,3
202111,1,0
202112,1,0
202202,4,1
202203,4,1
202204,2,0
202205,3,1
202206,4,2
202207,13,2
202208,3,1
202209,1,1
202210,2,0
202211,2,0
202302,1,1
202303,8,3
202304,11,3
202305,4,2
202306,5,2
202307,1,1
202308,10,3
202309,3,1
202310,4,1
202312,2,1
202401,3,0
202402,1,1
