time,regularCommit,refactoringCommit
201512,25,0
201601,11,0
201602,34,8
201603,30,10
201604,39,19
201605,20,8
201606,12,2
201607,9,3
201608,9,1
201609,13,2
201610,6,1
201611,13,2
201612,3,1
201701,13,4
201702,12,1
201703,21,3
201704,26,5
201705,1,0
201706,8,2
201707,7,3
201708,32,5
201709,14,0
201710,11,1
201711,20,6
201712,12,1
201801,9,1
201802,30,6
201803,27,0
201804,8,2
201805,16,3
201806,13,2
201807,26,3
201808,11,1
201809,34,5
201810,3,2
201811,17,4
201812,11,2
201901,13,6
201902,6,1
201903,2,0
201904,12,2
201905,4,1
201907,4,0
201909,4,0
201910,5,0
201911,12,2
201912,11,1
202001,7,2
202002,5,0
202003,12,1
202004,24,2
202005,23,6
202006,24,1
202007,43,3
202008,30,4
202009,9,1
202010,12,0
202011,18,1
202012,3,1
202101,8,1
202102,11,1
202103,5,2
202104,3,0
202105,12,0
202106,3,1
202107,4,1
202108,7,0
202109,9,2
202110,7,0
202111,9,0
202112,3,0
202201,6,3
202202,15,5
202203,44,13
202204,67,8
202205,14,3
202206,7,2
202207,5,2
202208,4,3
202209,3,0
202210,2,0
202212,1,0
202301,10,1
202302,4,0
202303,6,0
202304,2,0
202306,7,0
202307,3,0
202308,7,0
202309,15,0
202310,1,0
202312,3,0
202401,17,1
202402,8,2
