time,regularCommit,refactoringCommit
200612,72,5
200701,9,0
200702,15,1
200703,19,2
200706,8,1
200707,1,1
200708,96,35
200709,67,13
200710,93,39
200711,83,19
200712,56,17
200801,67,28
200802,102,35
200803,66,34
200804,103,31
200805,72,30
200806,26,14
200807,35,21
200808,89,38
200809,108,43
200810,92,41
200811,102,43
200812,70,24
200901,75,36
200902,165,56
200903,186,84
200904,133,38
200905,119,60
200906,54,32
200907,78,33
200908,73,22
200909,66,28
200910,65,17
200911,80,21
200912,23,11
201001,40,20
201002,50,19
201003,103,51
201004,80,21
201005,56,19
201006,47,16
201007,56,19
201008,109,39
201009,117,53
201010,82,30
201011,62,28
201012,66,32
201101,112,64
201102,226,126
201103,170,89
201104,94,49
201105,67,38
201106,28,8
201107,14,6
201108,37,19
201109,47,21
201110,54,24
201111,128,22
201112,83,45
201201,52,18
201202,24,10
201203,29,9
201204,25,12
201205,8,1
201206,36,14
201207,13,5
201208,15,2
201209,42,14
201210,27,14
201211,40,17
201212,64,34
201301,97,40
201302,115,71
201303,92,32
201304,78,21
201305,96,44
201306,109,52
201307,59,6
201308,52,14
201309,185,127
201310,86,55
201311,63,35
201312,49,23
201401,69,38
201402,50,19
201403,87,26
201404,52,15
201405,59,24
201406,38,13
201407,62,37
201408,14,4
201409,50,23
201410,6,1
201411,8,2
201412,7,2
201501,5,0
201502,13,6
201503,4,1
201504,3,1
201505,13,2
201506,6,2
201507,10,1
201508,2,0
201509,3,0
201510,13,3
201511,1,0
201602,15,2
201603,21,5
201604,18,6
201605,37,15
201606,24,7
201607,23,2
201608,17,9
201609,5,0
201611,3,0
201612,17,6
201701,19,8
201702,19,2
201703,1,0
201704,4,1
201706,3,1
201707,19,3
201708,3,2
201709,2,0
201710,2,0
201711,2,0
201803,22,9
201804,3,0
201805,2,0
201806,4,1
201807,5,2
201809,4,1
201901,16,0
201903,10,1
201904,2,0
201906,6,2
201909,16,3
201910,3,1
202002,1,0
202003,2,1
202004,5,2
202006,13,5
202007,1,0
202012,1,0
202101,10,4
202102,8,1
202104,7,1
202105,6,0
202106,1,0
202301,12,2
202302,1,0
