time,regularCommit,refactoringCommit
201003,2,1
201005,1,0
201006,2,0
201007,8,2
201008,2,0
201009,1,0
201011,2,0
201104,7,1
201105,91,20
201106,6,1
201108,1,0
201110,1,0
201111,4,0
201202,7,3
201203,5,2
201207,1,0
201208,1,0
201210,1,0
201211,3,0
201212,2,0
201304,11,3
201305,56,22
201306,174,61
201307,23,12
201308,5,2
201309,74,35
201310,6,3
201311,2,1
201401,6,3
201402,8,2
201403,8,1
201404,8,5
201405,20,11
201406,46,17
201407,38,18
201408,70,28
201409,49,13
201410,55,13
201411,24,11
201412,77,40
201501,98,44
201502,41,9
201503,14,2
201504,13,3
201505,67,19
201506,41,14
201507,46,13
201508,156,87
201509,53,29
201510,29,12
201511,9,5
201512,69,21
201601,58,8
201602,4,2
201603,19,1
201604,1,1
201605,13,6
201606,36,10
201607,7,0
201608,4,0
201609,2,0
201610,2,0
201611,1,0
201612,13,6
201701,39,7
201702,28,12
201703,52,8
201704,21,0
201705,4,0
201706,6,1
201707,13,3
201708,29,6
201709,18,6
201710,29,9
201711,14,0
201712,1,0
201801,8,0
201802,11,5
201803,58,13
201804,4,0
201805,1,0
201806,1,1
201807,1,0
201808,4,0
201809,16,6
201810,2,0
201811,3,1
201812,7,2
201901,10,3
201902,6,5
201903,3,2
201904,4,1
201905,3,3
201906,3,2
201907,10,2
201908,29,7
201909,4,3
201910,12,4
201911,4,3
201912,5,2
202001,17,13
202002,11,1
202003,3,0
202004,1,0
202005,2,0
202006,4,2
202007,3,0
202010,9,3
202011,3,1
202012,8,0
202102,14,2
202104,1,0
202109,2,0
202110,5,0
202111,2,0
202206,2,1
202208,1,0
202210,1,0
202212,16,8
202301,20,3
202302,4,1
202303,3,0
202305,3,0
202307,1,0
202310,1,0
202311,7,0
202312,73,14
202401,3,1
202402,2,1
202403,5,1
