time,regularCommit,refactoringCommit
201012,20,4
201101,12,2
201102,22,7
201103,3,2
201104,7,3
201105,6,1
201106,11,4
201107,3,1
201108,5,1
201109,7,1
201110,5,1
201111,2,0
201112,4,1
201201,9,2
201202,31,9
201203,19,6
201204,9,2
201205,3,0
201206,39,15
201207,46,21
201208,6,1
201209,17,3
201210,31,15
201211,15,7
201212,9,5
201301,9,5
201302,9,4
201303,38,10
201304,1,0
201305,13,6
201306,30,15
201307,23,12
201308,21,5
201309,24,9
201310,81,30
201311,70,33
201312,29,12
201401,64,34
201402,105,55
201403,112,44
201404,43,14
201405,73,34
201406,97,43
201407,201,82
201408,141,58
201409,125,73
201410,38,20
201411,100,48
201412,56,24
201501,142,72
201502,18,9
201503,76,29
201504,68,17
201505,128,11
201506,45,11
201507,56,15
201508,23,7
201509,73,24
201510,74,32
201511,102,50
201512,97,47
201601,94,45
201602,93,44
201603,218,105
201604,222,112
201605,180,58
201606,22,2
201607,74,27
201608,108,35
201609,60,27
201610,68,38
201611,70,27
201612,72,35
201701,97,29
201702,124,35
201703,75,37
201704,11,3
201705,127,42
201706,4,0
201707,8,0
201708,22,7
201709,5,0
201710,16,4
201711,11,3
201712,2,0
201801,30,15
201802,42,11
201803,26,8
201804,21,9
201805,52,7
201806,4,1
201807,34,9
201808,18,6
201809,8,5
201810,13,3
201811,54,12
201812,12,6
201901,6,2
201902,14,6
201903,64,23
201904,43,13
201905,35,13
201906,14,4
201908,4,0
201909,13,3
201910,8,1
201911,9,1
201912,10,2
202001,69,3
202002,12,1
202003,13,1
202004,1,0
202005,37,2
202007,6,1
202008,7,1
202009,15,5
202010,9,4
202011,10,9
202012,2,0
202101,4,3
202103,1,0
202106,1,0
202108,3,0
202109,1,0
202112,1,0
202203,1,0
202206,7,0
202207,2,0
202209,1,0
202308,1,0
202311,5,1
202312,4,0
