time,regularCommit,refactoringCommit
201010,6,1
201011,5,2
201012,2,0
201101,5,1
201102,2,0
201103,1,1
201104,3,0
201106,10,1
201107,2,1
201108,1,0
201109,7,1
201110,7,0
201111,5,1
201112,15,1
201201,22,2
201202,24,2
201203,16,8
201204,70,2
201205,38,6
201206,4,2
201207,60,8
201208,20,0
201210,6,0
201211,22,8
201212,6,0
201301,2,0
201302,16,2
201303,16,0
201304,6,4
201305,8,0
201306,12,2
201307,27,4
201308,14,6
201310,2,2
201312,7,1
201401,22,6
201402,2,0
201403,6,4
201404,40,13
201405,28,10
201406,20,5
201407,5,0
201408,11,2
201409,28,3
201410,3,1
201411,2,1
201501,6,2
201502,17,0
201503,2,0
201505,3,1
201506,9,5
201507,2,1
201508,22,9
201509,25,5
201510,5,1
201511,4,2
201512,1,0
201601,13,4
201602,5,1
201603,1,0
201604,5,2
201605,10,3
201606,7,2
201607,11,4
201608,53,10
201609,12,5
201612,2,1
201701,6,0
201702,7,0
201703,10,0
201704,1,0
201705,9,3
201706,34,16
201707,27,12
201708,21,10
201709,16,3
201710,1,0
201712,3,2
201801,4,2
201802,2,0
201803,5,1
201804,5,3
201805,9,4
201806,2,1
201807,4,2
201809,1,1
201810,5,0
201811,5,2
201901,1,0
201902,2,0
201903,15,3
201904,19,12
201905,17,2
201906,6,2
201907,5,0
201908,36,7
201909,21,13
201910,4,1
202003,21,5
202005,3,0
202006,4,1
202008,1,0
202010,28,14
202011,1,1
202104,7,1
202105,3,0
202106,3,0
202108,2,0
202110,1,0
202111,3,0
202204,1,0
202207,1,0
202209,6,1
202303,8,1
202304,1,0
202308,5,0
202401,1,0
