time,regularCommit,time,refactoringCommit
200409,31,200409,2
200410,74,200410,6
200411,53,200411,14
200412,171,200412,35
200501,407,200501,150
200502,450,200502,171
200503,273,200503,103
200504,243,200504,64
200505,164,200505,46
200506,130,200506,57
200507,180,200507,42
200508,312,200508,76
200509,141,200509,29
200510,196,200510,32
200511,170,200511,47
200512,233,200512,80
200601,461,200601,164
200602,618,200602,199
200603,532,200603,148
200604,355,200604,77
200605,353,200605,111
200606,401,200606,125
200607,434,200607,108
200608,337,200608,100
200609,363,200609,90
200610,290,200610,86
200611,346,200611,94
200612,219,200612,63
200701,320,200701,86
200702,407,200702,113
200703,400,200703,83
200704,345,200704,96
200705,254,200705,57
200706,396,200706,106
200707,213,200707,41
200708,306,200708,67
200709,145,200709,27
200710,133,200710,30
200711,124,200711,22
200712,104,200712,18
200801,62,200801,16
200802,59,200802,11
200803,105,200803,25
200804,138,200804,73
200805,157,200805,95
200806,53,200806,19
200807,42,200807,12
200808,23,200808,7
200809,72,200809,25
200810,58,200810,20
200811,52,200811,15
200812,60,200812,23
200901,62,200901,22
200902,84,200902,28
200903,45,200903,8
200904,88,200904,32
200905,38,200905,8
200906,69,200906,14
200907,21,200907,5
200908,22,200908,2
200909,65,200909,25
200910,88,200910,46
200911,52,200911,26
200912,77,200912,33
201001,58,201001,21
201002,83,201002,41
201003,67,201003,36
201004,16,201004,6
201005,25,201005,8
201006,6,201006,1
201007,79,201007,30
201008,143,201008,49
201009,137,201009,52
201010,107,201010,32
201011,160,201011,70
201012,255,201012,82
201101,152,201101,54
201102,87,201102,21
201103,135,201103,44
201104,121,201104,36
201105,191,201105,78
201106,183,201106,76
201107,179,201107,69
201108,111,201108,32
201109,101,201109,21
201110,125,201110,42
201111,143,201111,52
201112,75,201112,27
201201,150,201201,39
201202,140,201202,41
201203,85,201203,29
201204,73,201204,13
201205,122,201205,49
201206,95,201206,42
201207,111,201207,24
201208,98,201208,27
201209,92,201209,16
201210,92,201210,27
201211,101,201211,32
201212,61,201212,9
201301,80,201301,21
201302,89,201302,16
201303,57,201303,14
201304,68,201304,18
201305,113,201305,34
201306,134,201306,35
201307,52,201307,13
201308,48,201308,7
201309,74,201309,19
201310,28,201310,5
201311,78,201311,33
201312,59,201312,21
201401,68,201401,20
201402,107,201402,31
201403,88,201403,31
201404,42,201404,8
201405,43,201405,14
201406,34,201406,6
201407,48,201407,12
201408,115,201408,32
201409,62,201409,12
201410,63,201410,18
201411,43,201411,10
201412,23,201412,11
201501,39,201501,12
201502,67,201502,22
201503,71,201503,13
201504,72,201504,15
201505,53,201505,14
201506,138,201506,44
201507,46,201507,12
201508,29,201508,9
201509,21,201509,7
201510,85,201510,19
201511,50,201511,12
201512,34,201512,11
201601,31,201601,5
201602,34,201602,7
201603,132,201603,41
201604,102,201604,40
201605,19,201605,8
201606,48,201606,15
201607,67,201607,11
201608,39,201608,14
201609,28,201609,6
201610,28,201610,6
201611,71,201611,16
201612,14,201612,4
201701,41,201701,10
201702,32,201702,9
201703,99,201703,31
201704,41,201704,14
201705,39,201705,5
201706,43,201706,2
201707,17,201707,3
201708,34,201708,11
201709,20,201709,5
201710,23,201710,9
201711,33,201711,7
201712,20,201712,5
201801,24,201801,6
201802,39,201802,12
201803,8,201803,1
201804,9,201804,3
201805,25,201805,4
201806,8,201806,1
201807,21,201807,8
201808,8,201808,3
201809,49,201809,18
201810,24,201810,7
201811,17,201811,7
201812,16,201812,6
201901,16,201901,4
201902,18,201902,4
201903,21,201903,6
201904,42,201904,15
201905,54,201905,10
201906,28,201906,8
201907,14,201907,1
201908,17,201908,5
201909,10,201909,2
201910,30,201910,6
201911,9,201911,1
201912,16,201912,8
202001,44,202001,15
202002,50,202002,8
202003,48,202003,20
202004,16,202004,6
202005,18,202005,5
202006,9,202006,2
202007,21,202007,8
202008,28,202008,9
202009,19,202009,8
202010,20,202010,7
202011,13,202011,1
202012,18,202012,4
202101,3,202101,0
202102,8,202102,0
202103,18,202103,3
202104,13,202104,3
202105,15,202105,2
202106,22,202106,3
202107,21,202107,8
202108,17,202108,7
202109,17,202109,2
202110,11,202110,2
202111,21,202111,4
202112,14,202112,2
202201,15,202201,3
202202,7,202202,0
202203,15,202203,2
202204,21,202204,6
202205,11,202205,5
202206,9,202206,2
202207,2,202207,0
202208,3,202208,1
202209,8,202209,2
202210,6,202210,0
202211,8,202211,2
202301,6,202301,1
202302,6,202302,2
202303,11,202303,1
202304,25,202304,13
202305,7,202305,3
202306,13,202306,0
202307,3,202307,1
202308,7,202308,2
202309,58,202309,8
202310,39,202310,3
202311,17,202311,1
202312,38,202312,3
202401,28,202401,2
202402,21,202402,2
202403,18,202403,1
