time,regularCommit,time,refactoringCommit
200402,17,200402,4
200403,69,200403,20
200404,17,200404,5
200405,17,200405,8
200406,16,200406,3
200407,27,200407,6
200408,40,200408,8
200409,3,200409,0
200410,25,200410,7
200411,14,200411,4
200412,6,200412,1
200502,2,200502,1
200503,8,200503,1
200504,2,200504,1
200505,14,200505,5
200506,29,200506,5
200507,14,200507,1
200508,22,200508,8
200509,56,200509,17
200510,17,200510,5
200511,16,200511,2
200512,1,200512,0
200601,26,200601,7
200602,18,200602,7
200603,39,200603,14
200604,5,200604,0
200605,8,200605,1
200606,2,200606,1
200607,3,200607,2
200608,8,200608,3
200609,13,200609,5
200610,6,200610,1
200611,8,200611,3
200612,5,200612,1
200702,5,200702,0
200703,6,200703,3
200704,6,200704,1
200705,6,200705,0
200706,1,200706,0
200707,8,200707,1
200708,9,200708,1
200709,1,200709,1
200710,3,200710,1
200711,6,200711,3
200712,1,200712,0
200801,5,200801,2
200802,4,200802,0
200804,26,200804,9
200806,5,200806,1
200809,23,200809,6
200810,13,200810,1
200811,6,200811,0
200812,19,200812,6
200901,12,200901,1
200902,7,200902,5
200903,24,200903,10
200904,29,200904,13
200905,18,200905,14
200906,15,200906,5
200907,12,200907,3
200908,2,200908,1
200909,1,200909,1
200910,7,200910,1
200911,1,200911,0
201001,4,201001,1
201004,1,201004,0
201005,4,201005,2
201006,3,201006,1
201008,4,201008,2
201009,7,201009,3
201010,4,201010,2
201011,17,201011,10
201012,28,201012,17
201101,21,201101,16
201102,30,201102,19
201103,51,201103,21
201104,15,201104,2
201105,18,201105,7
201106,21,201106,4
201107,21,201107,5
201108,28,201108,6
201109,16,201109,6
201110,11,201110,3
201111,18,201111,8
201112,10,201112,2
201201,19,201201,6
201202,8,201202,0
201203,10,201203,2
201204,4,201204,2
201205,20,201205,7
201206,10,201206,3
201207,2,201207,1
201208,68,201208,29
201209,15,201209,5
201210,14,201210,6
201211,19,201211,8
201212,14,201212,7
201301,5,201301,2
201302,30,201302,11
201303,48,201303,11
201304,43,201304,21
201305,32,201305,10
201306,32,201306,15
201307,35,201307,14
201308,15,201308,6
201309,14,201309,5
201310,46,201310,14
201311,24,201311,8
201312,15,201312,6
201401,32,201401,12
201402,41,201402,11
201403,14,201403,4
201404,24,201404,5
201405,16,201405,1
201406,11,201406,2
201407,22,201407,4
201408,9,201408,2
201409,22,201409,4
201410,8,201410,0
201411,13,201411,5
201412,4,201412,2
201501,19,201501,4
201502,32,201502,18
201503,25,201503,15
201504,27,201504,8
201505,21,201505,8
201506,29,201506,11
201507,33,201507,8
201508,7,201508,1
201509,12,201509,2
201510,24,201510,9
201511,8,201511,4
201512,12,201512,6
201601,30,201601,21
201602,6,201602,2
201603,8,201603,3
201604,4,201604,1
201605,7,201605,4
201606,5,201606,0
201607,10,201607,2
201608,4,201608,0
201609,5,201609,1
201610,9,201610,4
201611,15,201611,9
201612,3,201612,0
201701,7,201701,2
201702,23,201702,6
201703,25,201703,16
201704,8,201704,3
201705,5,201705,1
201706,8,201706,0
201707,1,201707,0
201708,15,201708,2
201709,3,201709,0
201710,8,201710,1
201711,4,201711,1
201712,1,201712,1
201801,14,201801,4
201802,11,201802,2
201803,3,201803,0
201804,6,201804,4
201805,5,201805,3
201806,12,201806,2
201807,4,201807,0
201808,9,201808,1
201810,21,201810,1
201811,11,201811,1
201812,7,201812,1
201901,17,201901,7
201902,10,201902,3
201903,2,201903,0
201904,7,201904,1
201905,7,201905,1
201906,7,201906,3
201907,8,201907,1
201908,7,201908,0
201909,1,201909,0
201910,4,201910,0
201911,7,201911,1
201912,5,201912,0
202001,10,202001,2
202002,9,202002,2
202003,10,202003,2
202004,20,202004,10
202005,6,202005,2
202006,12,202006,0
202007,3,202007,0
202008,1,202008,1
202009,7,202009,1
202010,11,202010,1
202011,3,202011,0
202012,4,202012,2
202101,3,202101,0
202102,19,202102,2
202103,1,202103,0
202104,4,202104,1
202105,5,202105,1
202106,1,202106,0
202107,7,202107,0
202108,1,202108,1
202109,5,202109,1
202110,5,202110,0
202111,2,202111,0
202112,1,202112,0
202201,1,202201,0
202202,8,202202,0
202203,5,202203,1
202204,4,202204,0
202205,4,202205,0
202206,19,202206,0
202207,10,202207,7
202208,2,202208,0
202209,9,202209,0
202210,16,202210,0
202211,8,202211,1
202212,5,202212,0
202301,30,202301,0
202302,15,202302,0
202303,19,202303,0
202304,13,202304,1
202305,14,202305,0
202306,12,202306,0
202307,16,202307,0
202308,9,202308,1
202309,13,202309,0
202310,17,202310,0
202311,7,202311,0
202312,11,202312,0
202401,25,202401,2
202402,11,202402,0
202403,13,202403,0
