combination,number
[Extract Variable],85
[Change Variable Type],85
[Add Method Annotation],83
[Add Class Annotation],70
[Rename Method],65
[Add Parameter],57
[Extract Method],55
[Change Attribute Type],43
[Move Source Folder],42
[Rename Class],33
[Change Method Access Modifier],31
[Rename Variable],31
[Change Parameter Type],24
[Add Attribute Modifier],19
[Change Attribute Access Modifier],19
[Inline Variable],18
[Remove Parameter],18
[Move Class],16
[Encapsulate Attribute],14
[Change Return Type],14
[Rename Attribute],13
[Remove Thrown Exception Type],13
[Remove Method Annotation],11
[Change Class Access Modifier],11
[Add Thrown Exception Type],10
[Rename Parameter],10
[Modify Method Annotation],9
[Extract And Move Method],8
[Replace Anonymous With Lambda],8
[Remove Method Modifier],8
[Add Variable Modifier],7
[Extract Attribute],6
[Move And Inline Method],6
[Inline Method],5
[Extract Superclass],5
[Remove Class Annotation],5
[Add Parameter Modifier],4
[Modify Class Annotation],4
[Add Class Modifier],4
[Move Method],4
[Add Method Modifier],4
[Move Attribute],3
[Replace Variable With Attribute],3
[Remove Variable Modifier],3
[Modify Attribute Annotation],3
[Move And Rename Class],2
[Add Attribute Annotation],2
[Remove Attribute Modifier],2
[Remove Attribute Annotation],2
[Localize Parameter],1
[Move And Rename Method],1
[Remove Parameter Modifier],1
[Pull Up Attribute],1
[Replace Attribute With Variable],1
[Modify Parameter Annotation],1
[Replace Loop With Pipeline],1
[Parameterize Attribute],1
[Push Down Method],1
[Add Parameter Annotation],1
[Remove Class Modifier],1
[Change Thrown Exception Type],1
[Replace Pipeline With Loop],1
[Parameterize Variable],1
[Add Variable Annotation],1
[Split Class],1
[Pull Up Method],1
[Remove Variable Annotation],1
combination,number
"[Rename Variable, Change Variable Type]",23
"[Add Class Annotation, Change Variable Type]",21
"[Rename Method, Rename Attribute]",14
"[Change Variable Type, Change Attribute Type]",10
"[Add Method Annotation, Extract Method]",8
"[Rename Class, Change Variable Type]",8
"[Change Parameter Type, Change Attribute Type]",8
"[Change Parameter Type, Change Variable Type]",8
"[Replace Anonymous With Lambda, Remove Thrown Exception Type]",6
"[Rename Method, Change Method Access Modifier]",6
"[Add Method Annotation, Add Attribute Annotation]",6
"[Change Method Access Modifier, Change Class Access Modifier]",6
"[Extract Variable, Extract Method]",6
"[Rename Package, Move Class]",6
"[Pull Up Method, Remove Method Annotation]",5
"[Move Method, Move Attribute]",5
"[Add Parameter, Change Method Access Modifier]",5
"[Change Return Type, Change Variable Type]",5
"[Add Parameter, Extract Variable]",5
"[Change Return Type, Change Attribute Type]",5
"[Add Method Annotation, Add Class Annotation]",4
"[Extract Method, Inline Variable]",4
"[Change Parameter Type, Change Return Type]",4
"[Add Class Annotation, Add Thrown Exception Type]",4
"[Rename Method, Add Method Annotation]",4
"[Change Method Access Modifier, Move Class]",4
"[Rename Method, Extract Method]",4
"[Move Class, Change Class Access Modifier]",4
"[Rename Method, Add Parameter]",4
"[Extract Method, Extract And Move Method]",4
"[Change Variable Type, Extract Method]",4
"[Add Variable Modifier, Add Parameter Modifier]",4
"[Move Package, Move Class]",4
"[Add Class Annotation, Add Attribute Annotation]",3
"[Rename Method, Rename Variable]",3
"[Add Class Annotation, Rename Method]",3
"[Rename Variable, Extract Method]",3
"[Rename Attribute, Encapsulate Attribute]",3
"[Rename Method, Change Return Type]",3
"[Change Parameter Type, Rename Parameter]",3
"[Rename Attribute, Rename Parameter]",3
"[Parameterize Variable, Extract Method]",3
"[Rename Method, Change Variable Type]",3
"[Change Parameter Type, Extract Variable]",3
"[Add Method Annotation, Change Return Type]",3
"[Add Method Annotation, Change Method Access Modifier]",3
"[Localize Parameter, Add Parameter]",2
"[Add Method Annotation, Inline Variable]",2
"[Change Method Access Modifier, Change Attribute Type]",2
"[Extract Variable, Change Variable Type]",2
"[Change Method Access Modifier, Encapsulate Attribute]",2
"[Add Attribute Modifier, Change Attribute Type]",2
"[Change Method Access Modifier, Extract Method]",2
"[Add Class Annotation, Add Variable Modifier]",2
"[Change Attribute Access Modifier, Extract Variable]",2
"[Remove Parameter, Change Variable Type]",2
"[Split Package, Move Class]",2
"[Rename Attribute, Change Attribute Type]",2
"[Extract Variable, Inline Variable]",2
"[Rename Method, Remove Parameter]",2
"[Add Method Annotation, Replace Anonymous With Lambda]",2
"[Extract Method, Rename Parameter]",2
"[Remove Thrown Exception Type, Extract Method]",2
"[Add Parameter, Encapsulate Attribute]",2
"[Change Attribute Access Modifier, Move Attribute]",2
"[Change Variable Type, Inline Variable]",2
"[Change Attribute Access Modifier, Change Method Access Modifier]",2
"[Move Class, Extract And Move Method]",2
"[Add Parameter, Add Attribute Modifier]",2
"[Remove Thrown Exception Type, Add Thrown Exception Type]",2
"[Remove Parameter, Extract Variable]",2
"[Rename Variable, Extract Variable]",2
"[Change Attribute Access Modifier, Change Variable Type]",2
"[Rename Variable, Rename Class]",2
"[Add Parameter, Remove Parameter]",2
"[Rename Method, Remove Thrown Exception Type]",2
"[Rename Method, Change Parameter Type]",2
"[Rename Attribute, Change Variable Type]",2
"[Add Method Annotation, Change Variable Type]",2
"[Rename Method, Extract Variable]",2
"[Remove Method Annotation, Change Variable Type]",2
"[Move Method, Change Variable Type]",2
"[Replace Variable With Attribute, Change Attribute Type]",2
"[Rename Class, Change Attribute Type]",2
"[Remove Parameter, Encapsulate Attribute]",2
"[Remove Thrown Exception Type, Extract Variable]",2
"[Add Method Annotation, Add Variable Annotation]",2
