combination,number
[Rename Method],32
[Extract Method],27
[Rename Attribute],16
[Add Parameter],15
[Rename Variable],15
[Rename Parameter],15
[Extract Variable],13
[Rename Class],12
[Add Method Annotation],10
[Change Method Access Modifier],8
[Change Attribute Type],8
[Move Class],7
[Encapsulate Attribute],7
[Add Class Annotation],6
[Remove Method Annotation],6
[Change Variable Type],6
[Add Variable Modifier],6
[Add Attribute Modifier],6
[Change Class Access Modifier],6
[Inline Variable],5
[Extract And Move Method],5
[Remove Method Modifier],5
[Move Source Folder],4
[Change Parameter Type],3
[Remove Parameter],3
[Change Attribute Access Modifier],3
[Move Method],3
[Add Thrown Exception Type],3
[Extract Superclass],3
[Change Thrown Exception Type],2
[Add Class Modifier],2
[Modify Method Annotation],1
[Remove Parameter Modifier],1
[Remove Variable Modifier],1
[Extract Attribute],1
[Move Attribute],1
[Move And Rename Class],1
[Merge Variable],1
[Remove Attribute Modifier],1
[Modify Attribute Annotation],1
[Add Method Modifier],1
[Inline Attribute],1
[Change Return Type],1
[Remove Thrown Exception Type],1
[Extract Interface],1
[Remove Class Annotation],1
combination,number
"[Rename Variable, Change Variable Type]",7
"[Rename Attribute, Rename Parameter]",5
"[Add Parameter, Extract Method]",5
"[Rename Method, Rename Attribute]",5
"[Rename Method, Extract Method]",4
"[Change Method Access Modifier, Extract And Move Method]",4
"[Rename Variable, Extract Method]",4
"[Rename Method, Rename Parameter]",3
"[Rename Class, Change Class Access Modifier]",3
"[Add Parameter, Extract Variable]",3
"[Change Parameter Type, Change Attribute Type]",3
"[Rename Attribute, Extract Method]",3
"[Rename Method, Rename Variable]",3
"[Change Attribute Access Modifier, Move Attribute]",3
"[Add Parameter, Rename Variable]",2
"[Encapsulate Attribute, Extract Variable]",2
"[Extract Method, Inline Variable]",2
"[Change Method Access Modifier, Extract Method]",2
"[Rename Variable, Rename Class]",2
"[Rename Class, Extract Variable]",2
"[Change Return Type, Extract Method]",2
"[Change Parameter Type, Rename Class]",2
"[Rename Variable, Rename Parameter]",2
"[Rename Method, Add Parameter]",2
"[Rename Method, Encapsulate Attribute]",2
"[Extract Method, Extract And Move Method]",2
"[Rename Method, Change Return Type]",2
"[Change Parameter Type, Rename Parameter]",2
"[Remove Parameter, Rename Attribute]",1
"[Move And Inline Method, Add Method Modifier]",1
"[Add Variable Modifier, Add Parameter]",1
"[Add Parameter, Add Attribute Modifier]",1
"[Rename Variable, Change Method Access Modifier]",1
"[Add Parameter, Change Attribute Access Modifier]",1
"[Change Method Access Modifier, Add Attribute Modifier]",1
"[Rename Class, Remove Method Annotation]",1
"[Change Return Type, Change Variable Type]",1
"[Change Method Access Modifier, Change Class Access Modifier]",1
"[Add Method Annotation, Remove Method Annotation]",1
