combination,number
[Extract Variable],35
[Add Parameter],20
[Extract Method],19
[Add Class Annotation],18
[Change Variable Type],11
[Add Thrown Exception Type],11
[Rename Method],9
[Rename Variable],9
[Add Method Annotation],8
[Remove Method Modifier],8
[Remove Method Annotation],7
[Add Method Modifier],7
[Change Return Type],7
[Remove Thrown Exception Type],7
[Change Method Access Modifier],6
[Rename Attribute],6
[Modify Method Annotation],6
[Remove Parameter],6
[Rename Parameter],6
[Move Source Folder],5
[Change Attribute Access Modifier],5
[Modify Class Annotation],5
[Change Attribute Type],5
[Inline Variable],4
[Encapsulate Attribute],4
[Change Parameter Type],4
[Change Thrown Exception Type],4
[Add Attribute Modifier],3
[Add Attribute Annotation],3
[Remove Attribute Modifier],3
[Inline Attribute],3
[Move Class],2
[Modify Parameter Annotation],2
[Replace Anonymous With Lambda],2
[Replace Loop With Pipeline],2
[Change Class Access Modifier],2
[Add Parameter Annotation],2
[Rename Class],2
[Move Attribute],1
[Reorder Parameter],1
[Remove Parameter Annotation],1
[Replace Variable With Attribute],1
[Extract And Move Method],1
[Add Parameter Modifier],1
[Inline Method],1
[Change Type Declaration Kind],1
[Remove Class Modifier],1
[Pull Up Method],1
[Remove Attribute Annotation],1
[Remove Class Annotation],1
combination,number
"[Add Method Annotation, Remove Method Annotation]",5
"[Rename Variable, Change Variable Type]",5
"[Rename Method, Rename Parameter]",3
"[Add Parameter, Extract Variable]",3
"[Add Parameter, Extract Method]",3
"[Add Class Annotation, Add Attribute Annotation]",2
"[Change Variable Type, Extract Variable]",2
"[Remove Parameter, Replace Variable With Attribute]",2
"[Change Method Access Modifier, Extract Method]",2
"[Add Class Annotation, Change Variable Type]",2
"[Extract Variable, Add Thrown Exception Type]",2
"[Modify Parameter Annotation, Modify Method Annotation]",2
"[Add Parameter, Change Variable Type]",2
"[Remove Attribute Modifier, Add Class Modifier]",2
"[Modify Method Annotation, Add Thrown Exception Type]",2
"[Change Parameter Type, Change Attribute Type]",2
"[Modify Parameter Annotation, Rename Parameter]",2
"[Remove Method Modifier, Remove Attribute Modifier]",2
"[Rename Method, Add Parameter]",2
"[Change Parameter Type, Change Variable Type]",2
"[Rename Method, Rename Attribute]",2
"[Change Method Access Modifier, Add Thrown Exception Type]",2
"[Change Method Access Modifier, Remove Method Annotation]",2
"[Extract Variable, Extract Method]",2
"[Modify Class Annotation, Remove Class Annotation]",1
"[Add Parameter, Rename Variable]",1
"[Add Parameter, Change Method Access Modifier]",1
"[Add Parameter, Extract And Move Method]",1
"[Pull Up Method, Extract Superclass]",1
"[Add Parameter Modifier, Add Thrown Exception Type]",1
"[Replace Attribute With Variable, Extract Variable]",1
"[Change Return Type, Remove Thrown Exception Type]",1
"[Add Variable Modifier, Add Parameter]",1
"[Replace Variable With Attribute, Change Variable Type]",1
"[Rename Variable, Move Class]",1
"[Change Thrown Exception Type, Rename Attribute]",1
"[Encapsulate Attribute, Extract Variable]",1
"[Change Attribute Access Modifier, Change Attribute Type]",1
"[Rename Class, Extract Attribute]",1
"[Add Attribute Annotation, Remove Attribute Modifier]",1
"[Remove Thrown Exception Type, Add Thrown Exception Type]",1
"[Modify Parameter Annotation, Change Variable Type]",1
"[Rename Variable, Extract And Move Method]",1
"[Change Return Type, Change Variable Type]",1
"[Change Method Access Modifier, Change Class Access Modifier]",1
"[Add Thrown Exception Type, Rename Parameter]",1
"[Modify Method Annotation, Modify Class Annotation]",1
"[Pull Up Method, Remove Method Annotation]",1
"[Add Parameter Modifier, Move Attribute]",1
"[Remove Parameter, Change Attribute Type]",1
"[Move Method, Extract Superclass]",1
"[Pull Up Attribute, Extract And Move Method]",1
"[Extract Method, Inline Variable]",1
"[Rename Method, Add Thrown Exception Type]",1
"[Move Class, Extract Variable]",1
"[Add Parameter Annotation, Extract Variable]",1
