combination,number
[Extract Variable],48
[Change Variable Type],36
[Add Parameter],31
[Move Class],28
[Rename Variable],26
[Rename Method],25
[Add Method Annotation],22
[Add Attribute Modifier],20
[Rename Attribute],18
[Rename Class],14
[Inline Variable],14
[Remove Parameter],13
[Change Attribute Access Modifier],12
[Rename Parameter],12
[Change Method Access Modifier],9
[Add Thrown Exception Type],9
[Extract Method],9
[Move Source Folder],8
[Change Thrown Exception Type],6
[Encapsulate Attribute],6
[Add Class Annotation],5
[Extract And Move Method],4
[Move And Inline Method],3
[Move Method],3
[Add Method Modifier],3
[Remove Method Modifier],3
[Inline Method],3
[Remove Thrown Exception Type],3
[Remove Class Modifier],2
[Change Parameter Type],2
[Move Attribute],2
[Move And Rename Class],2
[Modify Class Annotation],2
[Remove Method Annotation],2
[Pull Up Method],2
[Change Return Type],2
[Remove Class Annotation],2
[Merge Attribute],1
[Localize Parameter],1
[Remove Variable Modifier],1
[Replace Attribute With Variable],1
[Inline Attribute],1
[Extract Superclass],1
[Change Class Access Modifier],1
[Change Attribute Type],1
combination,number
"[Rename Variable, Change Variable Type]",15
"[Move Package, Move Class]",9
"[Change Return Type, Change Variable Type]",8
"[Add Attribute Modifier, Change Variable Type]",6
"[Rename Variable, Extract Variable]",5
"[Rename Attribute, Change Attribute Type]",4
"[Rename Package, Move Class]",4
"[Rename Variable, Rename Parameter]",3
"[Change Method Access Modifier, Rename Parameter]",3
"[Rename Variable, Inline Variable]",3
"[Remove Class Modifier, Remove Attribute Modifier]",3
"[Rename Method, Add Parameter]",3
"[Rename Method, Rename Variable]",3
"[Add Parameter, Rename Parameter]",3
"[Rename Variable, Extract Method]",3
"[Add Parameter, Change Method Access Modifier]",2
"[Add Parameter, Extract And Move Method]",2
"[Extract Variable, Change Variable Type]",2
"[Change Thrown Exception Type, Add Thrown Exception Type]",2
"[Change Method Access Modifier, Move Class]",2
"[Change Attribute Access Modifier, Remove Attribute Modifier]",2
"[Remove Parameter, Extract Variable]",2
"[Change Attribute Access Modifier, Add Attribute Modifier]",2
"[Rename Class, Change Variable Type]",2
"[Change Thrown Exception Type, Change Variable Type]",2
"[Rename Variable, Rename Attribute]",2
"[Move Source Folder, Change Variable Type]",2
"[Inline Method, Change Variable Type]",2
"[Add Parameter, Change Variable Type]",2
"[Add Attribute Modifier, Rename Attribute]",2
"[Change Parameter Type, Change Attribute Type]",2
"[Add Method Annotation, Add Attribute Modifier]",2
"[Rename Method, Change Method Access Modifier]",2
"[Add Attribute Modifier, Inline Variable]",2
"[Rename Method, Rename Parameter]",1
"[Inline Attribute, Remove Parameter]",1
"[Replace Variable With Attribute, Change Variable Type]",1
"[Inline Variable, Rename Parameter]",1
"[Localize Parameter, Rename Variable]",1
"[Move Source Folder, Move Class]",1
"[Change Attribute Access Modifier, Rename Attribute]",1
"[Change Return Type, Remove Parameter]",1
"[Add Method Annotation, Rename Parameter]",1
"[Rename Variable, Change Method Access Modifier]",1
"[Change Method Access Modifier, Change Variable Type]",1
"[Add Thrown Exception Type, Rename Parameter]",1
"[Add Class Annotation, Add Method Annotation]",1
"[Add Attribute Modifier, Extract Variable]",1
"[Add Method Annotation, Extract Method]",1
"[Add Parameter, Extract Variable]",1
"[Move Method, Add Thrown Exception Type]",1
"[Rename Variable, Change Attribute Type]",1
"[Inline Method, Rename Parameter]",1
"[Rename Attribute, Rename Parameter]",1
"[Move Class, Change Class Access Modifier]",1
"[Change Method Access Modifier, Extract Method]",1
"[Rename Method, Remove Attribute Modifier]",1
"[Add Parameter, Remove Parameter]",1
"[Move And Rename Method, Remove Parameter]",1
"[Encapsulate Attribute, Extract Method]",1
"[Rename Variable, Add Attribute Modifier]",1
"[Move Class, Add Class Modifier]",1
"[Change Parameter Type, Change Return Type]",1
"[Add Method Annotation, Change Variable Type]",1
"[Change Return Type, Extract Variable]",1
"[Move And Rename Method, Change Variable Type]",1
"[Inline Method, Rename Attribute]",1
"[Move Class, Merge Package]",1
"[Merge Variable, Remove Parameter]",1
"[Remove Thrown Exception Type, Change Thrown Exception Type]",1
"[Add Parameter, Inline Variable]",1
"[Replace Attribute With Variable, Rename Parameter]",1
"[Rename Attribute, Extract Method]",1
"[Change Attribute Type, Extract Method]",1
"[Add Attribute Modifier, Move Attribute]",1
"[Rename Class, Remove Thrown Exception Type]",1
"[Add Method Annotation, Add Parameter]",1
"[Move And Rename Method, Change Method Access Modifier]",1
"[Remove Parameter, Remove Thrown Exception Type]",1
"[Add Method Annotation, Rename Variable]",1
"[Change Method Access Modifier, Add Method Modifier]",1
"[Split Package, Move Class]",1
"[Add Parameter, Move Attribute]",1
"[Rename Method, Change Variable Type]",1
"[Change Parameter Type, Change Variable Type]",1
"[Add Parameter, Remove Attribute Modifier]",1
"[Rename Method, Rename Attribute]",1
"[Remove Parameter, Rename Parameter]",1
"[Rename Method, Encapsulate Attribute]",1
"[Move Class, Rename Parameter]",1
"[Inline Variable, Extract And Move Method]",1
"[Change Return Type, Extract Attribute]",1
"[Move And Inline Method, Rename Variable]",1
"[Remove Thrown Exception Type, Change Variable Type]",1
"[Replace Variable With Attribute, Remove Attribute Modifier]",1
"[Inline Method, Inline Variable]",1
"[Move Class, Rename Attribute]",1
"[Remove Thrown Exception Type, Inline Variable]",1
"[Inline Method, Change Method Access Modifier]",1
"[Inline Method, Extract And Move Method]",1
"[Localize Parameter, Remove Parameter]",1
"[Change Variable Type, Add Class Modifier]",1
"[Remove Variable Modifier, Extract Variable]",1
"[Change Variable Type, Add Variable Annotation]",1
"[Add Attribute Modifier, Add Class Modifier]",1
"[Extract Variable, Extract Method]",1
"[Change Variable Type, Extract Method]",1
"[Extract Method, Rename Parameter]",1
"[Rename Method, Change Return Type]",1
"[Move Method, Move Attribute]",1
"[Add Method Annotation, Add Method Modifier]",1
"[Replace Variable With Attribute, Split Attribute]",1
"[Change Return Type, Change Thrown Exception Type]",1
"[Add Parameter, Move Class]",1
"[Change Attribute Access Modifier, Move Method]",1
"[Add Method Annotation, Change Method Access Modifier]",1
"[Rename Attribute, Inline Variable]",1
"[Change Return Type, Change Attribute Type]",1
"[Change Parameter Type, Rename Parameter]",1
"[Change Attribute Access Modifier, Change Method Access Modifier]",1
"[Add Parameter, Extract Attribute]",1
combination,number
"[Change Parameter Type, Change Return Type, Change Attribute Type]",8
"[Rename Method, Rename Class, Change Variable Type]",3
"[Rename Method, Rename Attribute, Rename Parameter]",3
"[Change Parameter Type, Change Return Type, Change Variable Type]",2
"[Rename Variable, Move Method, Rename Attribute]",2
"[Rename Method, Rename Variable, Change Variable Type]",2
"[Change Method Access Modifier, Move Method, Add Method Modifier]",2
"[Rename Variable, Move Method, Change Variable Type]",2
"[Change Parameter Type, Change Variable Type, Add Thrown Exception Type]",1
"[Change Parameter Type, Rename Attribute, Rename Parameter]",1
"[Add Attribute Modifier, Change Thrown Exception Type, Add Class Modifier]",1
"[Change Method Access Modifier, Move Method, Inline Variable]",1
"[Remove Thrown Exception Type, Remove Parameter, Change Variable Type]",1
"[Move And Inline Method, Inline Method, Extract Method]",1
"[Add Attribute Modifier, Change Variable Type, Change Attribute Type]",1
"[Move Method, Move Attribute, Change Variable Type]",1
"[Add Parameter, Rename Variable, Rename Parameter]",1
"[Change Return Type, Rename Class, Change Attribute Type]",1
"[Move And Rename Method, Rename Variable, Move Method]",1
"[Change Attribute Access Modifier, Add Attribute Modifier, Remove Attribute Modifier]",1
"[Remove Class Modifier, Add Attribute Modifier, Remove Attribute Modifier]",1
"[Rename Method, Add Parameter, Rename Variable]",1
"[Change Attribute Access Modifier, Rename Attribute, Change Variable Type]",1
"[Rename Variable, Rename Attribute, Add Class Modifier]",1
"[Rename Method, Rename Variable, Rename Attribute]",1
"[Change Method Access Modifier, Move Method, Rename Parameter]",1
"[Split Package, Move Class, Merge Package]",1
"[Move Package, Change Attribute Access Modifier, Move Class]",1
"[Rename Class, Rename Attribute, Change Attribute Type]",1
"[Remove Parameter, Parameterize Variable, Change Variable Type]",1
"[Rename Method, Rename Variable, Rename Parameter]",1
"[Remove Parameter, Extract Variable, Extract Method]",1
"[Add Parameter, Remove Parameter, Parameterize Variable]",1
"[Add Parameter, Change Return Type, Change Attribute Type]",1
"[Change Attribute Access Modifier, Extract Variable, Extract Method]",1
"[Rename Package, Move Class, Move And Rename Class]",1
"[Remove Attribute Annotation, Rename Attribute, Remove Class Annotation]",1
"[Change Attribute Access Modifier, Add Parameter, Change Method Access Modifier]",1
"[Add Parameter, Remove Parameter, Add Thrown Exception Type]",1
"[Move Class, Rename Attribute, Change Class Access Modifier]",1
"[Add Parameter, Rename Variable, Add Thrown Exception Type]",1
"[Rename Method, Change Attribute Access Modifier, Rename Attribute]",1
"[Rename Method, Replace Variable With Attribute, Rename Attribute]",1
"[Rename Variable, Add Thrown Exception Type, Extract And Move Method]",1
"[Change Return Type, Change Variable Type, Change Attribute Type]",1
"[Localize Parameter, Change Parameter Type, Add Parameter]",1
"[Pull Up Method, Extract Superclass, Extract Interface]",1
"[Change Attribute Access Modifier, Change Method Access Modifier, Inline Variable]",1
"[Change Parameter Type, Rename Variable, Rename Parameter]",1
"[Change Return Type, Replace Variable With Attribute, Change Variable Type]",1
"[Parameterize Attribute, Add Parameter, Change Method Access Modifier]",1
"[Rename Variable, Extract Method, Extract And Move Method]",1
"[Move Class, Change Thrown Exception Type, Change Variable Type]",1
"[Rename Attribute, Split Attribute, Change Attribute Type]",1
"[Move And Rename Method, Add Parameter, Move Method]",1
"[Localize Parameter, Add Attribute Modifier, Change Variable Type]",1
"[Rename Method, Add Parameter, Change Return Type]",1
"[Extract Superclass, Change Variable Type, Add Thrown Exception Type]",1
"[Change Attribute Access Modifier, Rename Attribute, Change Attribute Type]",1
"[Add Parameter, Rename Variable, Remove Parameter]",1
"[Inline Method, Rename Variable, Inline Variable]",1
"[Move And Rename Method, Move Method, Move Attribute]",1
"[Rename Variable, Extract Variable, Change Variable Type]",1
"[Inline Attribute, Change Method Access Modifier, Rename Class]",1
"[Move Method, Move Attribute, Move Class]",1
"[Rename Variable, Parameterize Variable, Change Variable Type]",1
"[Add Parameter, Remove Parameter, Extract Variable]",1
"[Add Method Annotation, Change Parameter Type, Change Variable Type]",1
"[Move And Rename Class, Change Thrown Exception Type, Change Variable Type]",1
"[Parameterize Attribute, Inline Variable, Rename Parameter]",1
"[Move And Inline Method, Move Method, Add Method Modifier]",1
"[Change Attribute Access Modifier, Change Parameter Type, Change Attribute Type]",1
"[Push Down Method, Extract Subclass, Extract Superclass]",1
"[Change Parameter Type, Move Class, Change Variable Type]",1
"[Change Attribute Access Modifier, Rename Variable, Add Attribute Modifier]",1
"[Rename Variable, Change Variable Type, Rename Parameter]",1
"[Rename Variable, Merge Parameter, Rename Parameter]",1
"[Change Attribute Access Modifier, Add Attribute Modifier, Inline Variable]",1
"[Rename Variable, Rename Attribute, Change Attribute Type]",1
"[Rename Method, Reorder Parameter, Remove Parameter]",1
"[Add Attribute Modifier, Rename Attribute, Change Attribute Type]",1
"[Move Method, Add Method Modifier, Extract Variable]",1
"[Parameterize Variable, Extract Variable, Extract Method]",1
"[Reorder Parameter, Add Parameter, Parameterize Variable]",1
"[Rename Variable, Remove Thrown Exception Type, Change Variable Type]",1
combination,number
"[Change Parameter Type, Change Return Type, Change Variable Type, Change Attribute Type]",3
"[Change Parameter Type, Remove Parameter, Remove Thrown Exception Type, Change Variable Type]",2
"[Push Down Method, Change Attribute Access Modifier, Push Down Attribute, Remove Parameter]",2
"[Change Parameter Type, Change Attribute Access Modifier, Change Return Type, Change Attribute Type]",2
"[Change Parameter Type, Remove Parameter, Parameterize Variable, Rename Parameter]",2
"[Add Method Annotation, Change Parameter Type, Add Parameter, Change Thrown Exception Type]",1
"[Rename Method, Add Method Annotation, Push Down Method, Push Down Attribute]",1
"[Inline Method, Change Return Type, Change Variable Type, Change Attribute Type]",1
"[Inline Method, Rename Variable, Remove Thrown Exception Type, Inline Variable]",1
"[Add Parameter, Change Attribute Access Modifier, Add Attribute Modifier, Rename Attribute]",1
"[Rename Variable, Rename Attribute, Extract Variable, Extract Method]",1
"[Add Attribute Modifier, Move Class, Change Class Access Modifier, Add Class Modifier]",1
"[Rename Variable, Extract Attribute, Change Variable Type, Add Class Modifier]",1
"[Rename Variable, Remove Thrown Exception Type, Extract Method, Inline Variable]",1
"[Change Parameter Type, Rename Attribute, Remove Variable Annotation, Extract Method]",1
"[Rename Method, Move And Inline Method, Change Method Access Modifier, Extract Method]",1
"[Encapsulate Attribute, Extract Variable, Change Class Access Modifier, Extract Method]",1
"[Change Parameter Type, Add Parameter, Replace Variable With Attribute, Rename Parameter]",1
"[Change Parameter Type, Change Thrown Exception Type, Change Variable Type, Rename Parameter]",1
"[Rename Attribute, Remove Method Modifier, Change Variable Type, Remove Attribute Modifier]",1
"[Change Return Type, Rename Class, Change Variable Type, Change Attribute Type]",1
"[Rename Method, Add Parameter, Extract Variable, Inline Variable]",1
"[Rename Variable, Change Variable Type, Extract Method, Extract And Move Method]",1
"[Rename Variable, Rename Attribute, Change Variable Type, Rename Parameter]",1
"[Move And Rename Method, Add Parameter, Move Method, Change Method Access Modifier]",1
"[Inline Method, Rename Variable, Extract Variable, Change Variable Type]",1
"[Add Method Annotation, Change Parameter Type, Add Parameter, Rename Parameter]",1
"[Rename Method, Rename Variable, Parameterize Variable, Change Variable Type]",1
"[Move Source Folder, Rename Variable, Extract Variable, Add Thrown Exception Type]",1
"[Move Package, Split Package, Move Class, Merge Package]",1
"[Rename Variable, Encapsulate Attribute, Rename Attribute, Change Attribute Type]",1
"[Add Parameter, Rename Variable, Extract Variable, Change Variable Type]",1
"[Add Parameter, Merge Variable, Remove Parameter, Parameterize Variable]",1
"[Change Attribute Access Modifier, Inline Method, Rename Variable, Add Attribute Modifier]",1
"[Rename Method, Change Thrown Exception Type, Rename Attribute, Rename Parameter]",1
"[Rename Method, Move Class, Rename Attribute, Rename Parameter]",1
"[Change Parameter Type, Add Attribute Modifier, Change Return Type, Change Variable Type]",1
"[Change Method Access Modifier, Extract Method, Rename Parameter, Extract And Move Method]",1
"[Rename Method, Move And Rename Method, Move Attribute, Remove Parameter]",1
"[Change Attribute Access Modifier, Add Attribute Modifier, Extract Attribute, Rename Attribute]",1
"[Rename Variable, Change Variable Type, Inline Variable, Extract And Move Method]",1
"[Change Attribute Access Modifier, Remove Parameter, Encapsulate Attribute, Rename Attribute]",1
"[Change Parameter Type, Extract Variable, Change Variable Type, Change Attribute Type]",1
"[Change Parameter Type, Change Return Type, Rename Class, Change Attribute Type]",1
"[Add Parameter, Rename Variable, Change Variable Type, Extract Method]",1
"[Change Parameter Type, Rename Variable, Merge Variable, Change Variable Type]",1
"[Rename Method, Push Down Method, Change Attribute Access Modifier, Add Class Modifier]",1
