combination,number
[Add Parameter],25
[Extract Variable],22
[Extract Method],19
[Change Variable Type],16
[Add Method Annotation],15
[Change Method Access Modifier],15
[Remove Method Annotation],13
[Rename Variable],10
[Rename Attribute],10
[Remove Parameter],9
[Rename Method],9
[Change Return Type],9
[Change Attribute Type],9
[Rename Parameter],8
[Move Source Folder],5
[Change Attribute Access Modifier],5
[Extract And Move Method],4
[Add Thrown Exception Type],4
[Modify Method Annotation],3
[Move Class],3
[Encapsulate Attribute],3
[Add Attribute Modifier],3
[Extract Superclass],3
[Split Attribute],2
[Add Class Annotation],2
[Parameterize Variable],2
[Remove Attribute Modifier],2
[Move Method],2
[Add Variable Modifier],2
[Remove Class Modifier],1
[Change Parameter Type],1
[Remove Variable Modifier],1
[Extract Attribute],1
[Replace Attribute With Variable],1
[Modify Class Annotation],1
[Add Class Modifier],1
[Replace Anonymous With Lambda],1
[Add Method Modifier],1
[Merge Parameter],1
[Inline Method],1
[Remove Thrown Exception Type],1
[Change Class Access Modifier],1
[Remove Class Annotation],1
combination,number
"[Add Parameter, Rename Variable]",3
"[Rename Method, Rename Variable]",3
"[Rename Attribute, Change Attribute Type]",3
"[Change Variable Type, Extract Method]",3
"[Rename Method, Rename Parameter]",2
"[Rename Method, Add Parameter]",2
"[Rename Method, Change Method Access Modifier]",2
"[Add Parameter, Rename Parameter]",2
"[Add Parameter, Extract Variable]",2
"[Rename Variable, Extract Variable]",2
"[Rename Method, Remove Parameter]",2
"[Rename Attribute, Extract Variable]",2
"[Rename Variable, Remove Method Annotation]",2
"[Extract Variable, Extract Method]",2
"[Rename Variable, Change Variable Type]",2
"[Add Method Annotation, Change Method Access Modifier]",2
"[Change Return Type, Change Attribute Type]",2
"[Change Variable Type, Inline Variable]",2
"[Change Attribute Access Modifier, Change Method Access Modifier]",2
"[Rename Class, Rename Attribute]",1
"[Pull Up Method, Collapse Hierarchy]",1
"[Add Method Annotation, Extract Variable]",1
"[Encapsulate Attribute, Change Attribute Type]",1
"[Change Variable Type, Change Attribute Type]",1
"[Extract Variable, Change Variable Type]",1
"[Modify Method Annotation, Change Class Access Modifier]",1
"[Add Method Annotation, Add Parameter]",1
"[Change Attribute Access Modifier, Rename Attribute]",1
"[Add Method Annotation, Add Attribute Modifier]",1
"[Change Method Access Modifier, Add Method Modifier]",1
"[Add Class Annotation, Remove Class Annotation]",1
"[Parameterize Attribute, Extract Method]",1
"[Change Attribute Access Modifier, Remove Attribute Modifier]",1
"[Add Class Annotation, Add Parameter]",1
"[Add Parameter, Extract Method]",1
"[Add Parameter, Remove Attribute Modifier]",1
"[Add Method Annotation, Remove Method Annotation]",1
"[Move Class, Rename Parameter]",1
"[Move And Inline Method, Add Parameter]",1
"[Extract Method, Modify Class Annotation]",1
"[Add Variable Modifier, Change Return Type]",1
"[Add Variable Modifier, Extract Variable]",1
"[Add Attribute Modifier, Extract Variable]",1
"[Add Method Annotation, Extract Method]",1
"[Add Parameter, Change Attribute Type]",1
"[Rename Method, Add Thrown Exception Type]",1
"[Extract Variable, Inline Variable]",1
"[Rename Attribute, Rename Parameter]",1
"[Rename Class, Move And Rename Class]",1
"[Add Method Annotation, Remove Attribute Modifier]",1
"[Modify Method Annotation, Extract Method]",1
"[Change Parameter Type, Extract Variable]",1
"[Change Method Access Modifier, Extract Method]",1
"[Add Attribute Modifier, Add Thrown Exception Type]",1
"[Change Attribute Access Modifier, Rename Variable]",1
"[Add Class Annotation, Change Variable Type]",1
"[Change Return Type, Move Class]",1
"[Modify Method Annotation, Rename Variable]",1
"[Add Parameter, Remove Parameter]",1
"[Rename Method, Modify Method Annotation]",1
"[Change Method Access Modifier, Remove Method Annotation]",1
"[Extract Variable, Add Thrown Exception Type]",1
"[Extract Method, Rename Parameter]",1
"[Rename Variable, Add Attribute Modifier]",1
"[Add Attribute Modifier, Inline Variable]",1
"[Add Method Annotation, Add Thrown Exception Type]",1
"[Rename Method, Add Method Annotation]",1
"[Move Attribute, Remove Attribute Modifier]",1
"[Rename Variable, Add Thrown Exception Type]",1
"[Rename Variable, Rename Attribute]",1
"[Rename Method, Extract Variable]",1
"[Inline Method, Change Variable Type]",1
"[Change Method Access Modifier, Extract Variable]",1
"[Move Source Folder, Encapsulate Attribute]",1
"[Move Source Folder, Change Class Access Modifier]",1
"[Remove Class Modifier, Add Parameter]",1
"[Change Attribute Access Modifier, Move Attribute]",1
"[Change Parameter Type, Change Attribute Type]",1
"[Inline Variable, Split Attribute]",1
"[Rename Method, Change Attribute Access Modifier]",1
"[Add Parameter, Extract Attribute]",1
combination,number
"[Rename Method, Rename Attribute, Rename Parameter]",3
"[Rename Method, Add Parameter, Rename Variable]",2
"[Rename Method, Rename Variable, Rename Attribute]",2
"[Localize Parameter, Add Parameter, Extract Method]",2
"[Rename Variable, Add Attribute Modifier, Rename Attribute]",2
"[Change Parameter Type, Change Variable Type, Change Attribute Type]",2
"[Rename Variable, Change Variable Type, Extract Method]",2
"[Add Method Modifier, Remove Parameter, Parameterize Variable]",2
"[Extract Variable, Change Variable Type, Rename Parameter]",1
"[Add Variable Modifier, Add Parameter, Extract Variable]",1
"[Rename Class, Remove Parameter, Change Variable Type]",1
"[Add Method Annotation, Change Attribute Access Modifier, Add Method Modifier]",1
"[Move And Rename Method, Move Method, Change Variable Type]",1
"[Change Method Access Modifier, Remove Parameter, Remove Thrown Exception Type]",1
"[Add Parameter, Rename Variable, Rename Parameter]",1
"[Add Parameter, Change Method Access Modifier, Extract Variable]",1
"[Change Method Access Modifier, Add Method Modifier, Inline Variable]",1
"[Move Source Folder, Rename Attribute, Extract Method]",1
"[Add Parameter, Extract Variable, Add Class Modifier]",1
"[Rename Method, Remove Parameter, Extract Method]",1
