combination,number
[Extract Variable],85
[Add Parameter],77
[Extract Method],51
[Change Variable Type],37
[Rename Method],34
[Rename Variable],30
[Change Return Type],23
[Add Attribute Modifier],22
[Rename Attribute],18
[Change Parameter Type],17
[Rename Parameter],17
[Add Thrown Exception Type],16
[Inline Variable],15
[Change Attribute Type],15
[Add Method Annotation],14
[Move Class],14
[Change Method Access Modifier],14
[Encapsulate Attribute],14
[Modify Class Annotation],14
[Move Source Folder],13
[Change Attribute Access Modifier],11
[Extract And Move Method],10
[Add Class Annotation],9
[Add Attribute Annotation],8
[Extract Attribute],8
[Remove Parameter],8
[Rename Class],7
[Add Variable Modifier],5
[Modify Method Annotation],5
[Add Method Modifier],5
[Remove Method Annotation],4
[Change Class Access Modifier],4
[Move Method],4
[Remove Thrown Exception Type],4
[Reorder Parameter],3
[Inline Method],3
[Remove Attribute Modifier],3
[Remove Attribute Annotation],3
[Move Attribute],2
[Replace Variable With Attribute],2
[Replace Anonymous With Lambda],2
[Add Parameter Modifier],2
[Remove Method Modifier],2
[Remove Variable Modifier],2
[Modify Attribute Annotation],2
[Remove Class Annotation],2
[Merge Attribute],1
[Move And Rename Method],1
[Remove Parameter Modifier],1
[Replace Attribute With Variable],1
[Move And Rename Class],1
[Extract Superclass],1
[Merge Variable],1
[Change Thrown Exception Type],1
[Parameterize Variable],1
[Add Variable Annotation],1
[Extract Interface],1
combination,number
"[Rename Variable, Change Variable Type]",19
"[Change Variable Type, Change Attribute Type]",7
"[Change Parameter Type, Rename Parameter]",7
"[Change Parameter Type, Change Attribute Type]",6
"[Add Parameter, Add Thrown Exception Type]",6
"[Add Parameter, Extract Method]",5
"[Change Return Type, Change Variable Type]",4
"[Add Method Annotation, Extract Method]",4
"[Rename Attribute, Rename Parameter]",4
"[Add Parameter, Remove Parameter]",4
"[Rename Variable, Modify Class Annotation]",4
"[Change Parameter Type, Change Return Type]",4
"[Add Parameter, Change Variable Type]",4
"[Rename Method, Rename Attribute]",4
"[Rename Attribute, Change Attribute Type]",4
"[Rename Method, Change Return Type]",4
"[Move Package, Move Class]",4
"[Add Parameter, Change Method Access Modifier]",3
"[Add Parameter, Modify Class Annotation]",3
"[Add Parameter, Extract Variable]",3
"[Add Parameter, Change Parameter Type]",3
"[Rename Class, Change Variable Type]",3
"[Remove Attribute Annotation, Add Attribute Annotation]",3
"[Change Parameter Type, Remove Parameter]",3
"[Rename Method, Add Parameter]",3
"[Add Parameter, Rename Parameter]",3
"[Change Parameter Type, Change Variable Type]",3
"[Rename Variable, Extract Method]",3
"[Pull Up Method, Extract Interface]",3
"[Add Parameter, Change Return Type]",3
"[Extract Method, Rename Parameter]",3
"[Localize Parameter, Add Parameter]",2
"[Encapsulate Attribute, Change Attribute Type]",2
"[Extract Variable, Change Variable Type]",2
"[Add Method Annotation, Rename Parameter]",2
"[Change Attribute Access Modifier, Extract Method]",2
"[Add Variable Modifier, Extract Variable]",2
"[Extract Method, Inline Variable]",2
"[Rename Variable, Extract Variable]",2
"[Change Attribute Access Modifier, Add Attribute Modifier]",2
"[Move Class, Change Class Access Modifier]",2
"[Add Attribute Modifier, Remove Parameter]",2
"[Rename Variable, Remove Parameter]",2
"[Move Method, Extract Class]",2
"[Extract Variable, Change Attribute Type]",2
"[Add Parameter, Inline Method]",2
"[Rename Variable, Rename Attribute]",2
"[Rename Method, Extract Variable]",2
"[Add Variable Modifier, Change Variable Type]",2
"[Add Attribute Modifier, Rename Attribute]",2
"[Rename Variable, Inline Variable]",2
"[Rename Method, Change Variable Type]",2
"[Remove Parameter, Modify Class Annotation]",2
"[Add Parameter, Extract Interface]",2
"[Rename Method, Remove Parameter]",2
"[Rename Attribute, Extract Variable]",2
"[Change Variable Type, Add Thrown Exception Type]",2
"[Rename Class, Change Attribute Type]",2
"[Change Variable Type, Extract And Move Method]",2
"[Add Method Annotation, Change Method Access Modifier]",2
"[Add Parameter, Encapsulate Attribute]",2
"[Remove Parameter, Rename Attribute]",1
"[Add Parameter, Rename Variable]",1
"[Add Parameter Modifier, Add Thrown Exception Type]",1
"[Modify Method Annotation, Remove Thrown Exception Type]",1
"[Add Variable Modifier, Add Parameter]",1
"[Change Return Type, Rename Class]",1
"[Add Parameter, Add Attribute Modifier]",1
"[Change Class Access Modifier, Add Class Modifier]",1
"[Remove Parameter, Parameterize Variable]",1
"[Rename Variable, Replace Variable With Attribute]",1
"[Change Attribute Access Modifier, Rename Attribute]",1
"[Add Parameter, Add Class Modifier]",1
"[Change Return Type, Remove Parameter]",1
"[Modify Class Annotation, Change Attribute Type]",1
"[Change Return Type, Modify Class Annotation]",1
"[Add Attribute Modifier, Replace Attribute With Variable]",1
"[Rename Variable, Change Return Type]",1
"[Add Class Annotation, Rename Parameter]",1
"[Remove Parameter, Replace Variable With Attribute]",1
"[Remove Thrown Exception Type, Add Thrown Exception Type]",1
"[Change Method Access Modifier, Change Class Access Modifier]",1
"[Change Parameter Type, Add Thrown Exception Type]",1
"[Change Method Access Modifier, Rename Attribute]",1
"[Replace Variable With Attribute, Extract Variable]",1
"[Extract Class, Move Attribute]",1
"[Add Parameter, Rename Class]",1
"[Change Attribute Access Modifier, Inline Method]",1
"[Change Parameter Type, Change Class Access Modifier]",1
"[Change Return Type, Add Parameter Modifier]",1
"[Remove Attribute Annotation, Rename Attribute]",1
"[Remove Parameter, Extract Variable]",1
"[Add Variable Modifier, Change Attribute Type]",1
