combination,number
[Extract Method],67
[Extract Variable],58
[Modify Method Annotation],48
[Add Method Annotation],46
[Change Variable Type],46
[Rename Method],43
[Move Source Folder],37
[Rename Variable],26
[Change Attribute Access Modifier],26
[Add Parameter],25
[Move Class],23
[Rename Class],22
[Change Attribute Type],18
[Change Method Access Modifier],16
[Encapsulate Attribute],16
[Inline Variable],13
[Rename Attribute],13
[Add Class Annotation],13
[Add Attribute Modifier],12
[Change Return Type],12
[Add Thrown Exception Type],11
[Remove Method Modifier],10
[Modify Class Annotation],10
[Rename Parameter],10
[Remove Method Annotation],8
[Change Parameter Type],8
[Extract Attribute],8
[Add Variable Modifier],7
[Inline Method],7
[Remove Thrown Exception Type],7
[Remove Parameter],6
[Replace Variable With Attribute],5
[Add Attribute Annotation],5
[Add Class Modifier],5
[Add Parameter Modifier],3
[Replace Loop With Pipeline],3
[Change Class Access Modifier],3
[Remove Attribute Modifier],3
[Move And Inline Method],3
[Move Method],3
[Add Method Modifier],3
[Pull Up Method],3
[Extract Interface],3
[Move Attribute],2
[Move And Rename Class],2
[Extract Superclass],2
[Change Thrown Exception Type],2
[Remove Class Annotation],2
[Move And Rename Method],1
[Pull Up Attribute],1
[Extract And Move Method],1
[Replace Anonymous With Lambda],1
[Merge Parameter],1
[Add Parameter Annotation],1
[Remove Variable Modifier],1
[Merge Variable],1
[Parameterize Variable],1
[Split Class],1
combination,number
"[Add Class Annotation, Add Method Annotation]",13
"[Rename Variable, Change Variable Type]",12
"[Rename Variable, Extract Method]",8
"[Change Return Type, Change Variable Type]",7
"[Change Variable Type, Change Attribute Type]",6
"[Change Attribute Access Modifier, Change Method Access Modifier]",6
"[Rename Variable, Extract Variable]",5
"[Change Parameter Type, Change Attribute Type]",5
"[Change Variable Type, Extract Method]",5
"[Rename Method, Extract Method]",4
"[Add Parameter, Extract Method]",4
"[Rename Method, Rename Attribute]",4
"[Change Class Access Modifier, Add Class Modifier]",3
"[Extract Variable, Change Variable Type]",3
"[Add Method Annotation, Remove Method Annotation]",3
"[Add Method Annotation, Extract Method]",3
"[Add Parameter, Extract Variable]",3
"[Rename Class, Change Variable Type]",3
"[Encapsulate Attribute, Extract Method]",3
"[Rename Variable, Remove Variable Modifier]",3
"[Add Class Annotation, Remove Class Annotation]",3
"[Rename Method, Remove Parameter]",3
"[Extract Method, Rename Parameter]",3
