combination,number
[Extract Variable],117
[Move Class],84
[Add Method Annotation],69
[Change Variable Type],52
[Add Variable Modifier],51
[Rename Method],44
[Rename Variable],38
[Extract Method],37
[Add Parameter],35
[Remove Variable Modifier],31
[Remove Parameter],30
[Add Attribute Modifier],29
[Move Source Folder],28
[Move Method],24
[Change Method Access Modifier],22
[Add Parameter Modifier],22
[Remove Method Annotation],22
[Rename Attribute],22
[Rename Class],21
[Inline Variable],18
[Add Method Modifier],18
[Change Attribute Type],16
[Change Parameter Type],14
[Rename Parameter],14
[Change Attribute Access Modifier],12
[Extract And Move Method],11
[Extract Attribute],11
[Remove Thrown Exception Type],11
[Remove Attribute Modifier],9
[Change Return Type],9
[Inline Method],8
[Add Thrown Exception Type],7
[Move And Inline Method],7
[Remove Parameter Modifier],6
[Move Attribute],5
[Encapsulate Attribute],5
[Add Parameter Annotation],5
[Add Class Modifier],5
[Modify Method Annotation],3
[Change Thrown Exception Type],3
[Modify Class Annotation],3
[Localize Parameter],2
[Move And Rename Method],2
[Move And Rename Class],2
[Replace Variable With Attribute],2
[Remove Method Modifier],2
[Add Attribute Annotation],2
[Add Class Annotation],2
[Add Variable Annotation],2
[Pull Up Method],2
[Remove Attribute Annotation],2
[Remove Parameter Annotation],1
[Replace Anonymous With Lambda],1
[Push Down Method],1
[Change Class Access Modifier],1
[Merge Variable],1
[Parameterize Variable],1
[Extract Interface],1
[Remove Class Annotation],1
[Remove Variable Annotation],1
combination,number
"[Add Variable Modifier, Add Parameter Modifier]",31
"[Rename Variable, Change Variable Type]",13
"[Change Return Type, Change Variable Type]",13
"[Change Parameter Type, Change Attribute Type]",9
"[Change Parameter Type, Rename Parameter]",9
"[Rename Package, Move Class]",9
"[Move Method, Move Class]",8
"[Add Variable Modifier, Extract Method]",8
"[Change Method Access Modifier, Move Class]",8
"[Move Package, Move Class]",8
"[Rename Method, Change Method Access Modifier]",7
"[Remove Variable Modifier, Extract Variable]",7
"[Change Variable Type, Extract Variable]",6
"[Add Method Annotation, Add Class Annotation]",6
"[Change Method Access Modifier, Move Method]",6
"[Add Parameter, Add Attribute Modifier]",6
"[Move Method, Extract Class]",6
"[Replace Variable With Attribute, Change Variable Type]",5
"[Remove Variable Modifier, Change Variable Type]",5
"[Rename Variable, Extract Method]",5
"[Add Parameter, Extract Variable]",5
"[Extract Variable, Extract Method]",5
"[Extract Variable, Rename Parameter]",5
"[Change Return Type, Change Attribute Type]",5
"[Add Attribute Modifier, Change Attribute Type]",4
"[Rename Class, Change Variable Type]",4
"[Rename Variable, Rename Attribute]",4
"[Rename Method, Remove Parameter]",4
"[Change Attribute Access Modifier, Change Method Access Modifier]",4
"[Add Parameter, Rename Variable]",4
"[Move Source Folder, Move Class]",4
"[Add Parameter, Remove Parameter]",4
"[Rename Method, Extract Variable]",4
"[Rename Method, Add Parameter]",4
"[Change Parameter Type, Change Variable Type]",4
"[Add Method Annotation, Change Method Access Modifier]",4
"[Change Method Access Modifier, Remove Method Modifier]",3
"[Change Attribute Access Modifier, Move Class]",3
"[Change Attribute Access Modifier, Rename Variable]",3
"[Change Return Type, Extract Variable]",3
"[Rename Variable, Rename Parameter]",3
"[Change Method Access Modifier, Add Method Modifier]",3
"[Parameterize Attribute, Extract Method]",3
"[Rename Method, Add Variable Modifier]",3
"[Move Method, Move Attribute]",3
"[Add Parameter, Move Class]",3
"[Add Method Annotation, Rename Parameter]",3
"[Remove Parameter, Replace Variable With Attribute]",3
"[Add Parameter, Rename Class]",3
"[Rename Variable, Extract Variable]",3
"[Rename Attribute, Rename Parameter]",3
"[Add Parameter, Extract Method]",3
"[Add Method Annotation, Remove Method Modifier]",3
"[Remove Thrown Exception Type, Change Variable Type]",3
"[Add Method Annotation, Add Variable Annotation]",3
"[Remove Variable Modifier, Rename Attribute]",2
"[Change Attribute Access Modifier, Change Class Access Modifier]",2
"[Move Source Folder, Modify Class Annotation]",2
"[Add Method Annotation, Remove Method Annotation]",2
"[Extract Method, Inline Variable]",2
"[Change Attribute Access Modifier, Add Attribute Modifier]",2
"[Add Method Annotation, Add Parameter Annotation]",2
"[Add Method Annotation, Change Parameter Type]",2
"[Add Attribute Modifier, Change Variable Type]",2
"[Add Attribute Modifier, Rename Attribute]",2
"[Rename Attribute, Remove Attribute Modifier]",2
"[Add Parameter, Remove Attribute Modifier]",2
"[Change Attribute Access Modifier, Rename Class]",2
"[Add Parameter Modifier, Extract Variable]",2
"[Change Parameter Type, Rename Variable]",2
"[Rename Attribute, Change Attribute Type]",2
"[Remove Method Annotation, Extract Variable]",2
"[Add Attribute Modifier, Extract Method]",2
"[Change Method Access Modifier, Remove Variable Modifier]",2
"[Extract Variable, Remove Attribute Modifier]",2
"[Add Parameter Modifier, Remove Method Annotation]",2
"[Move And Inline Method, Move Method]",2
"[Add Variable Modifier, Add Parameter]",2
"[Change Variable Type, Change Attribute Type]",2
"[Remove Parameter, Parameterize Variable]",2
"[Rename Method, Add Method Modifier]",2
"[Change Method Access Modifier, Add Attribute Modifier]",2
"[Change Method Access Modifier, Change Class Access Modifier]",2
"[Add Attribute Modifier, Extract Variable]",2
"[Change Attribute Access Modifier, Remove Method Annotation]",2
"[Add Parameter Annotation, Extract Variable]",2
"[Remove Parameter Modifier, Remove Variable Modifier]",2
"[Rename Method, Move And Inline Method]",2
"[Encapsulate Attribute, Remove Attribute Modifier]",2
"[Rename Method, Change Parameter Type]",2
"[Add Method Annotation, Remove Class Annotation]",2
"[Rename Method, Inline Variable]",2
"[Add Method Annotation, Change Variable Type]",2
"[Change Method Access Modifier, Extract Variable]",2
"[Add Variable Modifier, Remove Variable Modifier]",2
"[Add Attribute Modifier, Remove Variable Modifier]",2
