combination,number
[Change Method Access Modifier],146
[Rename Method],114
[Change Variable Type],54
[Change Return Type],52
[Rename Class],46
[Add Class Annotation],44
[Move Class],35
[Rename Parameter],34
[Change Class Access Modifier],33
[Rename Variable],29
[Add Method Annotation],26
[Add Parameter],26
[Extract Method],26
[Add Thrown Exception Type],21
[Add Class Modifier],18
[Rename Attribute],17
[Change Parameter Type],16
[Move Source Folder],15
[Add Attribute Modifier],15
[Extract Variable],14
[Remove Parameter],12
[Modify Class Annotation],12
[Remove Thrown Exception Type],12
[Remove Attribute Modifier],10
[Change Attribute Type],10
[Modify Method Annotation],8
[Move Method],8
[Inline Variable],7
[Encapsulate Attribute],6
[Inline Method],6
[Remove Class Annotation],6
[Remove Method Annotation],5
[Change Attribute Access Modifier],4
[Modify Attribute Annotation],4
[Add Method Modifier],4
[Move And Rename Method],3
[Add Attribute Annotation],3
[Change Type Declaration Kind],3
[Move And Inline Method],3
[Pull Up Method],3
[Remove Attribute Annotation],3
[Reorder Parameter],2
[Remove Class Modifier],2
[Extract Attribute],2
[Extract Interface],2
[Move Attribute],1
[Replace Attribute With Variable],1
[Extract And Move Method],1
[Merge Parameter],1
[Push Down Method],1
[Add Parameter Annotation],1
combination,number
"[Change Method Access Modifier, Change Class Access Modifier]",81
"[Add Class Annotation, Remove Class Annotation]",19
"[Rename Variable, Change Variable Type]",18
"[Rename Package, Move Class]",14
"[Change Class Access Modifier, Add Class Modifier]",10
"[Change Parameter Type, Change Attribute Type]",10
"[Rename Class, Change Attribute Type]",9
"[Rename Class, Change Variable Type]",8
"[Rename Method, Rename Variable]",8
"[Change Return Type, Rename Class]",7
"[Change Parameter Type, Change Return Type]",6
"[Change Return Type, Change Variable Type]",5
"[Rename Variable, Rename Parameter]",5
"[Change Parameter Type, Change Variable Type]",5
"[Rename Attribute, Rename Parameter]",4
"[Add Class Annotation, Change Class Access Modifier]",4
"[Change Return Type, Change Attribute Type]",4
"[Change Parameter Type, Rename Parameter]",4
"[Change Variable Type, Change Attribute Type]",3
"[Change Parameter Type, Add Thrown Exception Type]",3
"[Change Return Type, Rename Parameter]",3
"[Add Method Annotation, Change Variable Type]",3
"[Change Class Access Modifier, Change Type Declaration Kind]",3
"[Rename Method, Change Method Access Modifier]",3
"[Pull Up Method, Extract Interface]",3
"[Add Method Annotation, Change Method Access Modifier]",3
"[Rename Class, Rename Attribute]",2
"[Rename Method, Rename Parameter]",2
"[Add Parameter, Add Attribute Modifier]",2
"[Change Method Access Modifier, Encapsulate Attribute]",2
"[Rename Method, Change Parameter Type]",2
"[Parameterize Variable, Extract Method]",2
"[Change Attribute Type, Rename Parameter]",2
"[Rename Method, Add Parameter]",2
"[Rename Method, Change Variable Type]",2
"[Rename Method, Rename Attribute]",2
"[Rename Variable, Extract Method]",2
"[Rename Method, Remove Parameter]",2
"[Add Method Annotation, Change Return Type]",2
"[Extract Variable, Extract Method]",2
"[Rename Method, Remove Method Annotation]",2
"[Rename Method, Change Return Type]",2
"[Remove Class Modifier, Change Class Access Modifier]",2
"[Change Type Declaration Kind, Add Class Modifier]",1
"[Add Parameter, Change Method Access Modifier]",1
"[Add Method Annotation, Move And Rename Method]",1
"[Modify Method Annotation, Rename Class]",1
"[Change Attribute Access Modifier, Change Return Type]",1
"[Change Thrown Exception Type, Add Thrown Exception Type]",1
"[Change Method Access Modifier, Move Class]",1
"[Change Parameter Type, Change Type Declaration Kind]",1
"[Move And Rename Method, Move Method]",1
"[Move Class, Change Attribute Type]",1
"[Add Thrown Exception Type, Rename Parameter]",1
"[Add Method Annotation, Remove Method Annotation]",1
"[Add Class Annotation, Add Method Annotation]",1
"[Extract Method, Inline Variable]",1
"[Rename Method, Add Thrown Exception Type]",1
"[Rename Class, Move And Rename Class]",1
"[Add Method Annotation, Remove Attribute Modifier]",1
"[Rename Method, Extract Method]",1
"[Change Method Access Modifier, Extract Method]",1
"[Add Method Annotation, Change Parameter Type]",1
"[Add Variable Modifier, Inline Method]",1
"[Rename Variable, Rename Class]",1
"[Reorder Parameter, Remove Parameter]",1
"[Add Parameter, Remove Parameter]",1
"[Modify Method Annotation, Change Method Access Modifier]",1
"[Rename Class, Rename Parameter]",1
