time,refact,number
2016,Add Method Annotation,17
2016,Merge Attribute,1
2016,Localize Parameter,5
2016,Move And Rename Method,13
2016,Move Source Folder,7
2016,Pull Up Attribute,35
2016,Move Attribute,42
2016,Move Class,16
2016,Move And Rename Class,3
2016,Replace Attribute With Variable,1
2016,Extract Variable,21
2016,Inline Variable,8
2016,Rename Method,53
2016,Change Method Access Modifier,33
2016,Replace Variable With Attribute,1
2016,Extract And Move Method,4
2016,Rename Package,1
2016,Add Parameter Modifier,2
2016,Remove Method Annotation,15
2016,Remove Method Modifier,16
2016,Encapsulate Attribute,2
2016,Change Variable Type,55
2016,Add Thrown Exception Type,14
2016,Push Down Method,2
2016,Add Variable Modifier,3
2016,Add Parameter,88
2016,Rename Variable,34
2016,Inline Method,2
2016,Add Attribute Modifier,20
2016,Add Attribute Annotation,12
2016,Rename Attribute,15
2016,Extract Superclass,11
2016,Change Class Access Modifier,2
2016,Modify Method Annotation,1
2016,Add Parameter Annotation,1
2016,Change Parameter Type,60
2016,Rename Class,10
2016,Extract Attribute,27
2016,Remove Parameter,31
2016,Change Thrown Exception Type,4
2016,Add Class Annotation,8
2016,Replace Pipeline With Loop,1
2016,Change Attribute Access Modifier,38
2016,Parameterize Variable,20
2016,Remove Attribute Modifier,10
2016,Modify Class Annotation,4
2016,Add Class Modifier,5
2016,Move And Inline Method,3
2016,Modify Attribute Annotation,2
2016,Move Method,40
2016,Add Method Modifier,6
2016,Extract Class,2
2016,Extract Method,74
2016,Pull Up Method,45
2016,Change Return Type,42
2016,Remove Attribute Annotation,1
2016,Merge Class,2
2016,Extract Interface,5
2016,Change Attribute Type,35
2016,Remove Class Annotation,2
2016,Rename Parameter,25
2017,Add Method Annotation,27
2017,Merge Attribute,1
2017,Localize Parameter,3
2017,Move And Rename Method,6
2017,Move Source Folder,14
2017,Pull Up Attribute,1
2017,Move Attribute,30
2017,Move Class,61
2017,Move And Rename Class,5
2017,Replace Attribute With Variable,4
2017,Extract Variable,13
2017,Inline Variable,16
2017,Rename Method,36
2017,Change Method Access Modifier,82
2017,Remove Parameter Annotation,2
2017,Replace Variable With Attribute,4
2017,Extract And Move Method,11
2017,Rename Package,1
2017,Remove Method Annotation,6
2017,Encapsulate Attribute,15
2017,Remove Method Modifier,1
2017,Change Variable Type,128
2017,Add Thrown Exception Type,13
2017,Push Down Method,3
2017,Add Parameter,36
2017,Inline Method,3
2017,Rename Variable,34
2017,Add Attribute Modifier,19
2017,Add Attribute Annotation,5
2017,Rename Attribute,35
2017,Extract Superclass,2
2017,Change Class Access Modifier,13
2017,Change Parameter Type,68
2017,Remove Class Modifier,2
2017,Rename Class,17
2017,Extract Attribute,2
2017,Remove Parameter,33
2017,Add Class Annotation,20
2017,Replace Pipeline With Loop,1
2017,Change Attribute Access Modifier,35
2017,Parameterize Variable,2
2017,Remove Attribute Modifier,6
2017,Modify Class Annotation,27
2017,Add Class Modifier,1
2017,Split Class,1
2017,Modify Attribute Annotation,2
2017,Move Method,36
2017,Add Method Modifier,25
2017,Extract Class,8
2017,Extract Method,34
2017,Pull Up Method,14
2017,Change Return Type,41
2017,Remove Attribute Annotation,2
2017,Remove Thrown Exception Type,1
2017,Extract Interface,2
2017,Change Attribute Type,43
2017,Remove Class Annotation,4
2017,Remove Variable Annotation,3
2017,Rename Parameter,24
2018,Add Method Annotation,41
2018,Move And Rename Method,6
2018,Collapse Hierarchy,1
2018,Move Attribute,16
2018,Replace Attribute With Variable,5
2018,Move And Rename Class,4
2018,Move Class,76
2018,Extract Variable,14
2018,Inline Variable,6
2018,Modify Parameter Annotation,2
2018,Rename Method,34
2018,Split Package,1
2018,Change Method Access Modifier,25
2018,Remove Parameter Annotation,29
2018,Replace Variable With Attribute,1
2018,Extract And Move Method,3
2018,Replace Anonymous With Lambda,7
2018,Rename Package,3
2018,Add Parameter Modifier,2
2018,Remove Method Annotation,29
2018,Merge Parameter,2
2018,Encapsulate Attribute,2
2018,Remove Method Modifier,3
2018,Change Variable Type,146
2018,Add Thrown Exception Type,4
2018,Add Variable Modifier,1
2018,Add Parameter,24
2018,Rename Variable,45
2018,Inline Method,4
2018,Add Attribute Modifier,30
2018,Merge Package,2
2018,Add Attribute Annotation,28
2018,Extract Superclass,3
2018,Rename Attribute,17
2018,Change Class Access Modifier,3
2018,Add Parameter Annotation,28
2018,Move Package,2
2018,Change Parameter Type,88
2018,Remove Class Modifier,3
2018,Rename Class,7
2018,Extract Attribute,20
2018,Remove Variable Modifier,1
2018,Remove Parameter,18
2018,Change Thrown Exception Type,2
2018,Merge Variable,2
2018,Add Class Annotation,44
2018,Replace Pipeline With Loop,1
2018,Change Attribute Access Modifier,4
2018,Remove Attribute Modifier,53
2018,Modify Class Annotation,15
2018,Add Variable Annotation,1
2018,Add Class Modifier,1
2018,Move And Inline Method,4
2018,Modify Attribute Annotation,3
2018,Move Method,4
2018,Add Method Modifier,7
2018,Extract Class,3
2018,Extract Method,20
2018,Replace Attribute,1
2018,Pull Up Method,16
2018,Inline Attribute,1
2018,Remove Attribute Annotation,17
2018,Change Return Type,90
2018,Merge Class,1
2018,Remove Thrown Exception Type,4
2018,Extract Interface,2
2018,Remove Class Annotation,27
2018,Change Attribute Type,56
2018,Remove Variable Annotation,1
2018,Rename Parameter,18
2019,Move And Rename Method,2
2019,Change Parameter Type,3
2019,Add Method Modifier,1
2019,Remove Variable Modifier,2
