time,refact,number
2016,Rename Method,2
2016,Move Source Folder,3
2017,Change Parameter Type,6
2017,Remove Class Modifier,12
2017,Rename Variable,6
2017,Move Source Folder,3
2017,Change Return Type,2
2017,Change Variable Type,22
2017,Remove Attribute Modifier,20
2017,Change Attribute Type,26
2017,Add Class Modifier,8
2018,Change Return Type,4
2018,Move Class,7
2018,Add Class Modifier,62
2019,Rename Package,1
2019,Move Class,1
2022,Rename Method,4
2022,Change Attribute Access Modifier,1
2022,Add Parameter,2
2022,Rename Variable,1
2022,Rename Attribute,1
2022,Extract Variable,1
2022,Change Variable Type,5
2022,Change Attribute Type,2
2000,Merge Attribute,1
2000,Localize Parameter,7
2000,Move And Rename Method,5
2000,Extract Subclass,1
2000,Pull Up Attribute,175
2000,Move Attribute,16
2000,Move And Rename Class,1
2000,Move Class,10
2000,Replace Attribute With Variable,1
2000,Extract Variable,45
2000,Inline Variable,23
2000,Rename Method,55
2000,Change Method Access Modifier,93
2000,Replace Variable With Attribute,21
2000,Extract And Move Method,19
2000,Push Down Attribute,8
2000,Add Parameter Modifier,2
2000,Merge Parameter,2
2000,Encapsulate Attribute,8
2000,Move And Rename Attribute,181
2000,Remove Method Modifier,1
2000,Change Variable Type,134
2000,Split Variable,1
2000,Add Thrown Exception Type,12
2000,Push Down Method,2
2000,Add Variable Modifier,4
2000,Add Parameter,141
2000,Rename Variable,63
2000,Inline Method,8
2000,Add Attribute Modifier,102
2000,Rename Attribute,196
2000,Extract Superclass,5
2000,Change Class Access Modifier,3
2000,Change Type Declaration Kind,1
2000,Change Parameter Type,98
2000,Remove Class Modifier,1
2000,Rename Class,5
2000,Extract Attribute,2
2000,Remove Variable Modifier,12
2000,Remove Parameter,23
2000,Change Attribute Access Modifier,34
2000,Parameterize Variable,6
2000,Remove Attribute Modifier,721
2000,Add Class Modifier,2
2000,Move And Inline Method,1
2000,Move Method,18
2000,Add Method Modifier,3
2000,Extract Class,1
2000,Extract Method,35
2000,Replace Attribute,1
2000,Pull Up Method,25
2000,Change Return Type,115
2000,Extract Interface,5
2000,Change Attribute Type,26
2000,Rename Parameter,43
2001,Merge Attribute,3
2001,Localize Parameter,22
2001,Move And Rename Method,24
2001,Extract Subclass,3
2001,Remove Parameter Modifier,1
2001,Collapse Hierarchy,26
2001,Pull Up Attribute,92
2001,Move Attribute,55
2001,Move Class,411
2001,Replace Attribute With Variable,7
2001,Move And Rename Class,28
2001,Extract Variable,131
2001,Inline Variable,49
2001,Split Attribute,1
2001,Rename Method,122
2001,Reorder Parameter,23
2001,Change Method Access Modifier,94
2001,Replace Variable With Attribute,19
2001,Extract And Move Method,24
2001,Add Parameter Modifier,17
2001,Push Down Attribute,32
2001,Merge Parameter,11
2001,Encapsulate Attribute,45
2001,Remove Method Modifier,29
2001,Move And Rename Attribute,24
2001,Change Variable Type,217
2001,Add Thrown Exception Type,26
2001,Parameterize Attribute,4
2001,Push Down Method,22
2001,Add Variable Modifier,72
2001,Add Parameter,342
2001,Rename Variable,177
2001,Inline Method,6
2001,Add Attribute Modifier,27
2001,Rename Attribute,105
2001,Extract Superclass,19
2001,Change Class Access Modifier,11
2001,Change Type Declaration Kind,30
2001,Move Package,1
2001,Change Parameter Type,127
2001,Remove Class Modifier,17
2001,Extract Attribute,16
2001,Remove Variable Modifier,15
2001,Rename Class,23
2001,Remove Parameter,292
2001,Change Thrown Exception Type,30
2001,Merge Variable,5
2001,Change Attribute Access Modifier,121
2001,Parameterize Variable,14
2001,Remove Attribute Modifier,69
2001,Add Class Modifier,72
2001,Move And Inline Method,15
2001,Move Method,100
2001,Add Method Modifier,83
2001,Extract Class,23
2001,Split Parameter,1
2001,Extract Method,102
2001,Replace Attribute,1
2001,Pull Up Method,318
