time,refact,number
2016,Add Method Annotation,193
2016,Move And Rename Method,30
2016,Extract Subclass,1
2016,Collapse Hierarchy,2
2016,Pull Up Attribute,31
2016,Move Attribute,18
2016,Move Class,234
2016,Move And Rename Class,20
2016,Replace Attribute With Variable,5
2016,Extract Variable,26
2016,Inline Variable,17
2016,Rename Method,94
2016,Modify Parameter Annotation,1
2016,Reorder Parameter,4
2016,Change Method Access Modifier,81
2016,Replace Variable With Attribute,6
2016,Extract And Move Method,46
2016,Rename Package,1
2016,Push Down Attribute,7
2016,Remove Method Annotation,12
2016,Merge Parameter,13
2016,Encapsulate Attribute,14
2016,Remove Method Modifier,2
2016,Change Variable Type,243
2016,Add Thrown Exception Type,7
2016,Push Down Method,11
2016,Add Variable Modifier,9
2016,Add Parameter,69
2016,Rename Variable,51
2016,Inline Method,5
2016,Add Attribute Modifier,14
2016,Add Attribute Annotation,36
2016,Extract Superclass,8
2016,Rename Attribute,37
2016,Change Class Access Modifier,17
2016,Change Type Declaration Kind,4
2016,Modify Method Annotation,1
2016,Move Package,4
2016,Remove Class Modifier,1
2016,Change Parameter Type,157
2016,Remove Variable Modifier,16
2016,Rename Class,34
2016,Extract Attribute,2
2016,Remove Parameter,52
2016,Merge Variable,1
2016,Change Thrown Exception Type,4
2016,Add Class Annotation,14
2016,Change Attribute Access Modifier,72
2016,Parameterize Variable,9
2016,Remove Attribute Modifier,7
2016,Modify Class Annotation,1
2016,Split Class,1
2016,Move And Inline Method,21
2016,Move Method,68
2016,Add Method Modifier,8
2016,Extract Class,8
2016,Split Parameter,2
2016,Extract Method,60
2016,Pull Up Method,46
2016,Change Return Type,169
2016,Remove Attribute Annotation,2
2016,Remove Thrown Exception Type,27
2016,Extract Interface,2
2016,Change Attribute Type,61
2016,Rename Parameter,54
2017,Add Method Annotation,345
2017,Merge Attribute,3
2017,Localize Parameter,5
2017,Move And Rename Method,46
2017,Move Source Folder,20
2017,Pull Up Attribute,25
2017,Move Attribute,36
2017,Move Class,152
2017,Move And Rename Class,22
2017,Replace Attribute With Variable,5
2017,Extract Variable,49
2017,Inline Variable,70
2017,Rename Method,107
2017,Modify Parameter Annotation,2
2017,Split Package,1
2017,Change Method Access Modifier,90
2017,Replace Variable With Attribute,1
2017,Extract And Move Method,16
2017,Replace Anonymous With Lambda,138
2017,Add Parameter Modifier,9
2017,Remove Method Annotation,50
2017,Merge Parameter,9
2017,Remove Method Modifier,9
2017,Encapsulate Attribute,18
2017,Change Variable Type,454
2017,Split Variable,1
2017,Add Thrown Exception Type,5
2017,Push Down Method,2
2017,Add Variable Modifier,7
2017,Add Parameter,151
2017,Rename Variable,54
2017,Inline Method,19
2017,Add Attribute Modifier,48
2017,Merge Package,2
2017,Add Attribute Annotation,51
2017,Extract Superclass,13
2017,Rename Attribute,23
2017,Change Class Access Modifier,10
2017,Change Type Declaration Kind,1
2017,Modify Method Annotation,8
2017,Move Package,5
2017,Change Parameter Type,269
2017,Remove Class Modifier,1
2017,Rename Class,13
2017,Extract Attribute,2
2017,Remove Parameter,47
2017,Change Thrown Exception Type,9
2017,Add Class Annotation,41
2017,Change Attribute Access Modifier,57
2017,Parameterize Variable,19
2017,Remove Attribute Modifier,136
2017,Modify Class Annotation,1
2017,Add Variable Annotation,19
2017,Add Class Modifier,4
2017,Move And Inline Method,7
2017,Modify Attribute Annotation,9
2017,Move Method,108
2017,Add Method Modifier,2
2017,Extract Class,10
2017,Extract Method,103
2017,Pull Up Method,81
2017,Change Return Type,320
2017,Remove Attribute Annotation,20
2017,Remove Thrown Exception Type,22
2017,Change Attribute Type,217
2017,Remove Class Annotation,13
2017,Remove Variable Annotation,4
2017,Rename Parameter,196
2018,Add Method Annotation,95
2018,Merge Attribute,3
2018,Localize Parameter,2
2018,Move And Rename Method,7
2018,Remove Parameter Modifier,11
2018,Collapse Hierarchy,1
2018,Move Source Folder,7
2018,Pull Up Attribute,14
2018,Move Attribute,56
2018,Replace Attribute With Variable,3
2018,Move And Rename Class,2
2018,Move Class,28
2018,Extract Variable,25
2018,Inline Variable,38
2018,Rename Method,33
2018,Modify Parameter Annotation,1
2018,Change Method Access Modifier,129
2018,Replace Variable With Attribute,6
2018,Extract And Move Method,19
2018,Replace Anonymous With Lambda,236
2018,Add Parameter Modifier,67
2018,Remove Method Annotation,17
2018,Remove Method Modifier,4
2018,Encapsulate Attribute,42
2018,Change Variable Type,289
2018,Replace Loop With Pipeline,13
2018,Add Thrown Exception Type,25
2018,Parameterize Attribute,2
2018,Push Down Method,12
2018,Add Variable Modifier,51
2018,Add Parameter,57
2018,Rename Variable,49
2018,Inline Method,6
2018,Add Attribute Modifier,36
2018,Add Attribute Annotation,13
2018,Extract Superclass,5
2018,Rename Attribute,16
2018,Change Class Access Modifier,4
2018,Change Type Declaration Kind,4
2018,Modify Method Annotation,6
2018,Change Parameter Type,109
2018,Remove Class Modifier,2
2018,Remove Variable Modifier,24
2018,Rename Class,8
2018,Extract Attribute,2
2018,Remove Parameter,40
2018,Change Thrown Exception Type,5
2018,Add Class Annotation,17
2018,Change Attribute Access Modifier,105
2018,Parameterize Variable,10
2018,Remove Attribute Modifier,14
2018,Modify Class Annotation,2
2018,Add Variable Annotation,13
2018,Add Class Modifier,6
2018,Move And Inline Method,3
2018,Modify Attribute Annotation,9
2018,Move Method,95
2018,Add Method Modifier,7
2018,Extract Class,4
2018,Extract Method,80
2018,Pull Up Method,43
2018,Change Return Type,114
2018,Remove Thrown Exception Type,206
2018,Extract Interface,5
2018,Change Attribute Type,689
2018,Remove Class Annotation,1
2018,Rename Parameter,14
2019,Add Method Annotation,148
2019,Merge Attribute,1
2019,Move And Rename Method,1
2019,Remove Parameter Modifier,1
2019,Extract Subclass,1
2019,Pull Up Attribute,6
2019,Move Attribute,6
2019,Move Class,3
2019,Replace Attribute With Variable,14
2019,Move And Rename Class,1
2019,Extract Variable,13
2019,Inline Variable,29
2019,Rename Method,29
2019,Change Method Access Modifier,69
2019,Replace Variable With Attribute,15
2019,Extract And Move Method,32
2019,Replace Anonymous With Lambda,27
2019,Push Down Attribute,5
2019,Remove Method Annotation,4
2019,Encapsulate Attribute,30
2019,Remove Method Modifier,1
2019,Change Variable Type,337
2019,Replace Loop With Pipeline,2
2019,Add Thrown Exception Type,2
2019,Parameterize Attribute,6
2019,Push Down Method,27
2019,Add Variable Modifier,2
