time,refact,number
2002,Rename Method,2
2002,Change Attribute Access Modifier,17
2002,Add Parameter,3
2002,Inline Method,2
2002,Rename Variable,1
2002,Remove Thrown Exception Type,2
2002,Change Variable Type,1
2002,Inline Variable,1
2002,Add Thrown Exception Type,1
2002,Rename Parameter,4
2003,Merge Attribute,1
2003,Change Parameter Type,1
2003,Pull Up Attribute,8
2003,Move Attribute,2
2003,Move Class,3
2003,Replace Attribute With Variable,3
2003,Remove Parameter,3
2003,Encapsulate Attribute,1
2003,Change Variable Type,7
2003,Extract Variable,1
2003,Extract Method,2
2003,Add Thrown Exception Type,1
2003,Pull Up Method,8
2003,Reorder Parameter,1
2003,Change Attribute Access Modifier,4
2003,Add Parameter,4
2003,Change Method Access Modifier,1
2003,Extract Superclass,1
2003,Add Class Modifier,3
2004,Pull Up Method,24
2004,Change Method Access Modifier,1
2004,Pull Up Attribute,14
2004,Change Return Type,1
2004,Extract Attribute,4
2004,Add Parameter Modifier,2
2004,Extract Superclass,2
2004,Extract Variable,1
2004,Extract Method,1
2004,Rename Parameter,1
2005,Add Attribute Modifier,1
2005,Extract Attribute,1
2005,Rename Attribute,1
2005,Extract Variable,2
2005,Add Class Modifier,2
2006,Localize Parameter,2
2006,Remove Class Modifier,1
2006,Pull Up Attribute,2
2006,Extract Attribute,1
2006,Move And Rename Class,1
2006,Move Class,1
2006,Replace Attribute With Variable,1
2006,Extract Variable,5
2006,Change Method Access Modifier,5
2006,Add Class Modifier,2
2006,Extract And Move Method,1
2006,Add Method Modifier,2
2006,Remove Method Modifier,1
2006,Change Variable Type,2
2006,Extract Method,5
2006,Add Thrown Exception Type,9
2006,Pull Up Method,4
2006,Add Parameter,2
2006,Rename Variable,4
2006,Inline Method,1
2006,Add Attribute Modifier,7
2006,Remove Thrown Exception Type,1
2006,Extract Superclass,2
2006,Rename Attribute,1
2006,Change Class Access Modifier,3
2006,Extract Interface,1
2006,Change Attribute Type,3
2007,Add Variable Modifier,1
2007,Add Parameter,1
2007,Change Parameter Type,1
2007,Add Attribute Modifier,1
2007,Remove Thrown Exception Type,1
2007,Replace Variable With Attribute,1
2007,Encapsulate Attribute,1
2007,Change Variable Type,4
2007,Extract Variable,1
2007,Add Thrown Exception Type,1
2007,Extract Method,4
2007,Rename Parameter,1
2008,Extract Variable,2
2008,Rename Parameter,1
2009,Change Variable Type,2
2009,Change Class Access Modifier,1
2010,Add Variable Modifier,1
2010,Change Class Access Modifier,1
2010,Extract And Move Method,2
2013,Add Method Annotation,89
2013,Modify Method Annotation,7
2013,Localize Parameter,2
2013,Change Parameter Type,5
2013,Move Source Folder,2
2013,Extract Attribute,9
2013,Move Class,1
2013,Remove Parameter,2
2013,Extract Variable,5
2013,Rename Method,7
2013,Add Class Annotation,6
2013,Change Attribute Access Modifier,4
2013,Change Method Access Modifier,1
2013,Remove Attribute Modifier,1
2013,Add Variable Annotation,1
2013,Rename Package,1
2013,Add Method Modifier,3
2013,Encapsulate Attribute,1
