time,refact,number
2002,Move Method,30
2002,Add Method Modifier,1
2002,Rename Class,1
2002,Move Class,12
2002,Change Thrown Exception Type,1
2002,Extract Superclass,1
2003,Remove Parameter Modifier,320
2003,Remove Class Modifier,10
2003,Change Parameter Type,7
2003,Remove Variable Modifier,214
2003,Rename Class,2
2003,Move Class,2
2003,Change Thrown Exception Type,1
2003,Extract Variable,5
2003,Rename Method,4
2003,Change Method Access Modifier,3
2003,Replace Variable With Attribute,2
2003,Remove Attribute Modifier,43
2003,Move Method,34
2003,Add Method Modifier,1
2003,Extract Class,1
2003,Add Parameter Modifier,4
2003,Remove Method Modifier,2
2003,Change Variable Type,7
2003,Add Thrown Exception Type,2
2003,Add Variable Modifier,5
2003,Inline Method,15
2003,Add Attribute Modifier,22
2003,Change Return Type,6
2003,Remove Thrown Exception Type,1
2003,Rename Attribute,3
2003,Change Attribute Type,4
2003,Rename Parameter,6
2004,Move And Rename Method,1
2004,Remove Parameter Modifier,2
2004,Remove Class Modifier,2
2004,Move Method,1
2004,Rename Class,2
2004,Add Parameter Modifier,8
2004,Move Class,2
2004,Encapsulate Attribute,1
2004,Extract Variable,5
2004,Change Variable Type,1
2004,Inline Variable,1
2004,Extract Method,1
2004,Add Thrown Exception Type,12
2004,Rename Method,5
2004,Inline Method,1
2004,Rename Variable,2
2004,Rename Attribute,2
2004,Change Attribute Type,2
2004,Rename Parameter,10
2005,Remove Class Modifier,1
2005,Remove Method Modifier,4
2005,Extract Variable,3
2005,Extract Method,9
2005,Add Thrown Exception Type,1
2005,Rename Method,6
2005,Parameterize Attribute,1
2005,Change Method Access Modifier,6
2005,Rename Variable,1
2005,Parameterize Variable,1
2005,Rename Attribute,2
2005,Change Attribute Type,1
2005,Rename Parameter,7
2005,Add Class Modifier,1
2006,Change Parameter Type,10
2006,Remove Class Modifier,1
2006,Pull Up Attribute,2
2006,Extract Attribute,1
2006,Rename Class,5
2006,Move And Rename Class,3
2006,Remove Parameter,2
2006,Extract Variable,4
2006,Rename Method,7
2006,Change Attribute Access Modifier,3
2006,Change Method Access Modifier,7
2006,Parameterize Variable,3
2006,Add Class Modifier,3
2006,Move Method,2
2006,Add Method Modifier,6
2006,Add Parameter Modifier,1
2006,Remove Method Modifier,1
2006,Encapsulate Attribute,2
2006,Change Variable Type,14
2006,Extract Method,21
2006,Add Thrown Exception Type,14
2006,Pull Up Method,7
2006,Add Parameter,8
2006,Rename Variable,8
2006,Inline Method,1
2006,Change Return Type,7
2006,Add Attribute Modifier,5
2006,Remove Thrown Exception Type,8
2006,Rename Attribute,1
2006,Extract Superclass,2
2006,Change Class Access Modifier,2
2006,Change Attribute Type,3
2006,Rename Parameter,5
2007,Change Parameter Type,1
2007,Remove Class Modifier,1
2007,Move Method,1
2007,Pull Up Attribute,1
2007,Add Method Modifier,1
2007,Rename Class,1
2007,Extract Class,1
2007,Move Attribute,4
2007,Move Class,2
2007,Remove Method Modifier,1
2007,Change Variable Type,4
2007,Extract Method,1
2007,Rename Method,1
2007,Pull Up Method,12
2007,Add Parameter,3
2007,Add Attribute Modifier,22
2007,Parameterize Variable,2
2007,Rename Attribute,1
2007,Extract Superclass,1
2007,Remove Attribute Modifier,8
2007,Change Class Access Modifier,2
2007,Change Attribute Type,1
2007,Rename Parameter,1
2007,Extract And Move Method,3
2008,Add Method Annotation,200
2008,Change Parameter Type,48
2008,Move Method,1
2008,Extract Attribute,1
2008,Rename Class,2
2008,Remove Parameter,13
2008,Extract Variable,4
2008,Change Variable Type,54
2008,Add Thrown Exception Type,1
2008,Inline Variable,2
2008,Extract Method,1
2008,Add Class Annotation,3
2008,Add Parameter,4
2008,Change Attribute Access Modifier,1
2008,Rename Variable,1
2008,Inline Method,9
2008,Change Return Type,23
2008,Parameterize Variable,12
2008,Extract Superclass,1
2008,Change Attribute Type,34
2008,Rename Parameter,8
2009,Add Method Annotation,132
2009,Move And Inline Method,3
2009,Change Parameter Type,1
2009,Remove Method Modifier,1
2009,Change Variable Type,16
2009,Inline Variable,1
2009,Rename Variable,3
2009,Change Return Type,9
2009,Add Attribute Modifier,19
2009,Remove Thrown Exception Type,13
2009,Remove Attribute Modifier,2
2009,Change Attribute Type,3
2009,Extract And Move Method,1
2009,Rename Parameter,3
2010,Add Method Annotation,19
2010,Localize Parameter,2
2010,Change Parameter Type,74
2010,Move Source Folder,3
2010,Pull Up Attribute,5
2010,Move Attribute,1
2010,Rename Class,16
2010,Remove Parameter,11
2010,Merge Variable,1
2010,Extract Variable,7
2010,Inline Variable,1
2010,Rename Method,10
2010,Add Class Annotation,2
2010,Change Method Access Modifier,16
2010,Parameterize Variable,5
2010,Remove Attribute Modifier,2
2010,Modify Class Annotation,1
2010,Extract And Move Method,1
2010,Add Variable Annotation,2
2010,Add Method Modifier,6
2010,Remove Method Annotation,2
2010,Encapsulate Attribute,2
2010,Remove Method Modifier,6
2010,Change Variable Type,131
2010,Extract Method,20
2010,Add Thrown Exception Type,1
2010,Pull Up Method,7
2010,Add Variable Modifier,9
2010,Add Parameter,16
2010,Inline Method,2
2010,Rename Variable,1
2010,Change Return Type,41
2010,Add Attribute Modifier,10
2010,Remove Thrown Exception Type,14
2010,Rename Attribute,12
2010,Extract Superclass,1
2010,Change Attribute Type,45
2010,Rename Parameter,7
2011,Add Method Annotation,11
2011,Rename Method,1
2011,Parameterize Attribute,1
2011,Rename Variable,4
2011,Remove Thrown Exception Type,5
2011,Remove Method Annotation,1
