time,refact,number
2011,Add Method Annotation,36
2011,Localize Parameter,3
2011,Move And Rename Method,4
2011,Remove Parameter Modifier,2
2011,Extract Subclass,3
2011,Move Source Folder,7
2011,Pull Up Attribute,13
2011,Move Attribute,13
2011,Move Class,93
2011,Move And Rename Class,3
2011,Extract Variable,6
2011,Inline Variable,5
2011,Split Attribute,1
2011,Rename Method,16
2011,Split Package,2
2011,Change Method Access Modifier,16
2011,Replace Variable With Attribute,1
2011,Extract And Move Method,3
2011,Rename Package,5
2011,Push Down Attribute,9
2011,Add Parameter Modifier,11
2011,Remove Method Annotation,4
2011,Encapsulate Attribute,2
2011,Remove Method Modifier,1
2011,Change Variable Type,38
2011,Add Thrown Exception Type,3
2011,Parameterize Attribute,1
2011,Push Down Method,24
2011,Add Variable Modifier,6
2011,Add Parameter,36
2011,Rename Variable,14
2011,Inline Method,9
2011,Merge Package,3
2011,Rename Attribute,4
2011,Extract Superclass,3
2011,Change Type Declaration Kind,3
2011,Change Class Access Modifier,5
2011,Modify Method Annotation,6
2011,Change Parameter Type,49
2011,Remove Class Modifier,8
2011,Rename Class,12
2011,Remove Variable Modifier,5
2011,Remove Parameter,19
2011,Change Thrown Exception Type,5
2011,Add Class Annotation,14
2011,Change Attribute Access Modifier,1
2011,Parameterize Variable,3
2011,Remove Attribute Modifier,3
2011,Modify Class Annotation,2
2011,Add Class Modifier,1
2011,Move And Inline Method,2
2011,Move Method,26
2011,Add Method Modifier,1
2011,Extract Class,8
2011,Split Parameter,1
2011,Extract Method,17
2011,Pull Up Method,15
2011,Remove Attribute Annotation,1
2011,Change Return Type,16
2011,Remove Thrown Exception Type,2
2011,Extract Interface,5
2011,Remove Class Annotation,1
2011,Change Attribute Type,26
2011,Rename Parameter,12
2012,Add Method Annotation,37
2012,Remove Parameter Modifier,3
2012,Pull Up Attribute,2
2012,Move Attribute,5
2012,Move And Rename Class,1
2012,Move Class,1
2012,Extract Variable,18
2012,Inline Variable,2
2012,Rename Method,14
2012,Reorder Parameter,1
2012,Change Method Access Modifier,17
2012,Replace Variable With Attribute,3
2012,Extract And Move Method,2
2012,Add Parameter Modifier,5
2012,Remove Method Annotation,14
2012,Merge Parameter,1
2012,Remove Method Modifier,4
2012,Encapsulate Attribute,12
2012,Change Variable Type,52
2012,Add Thrown Exception Type,11
2012,Parameterize Attribute,1
2012,Push Down Method,1
2012,Add Variable Modifier,7
2012,Add Parameter,53
2012,Rename Variable,17
2012,Inline Method,4
2012,Add Attribute Modifier,8
2012,Add Attribute Annotation,1
2012,Extract Superclass,2
2012,Rename Attribute,9
2012,Change Class Access Modifier,6
2012,Modify Method Annotation,7
2012,Change Parameter Type,10
2012,Remove Class Modifier,2
2012,Rename Class,2
2012,Remove Variable Modifier,1
2012,Extract Attribute,4
2012,Remove Parameter,11
2012,Change Thrown Exception Type,4
2012,Add Class Annotation,6
2012,Change Attribute Access Modifier,6
2012,Parameterize Variable,3
2012,Remove Attribute Modifier,9
2012,Move Method,2
2012,Add Method Modifier,7
2012,Extract Class,1
2012,Extract Method,58
2012,Pull Up Method,5
2012,Change Return Type,31
2012,Remove Thrown Exception Type,16
2012,Extract Interface,4
2012,Change Attribute Type,33
2012,Remove Class Annotation,1
2012,Rename Parameter,18
2013,Add Method Annotation,4
2013,Merge Attribute,1
2013,Modify Method Annotation,1
2013,Move Package,1
2013,Change Parameter Type,3
2013,Rename Class,1
2013,Move Attribute,6
2013,Move Class,317
2013,Move And Rename Class,2
2013,Remove Parameter,3
2013,Extract Variable,8
2013,Rename Method,4
2013,Add Class Annotation,1
2013,Change Attribute Access Modifier,1
2013,Change Method Access Modifier,6
2013,Parameterize Variable,1
2013,Remove Attribute Modifier,2
2013,Extract And Move Method,1
2013,Move Method,5
2013,Add Method Modifier,5
2013,Extract Class,1
2013,Add Parameter Modifier,1
2013,Remove Method Annotation,3
2013,Encapsulate Attribute,2
2013,Change Variable Type,4
2013,Extract Method,16
2013,Add Thrown Exception Type,3
2013,Pull Up Method,1
2013,Add Parameter,18
2013,Inline Method,1
2013,Rename Variable,1
2013,Change Return Type,5
2013,Add Attribute Modifier,3
2013,Remove Attribute Annotation,1
2013,Extract Superclass,1
2013,Rename Attribute,2
2013,Extract Interface,3
2013,Change Class Access Modifier,3
2013,Change Attribute Type,12
2013,Rename Parameter,10
2014,Add Method Annotation,10
2014,Localize Parameter,1
2014,Move And Rename Method,8
2014,Remove Parameter Modifier,3
2014,Pull Up Attribute,6
2014,Move Attribute,26
2014,Move Class,55
2014,Replace Attribute With Variable,1
2014,Move And Rename Class,22
2014,Extract Variable,9
2014,Inline Variable,4
