time,refact,number
2004,Move Package,1
2004,Change Parameter Type,22
2004,Remove Class Modifier,1
2004,Move Method,2
2004,Rename Class,7
2004,Move Class,19
2004,Move And Rename Class,2
2004,Remove Parameter,1
2004,Encapsulate Attribute,11
2004,Extract Variable,3
2004,Change Variable Type,4
2004,Extract Method,13
2004,Rename Method,25
2004,Add Parameter,8
2004,Change Attribute Access Modifier,15
2004,Change Method Access Modifier,2
2004,Change Return Type,20
2004,Add Attribute Modifier,16
2004,Rename Attribute,13
2004,Extract Interface,5
2004,Change Attribute Type,8
2004,Rename Parameter,9
2004,Extract And Move Method,1
2005,Localize Parameter,2
2005,Move And Rename Method,3
2005,Pull Up Attribute,3
2005,Move Attribute,27
2005,Move And Rename Class,2
2005,Move Class,14
2005,Replace Attribute With Variable,8
2005,Extract Variable,41
2005,Inline Variable,12
2005,Rename Method,110
2005,Reorder Parameter,4
2005,Change Method Access Modifier,53
2005,Replace Variable With Attribute,5
2005,Extract And Move Method,11
2005,Add Parameter Modifier,8
2005,Encapsulate Attribute,14
2005,Remove Method Modifier,74
2005,Change Variable Type,94
2005,Add Thrown Exception Type,16
2005,Parameterize Attribute,3
2005,Add Variable Modifier,6
2005,Add Parameter,75
2005,Inline Method,3
2005,Rename Variable,48
2005,Add Attribute Modifier,13
2005,Rename Attribute,29
2005,Extract Superclass,1
2005,Change Class Access Modifier,5
2005,Move Package,1
2005,Change Parameter Type,113
2005,Remove Class Modifier,2
2005,Rename Class,35
2005,Extract Attribute,7
2005,Remove Parameter,31
2005,Change Thrown Exception Type,37
2005,Merge Variable,2
2005,Change Attribute Access Modifier,34
2005,Parameterize Variable,11
2005,Remove Attribute Modifier,2
2005,Add Class Modifier,1
2005,Split Class,1
2005,Move And Inline Method,3
2005,Move Method,25
2005,Add Method Modifier,26
2005,Extract Class,9
2005,Extract Method,57
2005,Pull Up Method,9
2005,Change Return Type,35
2005,Merge Class,1
2005,Remove Thrown Exception Type,3
2005,Extract Interface,10
2005,Change Attribute Type,44
2005,Rename Parameter,75
2006,Merge Attribute,1
2006,Localize Parameter,3
2006,Move And Rename Method,15
2006,Extract Subclass,1
2006,Remove Parameter Modifier,3
2006,Pull Up Attribute,1
2006,Move Attribute,16
2006,Move Class,179
2006,Replace Attribute With Variable,4
2006,Move And Rename Class,21
2006,Extract Variable,32
2006,Inline Variable,41
2006,Split Attribute,1
2006,Rename Method,313
2006,Reorder Parameter,4
2006,Change Method Access Modifier,56
2006,Replace Variable With Attribute,5
2006,Extract And Move Method,9
2006,Rename Package,2
2006,Add Parameter Modifier,5
2006,Push Down Attribute,5
2006,Merge Parameter,2
2006,Encapsulate Attribute,27
2006,Remove Method Modifier,22
2006,Change Variable Type,228
2006,Add Thrown Exception Type,16
2006,Parameterize Attribute,3
2006,Push Down Method,23
2006,Add Variable Modifier,106
2006,Add Parameter,93
2006,Rename Variable,32
2006,Inline Method,25
2006,Extract Superclass,2
2006,Rename Attribute,49
2006,Change Class Access Modifier,18
2006,Move Package,4
2006,Change Parameter Type,260
2006,Remove Class Modifier,2
2006,Rename Class,64
2006,Extract Attribute,10
2006,Remove Variable Modifier,4
2006,Remove Parameter,108
2006,Change Thrown Exception Type,117
2006,Merge Variable,2
2006,Change Attribute Access Modifier,21
2006,Parameterize Variable,5
2006,Remove Attribute Modifier,3
2006,Add Class Modifier,2
2006,Split Class,1
2006,Move And Inline Method,6
2006,Move Method,49
2006,Add Method Modifier,5
2006,Extract Class,4
2006,Split Parameter,2
2006,Extract Method,66
2006,Pull Up Method,9
2006,Change Return Type,157
2006,Remove Thrown Exception Type,11
2006,Merge Class,1
2006,Extract Interface,6
2006,Change Attribute Type,67
2006,Rename Parameter,88
2007,Add Method Annotation,3
2007,Localize Parameter,4
2007,Move And Rename Method,11
2007,Pull Up Attribute,8
2007,Move Attribute,29
2007,Move Class,164
2007,Replace Attribute With Variable,11
2007,Move And Rename Class,8
2007,Extract Variable,74
2007,Inline Variable,43
2007,Rename Method,105
2007,Reorder Parameter,2
2007,Change Method Access Modifier,118
2007,Replace Variable With Attribute,8
2007,Extract And Move Method,20
2007,Rename Package,2
2007,Add Parameter Modifier,15
2007,Remove Method Annotation,7
2007,Merge Parameter,1
2007,Encapsulate Attribute,21
2007,Move And Rename Attribute,6
2007,Remove Method Modifier,9
2007,Change Variable Type,111
2007,Add Thrown Exception Type,21
2007,Parameterize Attribute,1
2007,Add Variable Modifier,1142
2007,Add Parameter,64
2007,Rename Variable,72
2007,Inline Method,36
2007,Add Attribute Modifier,54
2007,Extract Superclass,4
2007,Rename Attribute,86
2007,Change Class Access Modifier,8
2007,Move Package,1
2007,Change Parameter Type,135
2007,Remove Class Modifier,1
2007,Rename Class,74
2007,Remove Variable Modifier,5
2007,Extract Attribute,43
2007,Remove Parameter,49
2007,Change Thrown Exception Type,16
2007,Change Attribute Access Modifier,188
2007,Parameterize Variable,5
2007,Remove Attribute Modifier,6
2007,Add Class Modifier,4
2007,Move And Inline Method,12
2007,Move Method,49
2007,Add Method Modifier,47
2007,Extract Class,2
2007,Split Parameter,3
2007,Extract Method,63
2007,Pull Up Method,30
2007,Change Return Type,49
2007,Remove Thrown Exception Type,11
2007,Merge Class,2
2007,Extract Interface,1
2007,Change Attribute Type,69
2007,Rename Parameter,193
2008,Add Method Annotation,1
2008,Localize Parameter,1
2008,Move And Rename Method,1
2008,Remove Parameter Modifier,3
2008,Pull Up Attribute,9
2008,Move Attribute,22
2008,Move Class,47
2008,Replace Attribute With Variable,6
2008,Move And Rename Class,8
2008,Extract Variable,70
2008,Inline Variable,26
2008,Rename Method,85
2008,Change Method Access Modifier,53
2008,Replace Variable With Attribute,2
2008,Extract And Move Method,5
2008,Rename Package,1
2008,Add Parameter Modifier,12
2008,Push Down Attribute,5
2008,Remove Method Annotation,5
2008,Encapsulate Attribute,15
2008,Remove Method Modifier,5
2008,Change Variable Type,115
2008,Add Thrown Exception Type,18
2008,Push Down Method,6
2008,Add Variable Modifier,796
2008,Add Parameter,62
2008,Rename Variable,45
2008,Inline Method,7
2008,Add Attribute Modifier,52
2008,Rename Attribute,16
2008,Extract Superclass,5
2008,Change Class Access Modifier,6
2008,Change Parameter Type,89
2008,Remove Class Modifier,1
2008,Remove Variable Modifier,22
2008,Rename Class,20
2008,Extract Attribute,9
2008,Remove Parameter,14
2008,Change Thrown Exception Type,4
2008,Change Attribute Access Modifier,57
2008,Parameterize Variable,2
2008,Remove Attribute Modifier,5
2008,Add Class Modifier,4
2008,Move Method,51
2008,Add Method Modifier,5
2008,Extract Class,5
2008,Extract Method,47
2008,Pull Up Method,3
2008,Change Return Type,62
2008,Remove Thrown Exception Type,41
2008,Merge Class,1
2008,Extract Interface,1
2008,Change Attribute Type,39
2008,Rename Parameter,71
2009,Add Method Annotation,2
2009,Localize Parameter,8
2009,Move And Rename Method,9
2009,Remove Parameter Modifier,5
2009,Extract Subclass,3
2009,Pull Up Attribute,26
2009,Move Attribute,45
2009,Move Class,22
2009,Move And Rename Class,13
2009,Replace Attribute With Variable,5
2009,Extract Variable,66
2009,Inline Variable,30
2009,Split Attribute,1
2009,Rename Method,123
2009,Reorder Parameter,1
2009,Change Method Access Modifier,158
2009,Replace Variable With Attribute,4
2009,Extract And Move Method,19
2009,Rename Package,1
2009,Add Parameter Modifier,219
2009,Push Down Attribute,5
2009,Merge Parameter,5
2009,Encapsulate Attribute,13
2009,Remove Method Modifier,18
2009,Move And Rename Attribute,2
2009,Change Variable Type,349
2009,Add Thrown Exception Type,46
2009,Parameterize Attribute,1
2009,Push Down Method,25
2009,Add Variable Modifier,293
2009,Add Parameter,107
2009,Rename Variable,111
2009,Inline Method,41
2009,Add Attribute Modifier,57
2009,Rename Attribute,88
2009,Extract Superclass,10
2009,Change Type Declaration Kind,8
2009,Change Class Access Modifier,16
2009,Move Package,1
2009,Change Parameter Type,120
2009,Remove Class Modifier,9
2009,Extract Attribute,10
2009,Rename Class,35
2009,Remove Variable Modifier,62
2009,Remove Parameter,117
2009,Change Thrown Exception Type,35
2009,Merge Variable,2
2009,Change Attribute Access Modifier,90
2009,Parameterize Variable,10
2009,Remove Attribute Modifier,13
2009,Add Class Modifier,10
2009,Move And Inline Method,3
2009,Move Method,56
2009,Add Method Modifier,30
2009,Extract Class,8
2009,Split Parameter,1
2009,Extract Method,70
2009,Pull Up Method,72
2009,Change Return Type,147
2009,Remove Thrown Exception Type,30
2009,Extract Interface,3
2009,Change Attribute Type,156
2009,Rename Parameter,125
2010,Add Method Annotation,107
2010,Localize Parameter,3
