time,refact,number
2010,Rename Variable,1
2010,Rename Class,2
2010,Extract Variable,1
2011,Add Method Annotation,2
2011,Change Parameter Type,6
2011,Remove Class Modifier,1
2011,Move Source Folder,3
2011,Rename Class,1
2011,Move Class,67
2011,Change Thrown Exception Type,5
2011,Remove Parameter,1
2011,Extract Variable,1
2011,Inline Variable,2
2011,Rename Method,3
2011,Change Attribute Access Modifier,9
2011,Change Method Access Modifier,1
2011,Parameterize Variable,4
2011,Extract And Move Method,3
2011,Add Class Modifier,1
2011,Rename Package,1
2011,Move Method,1
2011,Add Method Modifier,2
2011,Change Variable Type,73
2011,Add Thrown Exception Type,3
2011,Extract Method,9
2011,Add Variable Modifier,12
2011,Add Parameter,6
2011,Rename Variable,11
2011,Inline Method,1
2011,Add Attribute Modifier,5
2011,Change Return Type,1
2011,Rename Attribute,1
2011,Change Class Access Modifier,1
2011,Change Attribute Type,5
2011,Rename Parameter,1
2012,Rename Method,1
2012,Rename Variable,2
2012,Change Return Type,1
2012,Add Attribute Modifier,1
2012,Rename Attribute,2
2012,Inline Variable,1
2012,Extract Method,1
2013,Merge Attribute,1
2013,Localize Parameter,6
2013,Move And Rename Method,14
2013,Remove Parameter Modifier,1
2013,Move Source Folder,1
2013,Move Attribute,18
2013,Move And Rename Class,3
2013,Move Class,34
2013,Replace Attribute With Variable,1
2013,Extract Variable,20
2013,Inline Variable,13
2013,Rename Method,225
2013,Reorder Parameter,7
2013,Change Method Access Modifier,113
2013,Replace Variable With Attribute,4
2013,Extract And Move Method,14
2013,Add Parameter Modifier,8
2013,Remove Method Annotation,6
2013,Merge Parameter,1
2013,Remove Method Modifier,22
2013,Encapsulate Attribute,9
2013,Change Variable Type,132
2013,Add Thrown Exception Type,1
2013,Parameterize Attribute,1
2013,Push Down Method,6
2013,Add Variable Modifier,20
2013,Add Parameter,108
2013,Rename Variable,133
2013,Inline Method,3
2013,Add Attribute Modifier,29
2013,Rename Attribute,61
2013,Extract Superclass,7
2013,Change Class Access Modifier,21
2013,Move Package,1
2013,Change Parameter Type,66
2013,Remove Class Modifier,26
2013,Rename Class,55
2013,Extract Attribute,4
2013,Remove Variable Modifier,1
2013,Remove Parameter,38
2013,Change Thrown Exception Type,3
2013,Merge Variable,1
2013,Change Attribute Access Modifier,9
2013,Parameterize Variable,12
2013,Remove Attribute Modifier,8
2013,Add Class Modifier,3
2013,Move And Inline Method,1
2013,Move Method,83
2013,Add Method Modifier,11
2013,Extract Class,8
2013,Extract Method,56
2013,Replace Attribute,1
2013,Pull Up Method,1
2013,Change Return Type,34
2013,Remove Thrown Exception Type,1
2013,Extract Interface,1
2013,Change Attribute Type,23
2013,Rename Parameter,161
2014,Add Method Annotation,8
2014,Merge Attribute,1
2014,Localize Parameter,9
2014,Move And Rename Method,9
2014,Remove Parameter Modifier,1
2014,Extract Subclass,2
2014,Pull Up Attribute,6
2014,Move Attribute,23
2014,Replace Attribute With Variable,7
2014,Move Class,88
2014,Move And Rename Class,13
2014,Extract Variable,27
2014,Split Attribute,2
2014,Inline Variable,3
2014,Rename Method,114
2014,Change Method Access Modifier,59
2014,Replace Variable With Attribute,2
2014,Extract And Move Method,8
2014,Rename Package,1
2014,Add Parameter Modifier,8
2014,Push Down Attribute,4
2014,Remove Method Annotation,9
2014,Merge Parameter,1
2014,Encapsulate Attribute,13
2014,Move And Rename Attribute,12
2014,Remove Method Modifier,12
2014,Change Variable Type,65
2014,Add Thrown Exception Type,27
2014,Parameterize Attribute,3
2014,Push Down Method,9
2014,Add Variable Modifier,47
2014,Add Parameter,57
2014,Rename Variable,131
2014,Inline Method,1
2014,Add Attribute Modifier,28
2014,Rename Attribute,117
2014,Extract Superclass,9
2014,Change Class Access Modifier,8
2014,Change Type Declaration Kind,3
2014,Move Package,3
2014,Change Parameter Type,54
2014,Remove Class Modifier,14
2014,Extract Attribute,25
2014,Rename Class,33
2014,Remove Variable Modifier,7
2014,Change Thrown Exception Type,35
2014,Remove Parameter,24
2014,Add Class Annotation,3
2014,Change Attribute Access Modifier,33
2014,Parameterize Variable,6
2014,Remove Attribute Modifier,3
2014,Add Class Modifier,13
2014,Split Class,1
2014,Move Method,57
2014,Add Method Modifier,20
2014,Extract Class,9
2014,Split Parameter,2
2014,Extract Method,65
2014,Pull Up Method,11
2014,Inline Attribute,1
2014,Change Return Type,25
2014,Merge Class,1
2014,Remove Thrown Exception Type,2
2014,Extract Interface,1
2014,Change Attribute Type,15
2014,Remove Class Annotation,1
2014,Rename Parameter,102
