time,refact,number
2010,Move Source Folder,3
2010,Move Class,3
2010,Modify Class Annotation,1
2010,Extract Method,2
2010,Inline Variable,2
2010,Rename Parameter,1
2011,Add Method Annotation,4
2011,Move Package,1
2011,Move Method,1
2011,Rename Package,1
2011,Rename Class,2
2011,Move Class,43
2011,Remove Parameter,3
2011,Encapsulate Attribute,2
2011,Remove Method Modifier,2
2011,Change Variable Type,1
2011,Extract Method,5
2011,Inline Variable,2
2011,Rename Method,45
2011,Add Parameter,5
2011,Change Method Access Modifier,5
2011,Change Return Type,3
2011,Rename Attribute,80
2011,Extract Interface,2
2011,Change Class Access Modifier,4
2011,Modify Class Annotation,5
2011,Rename Parameter,4
2012,Add Method Annotation,134
2012,Move And Rename Method,20
2012,Remove Parameter Modifier,1
2012,Move Source Folder,3
2012,Pull Up Attribute,32
2012,Move Attribute,2
2012,Move Class,326
2012,Move And Rename Class,22
2012,Extract Variable,14
2012,Inline Variable,6
2012,Rename Method,68
2012,Reorder Parameter,1
2012,Split Package,3
2012,Change Method Access Modifier,16
2012,Replace Variable With Attribute,4
2012,Extract And Move Method,8
2012,Rename Package,4
2012,Add Parameter Modifier,3
2012,Remove Method Annotation,21
2012,Encapsulate Attribute,5
2012,Remove Method Modifier,6
2012,Change Variable Type,94
2012,Add Thrown Exception Type,9
2012,Push Down Method,1
2012,Add Parameter,64
2012,Rename Variable,39
2012,Inline Method,2
2012,Add Attribute Modifier,3
2012,Merge Package,3
2012,Rename Attribute,5
2012,Extract Superclass,10
2012,Change Class Access Modifier,8
2012,Move Package,3
2012,Change Parameter Type,46
2012,Remove Class Modifier,3
2012,Rename Class,9
2012,Extract Attribute,1
2012,Remove Parameter,44
2012,Add Class Annotation,3
2012,Change Attribute Access Modifier,49
2012,Parameterize Variable,9
2012,Remove Attribute Modifier,8
2012,Modify Class Annotation,18
2012,Add Class Modifier,6
2012,Move And Inline Method,4
2012,Move Method,79
2012,Add Method Modifier,88
2012,Extract Method,21
2012,Pull Up Method,104
2012,Change Return Type,196
2012,Remove Thrown Exception Type,1
2012,Extract Interface,5
2012,Change Attribute Type,12
2012,Remove Class Annotation,3
2012,Rename Parameter,59
2013,Add Method Annotation,308
2013,Localize Parameter,2
2013,Move And Rename Method,21
2013,Extract Subclass,1
2013,Move Source Folder,5
2013,Pull Up Attribute,1
2013,Move Attribute,32
2013,Move Class,261
2013,Move And Rename Class,8
2013,Extract Variable,42
2013,Inline Variable,3
2013,Rename Method,152
2013,Reorder Parameter,1
2013,Split Package,1
2013,Change Method Access Modifier,24
2013,Replace Variable With Attribute,6
2013,Extract And Move Method,4
2013,Rename Package,4
2013,Push Down Attribute,1
2013,Add Parameter Modifier,74
2013,Remove Method Annotation,11
2013,Remove Method Modifier,19
2013,Encapsulate Attribute,16
2013,Change Variable Type,186
2013,Push Down Method,14
2013,Add Variable Modifier,4
2013,Add Parameter,30
2013,Inline Method,12
2013,Rename Variable,37
2013,Merge Package,1
2013,Extract Superclass,8
2013,Rename Attribute,25
2013,Change Type Declaration Kind,1
2013,Move Package,6
2013,Change Parameter Type,136
2013,Remove Class Modifier,4
2013,Rename Class,49
2013,Extract Attribute,4
2013,Remove Variable Modifier,1
