time,refact,number
2016,Add Method Annotation,11
2016,Modify Method Annotation,1
2016,Localize Parameter,4
2016,Move And Rename Method,3
2016,Extract Subclass,5
2016,Change Parameter Type,160
2016,Remove Class Modifier,1
2016,Move Source Folder,2
2016,Rename Class,27
2016,Extract Attribute,3
2016,Move Class,158
2016,Change Thrown Exception Type,3
2016,Remove Parameter,8
2016,Extract Variable,4
2016,Inline Variable,3
2016,Rename Method,30
2016,Add Class Annotation,31
2016,Change Method Access Modifier,15
2016,Add Class Modifier,3
2016,Move Method,16
2016,Rename Package,2
2016,Push Down Attribute,10
2016,Remove Method Annotation,7
2016,Encapsulate Attribute,2
2016,Change Variable Type,102
2016,Split Parameter,1
2016,Replace Loop With Pipeline,2
2016,Add Thrown Exception Type,68
2016,Extract Method,6
2016,Push Down Method,33
2016,Add Parameter,15
2016,Rename Variable,11
2016,Change Return Type,123
2016,Add Attribute Modifier,8
2016,Remove Thrown Exception Type,14
2016,Rename Attribute,28
2016,Extract Interface,1
2016,Change Class Access Modifier,26
2016,Change Type Declaration Kind,5
2016,Change Attribute Type,62
2016,Rename Parameter,72
2017,Add Method Annotation,28
2017,Move And Rename Method,3
2017,Extract Subclass,3
2017,Change Parameter Type,6
2017,Move Source Folder,3
2017,Pull Up Attribute,25
2017,Move Attribute,10
2017,Rename Class,10
2017,Move Class,1
2017,Remove Parameter,1
2017,Extract Variable,1
2017,Inline Variable,1
2017,Rename Method,49
2017,Reorder Parameter,1
2017,Change Attribute Access Modifier,46
2017,Change Method Access Modifier,7
2017,Remove Attribute Modifier,4
2017,Extract And Move Method,2
2017,Move Method,18
2017,Add Method Modifier,2
2017,Extract Class,2
2017,Push Down Attribute,14
2017,Encapsulate Attribute,2
2017,Change Variable Type,31
2017,Add Thrown Exception Type,53
2017,Extract Method,1
2017,Pull Up Method,4
2017,Push Down Method,35
2017,Rename Variable,50
2017,Change Return Type,54
2017,Remove Thrown Exception Type,4
2017,Rename Attribute,7
2017,Extract Superclass,3
2017,Change Class Access Modifier,2
2017,Change Type Declaration Kind,5
2017,Extract Interface,1
2017,Change Attribute Type,8
2017,Rename Parameter,22
2018,Add Method Annotation,38
2018,Modify Method Annotation,76
2018,Change Parameter Type,106
2018,Rename Class,16
2018,Move Class,3
2018,Extract Variable,1
2018,Split Attribute,1
2018,Inline Variable,2
2018,Rename Method,46
2018,Change Method Access Modifier,16
2018,Remove Attribute Modifier,4
2018,Add Class Modifier,4
2018,Move And Inline Method,2
2018,Move Method,2
2018,Remove Method Annotation,34
2018,Encapsulate Attribute,1
2018,Change Variable Type,45
2018,Split Parameter,1
2018,Extract Method,20
2018,Pull Up Method,14
2018,Add Parameter,51
2018,Rename Variable,17
2018,Change Return Type,32
2018,Remove Thrown Exception Type,353
2018,Rename Attribute,3
2018,Extract Interface,3
2018,Change Class Access Modifier,1
2018,Change Attribute Type,12
2018,Rename Parameter,23
2019,Add Method Annotation,3
2019,Localize Parameter,2
2019,Move And Rename Method,11
2019,Collapse Hierarchy,1
2019,Move Source Folder,5
2019,Pull Up Attribute,4
2019,Move Attribute,2
2019,Move Class,1365
2019,Move And Rename Class,15
2019,Extract Variable,9
2019,Split Attribute,1
2019,Inline Variable,11
2019,Rename Method,158
2019,Reorder Parameter,2
2019,Change Method Access Modifier,36
2019,Extract And Move Method,6
2019,Rename Package,4
2019,Remove Method Annotation,5
2019,Encapsulate Attribute,4
2019,Remove Method Modifier,2
2019,Change Variable Type,477
2019,Parameterize Attribute,1
2019,Add Variable Modifier,1
2019,Add Parameter,18
2019,Rename Variable,92
2019,Inline Method,7
2019,Add Attribute Modifier,2
2019,Merge Package,1
2019,Add Attribute Annotation,1
2019,Rename Attribute,39
2019,Change Class Access Modifier,29
2019,Change Type Declaration Kind,11
2019,Modify Method Annotation,17
2019,Move Package,1
2019,Change Parameter Type,221
2019,Remove Class Modifier,2
2019,Rename Class,97
2019,Remove Parameter,12
2019,Add Class Annotation,13
2019,Change Attribute Access Modifier,5
2019,Parameterize Variable,3
2019,Modify Class Annotation,1
2019,Add Class Modifier,55
2019,Move And Inline Method,1
2019,Modify Attribute Annotation,9
2019,Move Method,17
2019,Add Method Modifier,3
2019,Split Parameter,1
2019,Extract Method,31
2019,Pull Up Method,7
2019,Change Return Type,175
2019,Remove Thrown Exception Type,19
2019,Extract Interface,1
2019,Remove Class Annotation,4
2019,Change Attribute Type,134
2019,Rename Parameter,17
2020,Add Method Annotation,3
2020,Localize Parameter,1
2020,Modify Method Annotation,10
2020,Add Parameter Annotation,1
2020,Move Package,1
2020,Move And Rename Method,8
2020,Change Parameter Type,53
2020,Move Source Folder,10
2020,Rename Class,27
2020,Move Attribute,2
2020,Extract Attribute,1
2020,Move Class,843
2020,Move And Rename Class,1
2020,Remove Parameter,3
2020,Extract Variable,6
2020,Inline Variable,1
2020,Rename Method,108
2020,Add Class Annotation,104
2020,Split Package,1
2020,Reorder Parameter,1
2020,Change Method Access Modifier,16
2020,Modify Class Annotation,1
2020,Add Class Modifier,6
2020,Extract And Move Method,1
2020,Rename Package,3
2020,Move Method,2
2020,Extract Class,1
2020,Remove Method Annotation,1
2020,Change Variable Type,59
2020,Add Thrown Exception Type,12
2020,Extract Method,2
2020,Pull Up Method,21
2020,Add Parameter,2
2020,Rename Variable,11
2020,Inline Method,1
2020,Change Return Type,132
2020,Add Attribute Modifier,19
2020,Rename Attribute,21
2020,Extract Superclass,1
2020,Change Class Access Modifier,7
2020,Change Attribute Type,13
2020,Remove Class Annotation,122
2020,Rename Parameter,48
2021,Change Parameter Type,12
2021,Rename Package,1
2021,Rename Class,10
2021,Move Class,6
2021,Remove Parameter,1
2021,Encapsulate Attribute,3
2021,Change Variable Type,28
2021,Extract Method,3
2021,Rename Method,2
2021,Pull Up Method,2
2021,Inline Method,2
2021,Rename Variable,11
2021,Change Return Type,3
2021,Add Attribute Modifier,48
2021,Parameterize Variable,1
2021,Change Class Access Modifier,2
2021,Change Attribute Type,15
2021,Rename Parameter,1
2022,Add Method Annotation,8
2022,Merge Attribute,1
2022,Move And Rename Method,6
2022,Add Parameter Annotation,2
2022,Change Parameter Type,116
2022,Remove Class Modifier,1
2022,Move Source Folder,18
2022,Rename Class,34
2022,Remove Variable Modifier,2
2022,Move Attribute,6
2022,Move Class,3
2022,Remove Parameter,26
2022,Extract Variable,1
2022,Inline Variable,1
2022,Add Class Annotation,45
2022,Rename Method,114
2022,Change Attribute Access Modifier,1
2022,Change Method Access Modifier,5
2022,Remove Parameter Annotation,2
2022,Remove Attribute Modifier,4
2022,Add Class Modifier,3
2022,Move Method,44
2022,Extract Class,2
2022,Merge Parameter,1
2022,Change Variable Type,236
2022,Replace Loop With Pipeline,1
2022,Extract Method,7
2022,Add Parameter,13
2022,Rename Variable,65
2022,Inline Method,5
2022,Change Return Type,122
2022,Add Attribute Modifier,10
2022,Remove Attribute Annotation,3
2022,Add Attribute Annotation,1
2022,Rename Attribute,55
2022,Change Class Access Modifier,12
2022,Change Type Declaration Kind,2
2022,Change Attribute Type,100
2022,Remove Class Annotation,3
2022,Rename Parameter,142
2023,Add Method Annotation,368
2023,Localize Parameter,10
2023,Move And Rename Method,28
2023,Extract Subclass,12
2023,Collapse Hierarchy,16
2023,Move Source Folder,8
2023,Pull Up Attribute,20
2023,Move Attribute,1
2023,Move Class,432
2023,Move And Rename Class,7
2023,Replace Attribute With Variable,22
2023,Extract Variable,21
2023,Inline Variable,12
2023,Rename Method,482
2023,Modify Parameter Annotation,2
2023,Change Method Access Modifier,2518
2023,Remove Parameter Annotation,5
2023,Replace Variable With Attribute,8
2023,Extract And Move Method,1
2023,Rename Package,5
2023,Push Down Attribute,24
2023,Merge Parameter,1
2023,Remove Method Annotation,270
2023,Encapsulate Attribute,14
2023,Change Variable Type,699
2023,Push Down Method,89
2023,Add Parameter,26
2023,Rename Variable,57
2023,Inline Method,4
2023,Add Attribute Modifier,100
2023,Add Attribute Annotation,17
2023,Rename Attribute,28
2023,Extract Superclass,1
2023,Change Class Access Modifier,248
2023,Change Type Declaration Kind,27
2023,Modify Method Annotation,46
2023,Add Parameter Annotation,5
2023,Move Package,3
2023,Change Parameter Type,165
2023,Remove Class Modifier,14
2023,Rename Class,158
2023,Extract Attribute,7
2023,Remove Parameter,24
2023,Add Class Annotation,382
2023,Parameterize Variable,11
2023,Remove Attribute Modifier,33
2023,Modify Class Annotation,198
2023,Add Class Modifier,30
2023,Move And Inline Method,2
2023,Modify Attribute Annotation,2
2023,Move Method,67
2023,Add Method Modifier,25
2023,Extract Class,1
2023,Extract Method,24
2023,Pull Up Method,111
2023,Change Return Type,223
2023,Remove Attribute Annotation,20
2023,Remove Thrown Exception Type,2
2023,Extract Interface,3
2023,Remove Class Annotation,147
2023,Change Attribute Type,104
2023,Rename Parameter,46
2024,Add Method Annotation,26
2024,Add Parameter Annotation,5
2024,Move And Rename Method,1
2024,Change Parameter Type,214
2024,Remove Class Modifier,1
2024,Move Source Folder,2
2024,Rename Class,79
2024,Move Class,147
2024,Move And Rename Class,4
2024,Remove Parameter,9
2024,Extract Variable,2
2024,Rename Method,86
2024,Add Class Annotation,6
2024,Modify Parameter Annotation,1
2024,Change Attribute Access Modifier,1
2024,Change Method Access Modifier,7
2024,Modify Class Annotation,33
2024,Extract And Move Method,1
2024,Add Class Modifier,1
2024,Rename Package,3
2024,Move Method,2
2024,Add Method Modifier,5
2024,Remove Method Annotation,3
2024,Encapsulate Attribute,3
2024,Remove Method Modifier,2
2024,Change Variable Type,728
2024,Extract Method,4
2024,Pull Up Method,1
2024,Add Parameter,12
2024,Rename Variable,161
2024,Change Return Type,283
2024,Add Attribute Modifier,20
2024,Remove Thrown Exception Type,1
2024,Extract Superclass,1
2024,Rename Attribute,19
2024,Change Class Access Modifier,5
2024,Change Type Declaration Kind,2
2024,Remove Class Annotation,4
2024,Change Attribute Type,88
2024,Rename Parameter,111
