time,refact,number
2016,Add Method Annotation,433
2016,Move And Rename Method,16
2016,Extract Subclass,1
2016,Move Source Folder,5
2016,Pull Up Attribute,2
2016,Move Attribute,9
2016,Move Class,49
2016,Move And Rename Class,11
2016,Replace Attribute With Variable,1
2016,Extract Variable,8
2016,Split Attribute,1
2016,Inline Variable,1
2016,Rename Method,32
2016,Split Package,2
2016,Change Method Access Modifier,9
2016,Replace Anonymous With Lambda,1
2016,Rename Package,2
2016,Push Down Attribute,4
2016,Remove Method Annotation,3
2016,Merge Parameter,1
2016,Encapsulate Attribute,11
2016,Change Variable Type,46
2016,Add Thrown Exception Type,6
2016,Push Down Method,4
2016,Add Parameter,15
2016,Inline Method,2
2016,Rename Variable,23
2016,Merge Package,1
2016,Add Attribute Annotation,2
2016,Rename Attribute,13
2016,Extract Superclass,4
2016,Change Type Declaration Kind,11
2016,Modify Method Annotation,8
2016,Move Package,2
2016,Add Parameter Annotation,63
2016,Change Parameter Type,24
2016,Rename Class,10
2016,Remove Parameter,12
2016,Add Class Annotation,106
2016,Change Attribute Access Modifier,20
2016,Parameterize Variable,3
2016,Remove Attribute Modifier,1
2016,Modify Class Annotation,12
2016,Add Class Modifier,2
2016,Modify Attribute Annotation,4
2016,Move Method,38
2016,Extract Class,4
2016,Extract Method,7
2016,Pull Up Method,12
2016,Change Return Type,30
2016,Remove Attribute Annotation,27
2016,Merge Class,6
2016,Remove Thrown Exception Type,1
2016,Change Attribute Type,18
2016,Remove Class Annotation,15
2016,Remove Variable Annotation,1
2016,Rename Parameter,28
2017,Add Method Annotation,589
2017,Merge Attribute,1
2017,Localize Parameter,3
2017,Move And Rename Method,71
2017,Remove Parameter Modifier,18
2017,Extract Subclass,1
2017,Collapse Hierarchy,1
2017,Move Source Folder,15
2017,Pull Up Attribute,60
2017,Move Attribute,145
2017,Move Class,774
2017,Move And Rename Class,41
2017,Replace Attribute With Variable,9
2017,Extract Variable,73
2017,Inline Variable,45
2017,Split Attribute,3
2017,Rename Method,312
2017,Modify Parameter Annotation,29
2017,Reorder Parameter,5
2017,Split Package,4
2017,Change Method Access Modifier,169
2017,Remove Parameter Annotation,17
2017,Replace Variable With Attribute,12
2017,Extract And Move Method,79
2017,Replace Anonymous With Lambda,4
2017,Rename Package,5
2017,Add Parameter Modifier,72
2017,Push Down Attribute,1
2017,Remove Method Annotation,126
2017,Merge Parameter,2
2017,Remove Method Modifier,11
2017,Encapsulate Attribute,23
2017,Move And Rename Attribute,58
2017,Change Variable Type,350
2017,Add Thrown Exception Type,199
2017,Push Down Method,6
2017,Add Variable Modifier,94
2017,Add Parameter,217
2017,Rename Variable,235
2017,Inline Method,15
2017,Add Attribute Modifier,232
2017,Merge Package,2
2017,Add Attribute Annotation,30
2017,Rename Attribute,577
2017,Extract Superclass,19
2017,Change Type Declaration Kind,12
2017,Modify Method Annotation,257
2017,Move Package,23
2017,Add Parameter Annotation,239
2017,Change Parameter Type,378
2017,Remove Class Modifier,2
2017,Rename Class,76
2017,Extract Attribute,27
2017,Remove Variable Modifier,19
2017,Remove Parameter,101
2017,Change Thrown Exception Type,188
2017,Merge Variable,3
2017,Add Class Annotation,192
2017,Change Attribute Access Modifier,139
2017,Parameterize Variable,18
2017,Remove Attribute Modifier,28
2017,Modify Class Annotation,148
2017,Add Variable Annotation,22
2017,Add Class Modifier,7
2017,Split Class,2
2017,Move And Inline Method,7
2017,Modify Attribute Annotation,19
2017,Move Method,159
2017,Add Method Modifier,38
2017,Extract Class,50
2017,Split Parameter,2
2017,Extract Method,107
