time,refact,number
2012,Add Method Annotation,5
2012,Localize Parameter,1
2012,Move And Rename Method,7
2012,Extract Subclass,2
2012,Move Source Folder,22
2012,Move Attribute,5
2012,Move Class,42
2012,Replace Attribute With Variable,1
2012,Move And Rename Class,6
2012,Extract Variable,20
2012,Inline Variable,1
2012,Split Attribute,1
2012,Rename Method,68
2012,Modify Parameter Annotation,3
2012,Change Method Access Modifier,21
2012,Replace Variable With Attribute,3
2012,Extract And Move Method,3
2012,Rename Package,4
2012,Push Down Attribute,14
2012,Add Parameter Modifier,1
2012,Remove Method Annotation,15
2012,Merge Parameter,1
2012,Encapsulate Attribute,2
2012,Remove Method Modifier,7
2012,Change Variable Type,183
2012,Add Thrown Exception Type,39
2012,Parameterize Attribute,1
2012,Push Down Method,19
2012,Add Parameter,38
2012,Inline Method,6
2012,Rename Variable,35
2012,Add Attribute Modifier,1
2012,Extract Superclass,2
2012,Rename Attribute,21
2012,Change Type Declaration Kind,2
2012,Change Class Access Modifier,2
2012,Modify Method Annotation,31
2012,Change Parameter Type,123
2012,Remove Class Modifier,1
2012,Extract Attribute,5
2012,Rename Class,71
2012,Change Thrown Exception Type,2
2012,Remove Parameter,18
2012,Merge Variable,1
2012,Add Class Annotation,1
2012,Change Attribute Access Modifier,3
2012,Parameterize Variable,6
2012,Remove Attribute Modifier,1
2012,Modify Class Annotation,4
2012,Add Class Modifier,3
2012,Move Method,31
2012,Add Method Modifier,20
2012,Extract Class,1
2012,Split Parameter,3
2012,Extract Method,34
2012,Pull Up Method,2
2012,Change Return Type,138
2012,Merge Class,1
2012,Remove Thrown Exception Type,8
2012,Change Attribute Type,77
2012,Remove Class Annotation,1
2012,Rename Parameter,57
2013,Merge Attribute,1
2013,Add Method Annotation,43
2013,Localize Parameter,2
2013,Move And Rename Method,8
2013,Move Source Folder,19
2013,Pull Up Attribute,9
2013,Move Attribute,26
2013,Move And Rename Class,25
2013,Move Class,16
2013,Extract Variable,23
2013,Inline Variable,9
2013,Rename Method,74
2013,Modify Parameter Annotation,3
2013,Split Package,2
2013,Change Method Access Modifier,38
2013,Replace Variable With Attribute,1
2013,Extract And Move Method,1
2013,Rename Package,1
2013,Add Parameter Modifier,13
2013,Remove Method Annotation,10
2013,Remove Method Modifier,1
2013,Encapsulate Attribute,17
2013,Change Variable Type,51
2013,Add Thrown Exception Type,71
2013,Parameterize Attribute,1
2013,Add Variable Modifier,1
2013,Add Parameter,132
2013,Rename Variable,43
